# title = Distance Jet Pair
# xlabel = $\Delta R_{\text{j}_1\text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta R_{\text{j}_1\text{j}_2}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  6.000E+00
# ymin=  1.000E-04
# ymax=  1.000E+00
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.20       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.40       0.60  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.60       0.80  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.80       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   6       1.00       1.20  0.000000000000000E+00  0.000000000000000E+00 0
   7       1.20       1.40  0.000000000000000E+00  0.000000000000000E+00 0
   8       1.40       1.60  0.000000000000000E+00  0.000000000000000E+00 0
   9       1.60       1.80  0.000000000000000E+00  0.000000000000000E+00 0
  10       1.80       2.00  0.000000000000000E+00  0.000000000000000E+00 0
  11       2.00       2.20  0.000000000000000E+00  0.000000000000000E+00 0
  12       2.20       2.40  0.000000000000000E+00  0.000000000000000E+00 0
  13       2.40       2.60  2.417567343320473E-03  8.170607963610246E-06 4082552
  14       2.60       2.80  1.420144673737724E-02  2.020035088598303E-05 19145350
  15       2.80       3.00  3.104544425802258E-02  3.150737695106093E-05 31591859
  16       3.00       3.20  5.791373191313838E-02  4.536256399244389E-05 44880876
  17       3.20       3.40  1.006109462006447E-01  6.294901464478033E-05 60181525
  18       3.40       3.60  1.671246388728910E-01  8.528866402067701E-05 78359832
  19       3.60       3.80  2.667269054664153E-01  1.139784231477307E-04 100519917
  20       3.80       4.00  4.051457451224337E-01  1.496697100834105E-04 128530692
  21       4.00       4.20  5.169616670437939E-01  1.819795580327527E-04 144801107
  22       4.20       4.40  5.536639007023288E-01  2.048030097920048E-04 137333501
  23       4.40       4.60  5.753217374534776E-01  2.268682372196056E-04 128917758
  24       4.60       4.80  5.812840395839207E-01  2.472469323491208E-04 119666498
  25       4.80       5.00  5.719784462847687E-01  2.630461323623566E-04 109672142
  26       5.00       5.20  5.486799876734531E-01  2.755138115763126E-04 99235329
  27       5.20       5.40  5.159040496315292E-01  2.856001975009709E-04 88652352
  28       5.40       5.60  4.744012471294345E-01  2.916365966066509E-04 78176711
  29       5.60       5.80  4.271368271510358E-01  2.928850531722144E-04 68067976
  30       5.80       6.00  3.773956611250555E-01  2.906809741054141E-04 58571500
  31       6.00       6.20  3.272845862067696E-01  2.855602103013608E-04 49805078
  32       6.20       6.40  2.782730912829948E-01  2.784174429879803E-04 41843815
  33       6.40       6.60  2.311539403324296E-01  2.599775759507640E-04 34769284
  34       6.60       6.80  1.881606715452308E-01  2.436035193478806E-04 28524565
  35       6.80       7.00  1.497977366192560E-01  2.236411755213618E-04 23099516
  36       7.00       7.20  1.160472233085041E-01  2.014244850747812E-04 18443218
  37       7.20       7.40  8.752794509369771E-02  1.778159758093366E-04 14489612
  38       7.40       7.60  6.399420049395763E-02  1.543562366770038E-04 11174205
  39       7.60       7.80  4.525223483924810E-02  1.312503141402771E-04 8436529
  40       7.80       8.00  3.057640334524593E-02  1.063711519143873E-04 6202037
  41       8.00       8.20  1.980488358924282E-02  8.646005969977232E-05 4418134
  42       8.20       8.40  1.203429788127224E-02  6.632911528575289E-05 3025727
  43       8.40       8.60  6.952244382303453E-03  5.253599022604931E-05 1956115
  44       8.60       8.80  3.651120345452616E-03  3.582087492035451E-05 1168205
  45       8.80       9.00  1.594924420087715E-03  2.180610126015068E-05 605009
  46       9.00       9.20  5.811871716907091E-04  1.337187573274630E-05 245415
  47       9.20       9.40  1.301885912063227E-04  6.725589810092170E-06 65962
  48       9.40       9.60  4.381293808557791E-06  7.441330258528169E-07 4097
  49       9.60       9.80  0.000000000000000E+00  0.000000000000000E+00 0
  50       9.80      10.00  0.000000000000000E+00  0.000000000000000E+00 0
  51      10.00      10.20  0.000000000000000E+00  0.000000000000000E+00 0
  52      10.20      10.40  0.000000000000000E+00  0.000000000000000E+00 0
  53      10.40      10.60  0.000000000000000E+00  0.000000000000000E+00 0
  54      10.60      10.80  0.000000000000000E+00  0.000000000000000E+00 0
