# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00  2.490757021170837E-06  3.800805874613681E-09 2654359
   8     700.00     800.00  1.082919673055055E-04  5.235134399218874E-08 24358850
   9     800.00     900.00  3.169412640802337E-04  1.222482983288441E-07 41654670
  10     900.00    1000.00  4.900250245034959E-04  1.818829053535492E-07 51796593
  11    1000.00    1100.00  6.093251104649116E-04  2.300381076322707E-07 57163098
  12    1100.00    1200.00  6.845299176838443E-04  2.703049432331606E-07 59429200
  13    1200.00    1300.00  7.264730835185191E-04  3.032458823147588E-07 59854144
  14    1300.00    1400.00  7.460962883898775E-04  3.327829431852322E-07 59155790
  15    1400.00    1500.00  7.480236370711405E-04  3.580520974677172E-07 57779550
  16    1500.00    1600.00  7.383029442384937E-04  3.791906275842996E-07 55999689
  17    1600.00    1700.00  7.187833154184459E-04  3.970305881550847E-07 53986349
  18    1700.00    1800.00  6.937989632744675E-04  4.111492482001432E-07 51890017
  19    1800.00    1900.00  6.640500494738775E-04  4.214071007700566E-07 49760171
  20    1900.00    2000.00  6.333481771682439E-04  4.321564442805253E-07 47613780
  21    2000.00    2100.00  5.996457197991976E-04  4.379354897566876E-07 45544403
  22    2100.00    2200.00  5.656899789417709E-04  4.423457030902758E-07 43523366
  23    2200.00    2300.00  5.308611610713251E-04  4.425139873691798E-07 41588448
  24    2300.00    2400.00  4.975606749202800E-04  4.460009286849180E-07 39716214
  25    2400.00    2500.00  4.654338667953531E-04  4.425744026769442E-07 37934590
  26    2500.00    2600.00  4.327971581190558E-04  4.382377260439248E-07 36229000
  27    2600.00    2700.00  4.025995559386548E-04  4.316412590157134E-07 34613829
  28    2700.00    2800.00  3.726303131660407E-04  4.257663290875915E-07 33078951
  29    2800.00    2900.00  3.449086730642652E-04  4.161088353891088E-07 31617770
  30    2900.00    3000.00  3.172238449545452E-04  4.017773433304207E-07 30232891
