# title = Rapidity anti-Muon
# xlabel = $y_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\mu^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  1.211655529766159E-01  1.355939643203792E-04 49455576
   2      -2.25      -2.00  1.630907680119896E-01  1.625929058774073E-04 58706201
   3      -2.00      -1.75  2.086199178458776E-01  1.816707265625921E-04 68223009
   4      -1.75      -1.50  2.571246044050528E-01  1.991971823855312E-04 77611827
   5      -1.50      -1.25  3.043061273051555E-01  2.099293240849465E-04 86552896
   6      -1.25      -1.00  3.488506196809512E-01  2.166533839615154E-04 94711137
   7      -1.00      -0.75  3.880531066071199E-01  2.194623348511053E-04 101776602
   8      -0.75      -0.50  4.184314628336042E-01  2.168738743608142E-04 107493378
   9      -0.50      -0.25  4.400171005113791E-01  2.144543849035394E-04 111641946
  10      -0.25       0.00  4.510603302373973E-01  2.141324774811703E-04 114008581
  11       0.00       0.25  4.506489188416080E-01  2.109490564909563E-04 114487462
  12       0.25       0.50  4.400301849609555E-01  2.113400121264764E-04 112968838
  13       0.50       0.75  4.185464232149882E-01  2.123565572773325E-04 109470636
  14       0.75       1.00  3.874984719906230E-01  2.114386029641736E-04 104049724
  15       1.00       1.25  3.492732525833476E-01  2.099482520479335E-04 96922216
  16       1.25       1.50  3.047412847899283E-01  2.022028957860430E-04 88327533
  17       1.50       1.75  2.566854913085924E-01  1.903023062286626E-04 78637623
  18       1.75       2.00  2.087449560413654E-01  1.736196582643242E-04 68312808
  19       2.00       2.25  1.625215252726782E-01  1.534165682957431E-04 57759386
  20       2.25       2.50  1.211781009290377E-01  1.291272793814832E-04 47546621
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0468648594316838E+00  3.4522813139658930E-04 107479000
#=====================================================================================
# Number of generated events: 3357351632
