# title = Total Transverse Energy with Gluon
# xlabel = $H_{\text{T},\text{g}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}H_{\text{T},\text{g}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  2.000E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      60.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     120.00     180.00  1.724003753938640E-06  2.542940500576499E-08 149415
   4     180.00     240.00  1.657005322349032E-04  2.866017792573402E-07 11050936
   5     240.00     300.00  9.987669988035202E-04  7.482633277672414E-07 47963640
   6     300.00     360.00  2.118512916116816E-03  1.124382609792175E-06 85806224
   7     360.00     420.00  2.843946276662800E-03  1.308480396350513E-06 110251397
   8     420.00     480.00  3.046454521960285E-03  1.348667665371321E-06 118272502
   9     480.00     540.00  2.868053080916234E-03  1.287031899154962E-06 115088328
  10     540.00     600.00  2.516762485295338E-03  1.189314247580523E-06 107390961
  11     600.00     660.00  2.120709301482316E-03  1.058778858633759E-06 98207517
  12     660.00     720.00  1.747679463900729E-03  9.475685628192060E-07 88851763
  13     720.00     780.00  1.419871401395950E-03  8.224273847919994E-07 79953453
  14     780.00     840.00  1.146235508575738E-03  7.170134724391508E-07 71901043
  15     840.00     900.00  9.221757200898255E-04  6.240439658020781E-07 64680478
  16     900.00     960.00  7.401159277052171E-04  5.424524786472262E-07 58301808
  17     960.00    1020.00  5.954936866846605E-04  4.688841391981961E-07 52653007
  18    1020.00    1080.00  4.784869417235790E-04  4.041040962582445E-07 47667927
  19    1080.00    1140.00  3.866374859563195E-04  3.543592696469060E-07 43255659
  20    1140.00    1200.00  3.119170482442696E-04  3.041279094852442E-07 39343228
  21    1200.00    1260.00  2.527521554842441E-04  2.655768994724397E-07 35880047
  22    1260.00    1320.00  2.051936924654935E-04  2.298326971314211E-07 32784278
  23    1320.00    1380.00  1.668332784444688E-04  2.001269543422326E-07 30016256
  24    1380.00    1440.00  1.361420877242797E-04  1.756687563895275E-07 27546949
  25    1440.00    1500.00  1.114038682842728E-04  1.532058824493516E-07 25318894
  26    1500.00    1560.00  9.131282621360866E-05  1.338584508157916E-07 23308823
  27    1560.00    1620.00  7.503516189320140E-05  1.163414441887160E-07 21507646
  28    1620.00    1680.00  6.179091289639008E-05  1.029125516360069E-07 19862946
  29    1680.00    1740.00  5.098747410185560E-05  8.976008573057061E-08 18373877
  30    1740.00    1800.00  4.226037358562039E-05  7.936207598186284E-08 17030479
  31    1800.00    1860.00  3.494306666015258E-05  6.873711107084243E-08 15796025
  32    1860.00    1920.00  2.889572981786145E-05  6.014446672672402E-08 14671371
  33    1920.00    1980.00  2.403044316013086E-05  5.176781506128798E-08 13641009
  34    1980.00    2040.00  2.009328669884187E-05  4.753441433717322E-08 12705815
  35    2040.00    2100.00  1.681501204078225E-05  4.133112949434840E-08 11840895
  36    2100.00    2160.00  1.398392905050243E-05  3.567143687957362E-08 11040809
  37    2160.00    2220.00  1.164982054311591E-05  3.137557355618383E-08 10307493
  38    2220.00    2280.00  9.830896193485573E-06  2.837127072363988E-08 9641380
  39    2280.00    2340.00  8.214727465129937E-06  2.485936433195577E-08 9014326
  40    2340.00    2400.00  6.899603431113461E-06  2.154280225806971E-08 8440712
  41    2400.00    2460.00  5.811549206323308E-06  1.931897164395471E-08 7905584
  42    2460.00    2520.00  4.891150941158943E-06  1.723118537696250E-08 7414402
  43    2520.00    2580.00  4.113948616228820E-06  1.461103721527552E-08 6951747
  44    2580.00    2640.00  3.451728111985942E-06  1.285830136802977E-08 6531007
  45    2640.00    2700.00  2.902587933773102E-06  1.132563027811870E-08 6130207
  46    2700.00    2760.00  2.461111009228015E-06  9.950851046473132E-09 5773022
  47    2760.00    2820.00  2.085712545795372E-06  8.818708334069300E-09 5426921
  48    2820.00    2880.00  1.766136746830609E-06  8.451294052571616E-09 5108123
  49    2880.00    2940.00  1.499099783645476E-06  7.456492680300049E-09 4811560
  50    2940.00    3000.00  1.262457289908948E-06  6.095675451067524E-09 4529855
  51    3000.00    3060.00  1.070539770802651E-06  5.532737441557049E-09 4271531
  52    3060.00    3120.00  9.166588211416614E-07  4.834131371220779E-09 4023631
  53    3120.00    3180.00  7.726598245204509E-07  4.829268795080289E-09 3798139
  54    3180.00    3240.00  6.533221937238873E-07  3.822647311133972E-09 3583858
  55    3240.00    3300.00  5.601927857219309E-07  3.465027868831338E-09 3385836
  56    3300.00    3360.00  4.762829336466185E-07  2.967000733763682E-09 3194722
  57    3360.00    3420.00  3.997428108079982E-07  2.412410256752616E-09 3017761
  58    3420.00    3480.00  3.466759271381442E-07  2.355439784029523E-09 2852342
