# title = Transverse Mass Positron--anti-Muon System
# xlabel = $M_{\text{T},\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{T},\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -3.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      40.00  2.340695929861858E-03  1.411437734324066E-06 86088814
   2      40.00      80.00  7.765689746420270E-03  2.505463413202804E-06 257967995
   3      80.00     120.00  8.418178072360605E-03  2.532566710009581E-06 256080087
   4     120.00     160.00  6.213554734328949E-03  2.147399210930425E-06 201212664
   5     160.00     200.00  4.218008314813756E-03  1.777820234817419E-06 155674455
   6     200.00     240.00  2.843163503100708E-03  1.480786786051869E-06 121945845
   7     240.00     280.00  1.941053396664392E-03  1.233509547665727E-06 97095670
   8     280.00     320.00  1.344648929942924E-03  1.030759374513967E-06 78516898
   9     320.00     360.00  9.498900238009692E-04  8.617653406898268E-07 64383193
  10     360.00     400.00  6.801295726302376E-04  7.291025200245204E-07 53438078
  11     400.00     440.00  4.933741215162326E-04  6.169416746378907E-07 44825393
  12     440.00     480.00  3.627049506159160E-04  5.288984450914666E-07 37956340
  13     480.00     520.00  2.695454785446095E-04  4.431573463162936E-07 32393827
  14     520.00     560.00  2.020017237966074E-04  3.748635799748026E-07 27851238
  15     560.00     600.00  1.533676568694181E-04  3.168999587932051E-07 24095683
  16     600.00     640.00  1.176249298088213E-04  2.785389822090989E-07 20962363
  17     640.00     680.00  9.065679158028057E-05  2.358664756804242E-07 18338567
  18     680.00     720.00  7.075313555268646E-05  2.067403196034826E-07 16123278
  19     720.00     760.00  5.511836525110359E-05  1.754316639263746E-07 14239222
  20     760.00     800.00  4.346943263222952E-05  1.506722407291208E-07 12606591
  21     800.00     840.00  3.409780348922477E-05  1.277691921133204E-07 11214145
  22     840.00     880.00  2.732142955713242E-05  1.160139546301583E-07 10000114
  23     880.00     920.00  2.171376367704296E-05  9.706482475105661E-08 8953794
  24     920.00     960.00  1.764106151315528E-05  8.605628281064403E-08 8040216
  25     960.00    1000.00  1.421406267178093E-05  8.208563848834713E-08 7233780
  26    1000.00    1040.00  1.143142887519238E-05  6.541438167222264E-08 6528764
  27    1040.00    1080.00  9.350771511109061E-06  5.704729042653440E-08 5903208
  28    1080.00    1120.00  7.640592097130841E-06  5.042754595828493E-08 5346357
  29    1120.00    1160.00  6.158807207940613E-06  4.068471448834536E-08 4857632
  30    1160.00    1200.00  5.112876525497919E-06  4.037799261082296E-08 4418368
  31    1200.00    1240.00  4.189851877935278E-06  3.341718048748608E-08 4027858
  32    1240.00    1280.00  3.476936860652878E-06  2.972441662514404E-08 3679418
  33    1280.00    1320.00  2.858739242608262E-06  2.597639016364442E-08 3361864
  34    1320.00    1360.00  2.325540950282338E-06  2.257024052509192E-08 3081276
  35    1360.00    1400.00  2.006608071316763E-06  3.766941908279080E-08 2827150
  36    1400.00    1440.00  1.677486885684405E-06  2.083726018623336E-08 2595596
  37    1440.00    1480.00  1.366888929894464E-06  1.505213384456773E-08 2389652
  38    1480.00    1520.00  1.139850651539691E-06  1.494181098525235E-08 2199365
  39    1520.00    1560.00  9.621827885053258E-07  1.178390463777596E-08 2027216
  40    1560.00    1600.00  8.203980731948789E-07  1.070135712891599E-08 1870981
  41    1600.00    1640.00  6.984566205135683E-07  1.250766400662921E-08 1728657
  42    1640.00    1680.00  5.818644685554200E-07  8.687188457653838E-09 1600314
  43    1680.00    1720.00  4.727841227246821E-07  6.839911893071062E-09 1479991
  44    1720.00    1760.00  4.218065623059614E-07  6.987951562622813E-09 1374899
  45    1760.00    1800.00  3.472007641491081E-07  5.746741173692833E-09 1275750
  46    1800.00    1840.00  2.974774999453297E-07  5.533398228477005E-09 1183232
  47    1840.00    1880.00  2.560394239052350E-07  5.552585954663350E-09 1097617
  48    1880.00    1920.00  2.161664017732589E-07  4.211911910283002E-09 1022356
  49    1920.00    1960.00  1.820384251692329E-07  3.600106914688982E-09 953331
  50    1960.00    2000.00  1.582654309588330E-07  3.580565132344046E-09 885696
  51    2000.00    2040.00  1.218018916894811E-07  2.372172892049268E-09 825736
  52    2040.00    2080.00  1.158938152430229E-07  2.791011264781686E-09 771583
  53    2080.00    2120.00  9.173788364230909E-08  2.095629792027264E-09 717798
  54    2120.00    2160.00  8.075815672483850E-08  2.111851232378329E-09 673174
  55    2160.00    2200.00  7.105101167301762E-08  2.026120653964832E-09 628374
  56    2200.00    2240.00  6.349561948936902E-08  1.961948728779800E-09 587102
  57    2240.00    2280.00  5.168202675662701E-08  1.498457554791840E-09 549780
  58    2280.00    2320.00  4.089838273650864E-08  1.008190119920458E-09 515379
  59    2320.00    2360.00  3.769622664432017E-08  1.161462789578069E-09 482296
  60    2360.00    2400.00  3.128421351612177E-08  9.101915355753179E-10 451824
  61    2400.00    2440.00  2.658603191266534E-08  9.361243067508869E-10 424400
  62    2440.00    2480.00  2.312237242587495E-08  1.142280865421898E-09 398968
  63    2480.00    2520.00  2.102382197550817E-08  7.517230475924043E-10 374910
  64    2520.00    2560.00  1.830036048484114E-08  6.670210609321919E-10 352008
  65    2560.00    2600.00  1.406929965637389E-08  4.939298285387531E-10 329676
  66    2600.00    2640.00  1.328803084781562E-08  6.483776605337039E-10 310642
  67    2640.00    2680.00  1.067604427364175E-08  4.027099909915137E-10 291899
  68    2680.00    2720.00  9.947733829294943E-09  4.438203097429876E-10 275122
  69    2720.00    2760.00  9.402804486104559E-09  4.723290525260965E-10 257186
  70    2760.00    2800.00  7.138587743187373E-09  3.637947779135296E-10 242105
  71    2800.00    2840.00  6.512743727616489E-09  3.407354206293173E-10 228660
  72    2840.00    2880.00  5.603554604882484E-09  2.792887692262135E-10 215144
  73    2880.00    2920.00  4.506725357118352E-09  3.115128760645499E-10 203842
  74    2920.00    2960.00  4.259218357645161E-09  2.954285131115533E-10 191317
  75    2960.00    3000.00  3.814615805427308E-09  1.887074999669094E-10 180753
  76    3000.00    3040.00  3.089048312722125E-09  1.777687625641872E-10 170736
  77    3040.00    3080.00  2.491202400343403E-09  1.327535358539781E-10 161043
  78    3080.00    3120.00  2.525958502347491E-09  1.714181568187645E-10 151306
  79    3120.00    3160.00  2.024102116664793E-09  1.280823390173947E-10 143368
  80    3160.00    3200.00  1.923527735479279E-09  3.157754773258810E-10 135372
  81    3200.00    3240.00  1.448803070637679E-09  9.118604703937861E-11 127634
  82    3240.00    3280.00  1.232403495456695E-09  9.987635360211758E-11 121089
  83    3280.00    3320.00  1.134441705360763E-09  8.101220896531364E-11 114959
  84    3320.00    3360.00  1.021484464876813E-09  6.790738922325565E-11 108200
  85    3360.00    3400.00  8.098515856572609E-10  6.663024461306190E-11 102422
  86    3400.00    3440.00  7.546554993246373E-10  6.319225922287638E-11 97168
  87    3440.00    3480.00  7.995244531220159E-10  9.600640933383680E-11 91760
  88    3480.00    3520.00  6.766007643523714E-10  8.994549566037176E-11 86883
  89    3520.00    3560.00  4.903448862439265E-10  6.405780107203248E-11 81967
  90    3560.00    3600.00  4.143405880974212E-10  3.685413670234145E-11 77916
  91    3600.00    3640.00  3.461880293721438E-10  2.790068632123465E-11 73814
  92    3640.00    3680.00  2.680272782907855E-10  2.397180963973428E-11 69722
  93    3680.00    3720.00  2.576423492002328E-10  2.419112598108764E-11 66485
  94    3720.00    3760.00  2.213094651054199E-10  2.086253538108229E-11 62319
  95    3760.00    3800.00  2.444725396703421E-10  2.607547513316402E-11 59441
  96    3800.00    3840.00  2.169232117619820E-10  3.684714718708435E-11 56509
  97    3840.00    3880.00  1.400262433334788E-10  1.550720223894557E-11 53378
  98    3880.00    3920.00  1.193603070714247E-10  1.245509775019396E-11 50303
  99    3920.00    3960.00  1.264778602634816E-10  1.566379752014349E-11 48276
 100    3960.00    4000.00  1.344070779095174E-10  2.117917618463997E-11 45297
 101    4000.00    4040.00  8.893926797767300E-11  1.089281025676386E-11 43127
 102    4040.00    4080.00  8.245770665199701E-11  1.203633778367686E-11 40717
 103    4080.00    4120.00  9.179927374608956E-11  1.233844843125554E-11 39009
 104    4120.00    4160.00  6.379608685169645E-11  2.229967851956900E-11 36795
 105    4160.00    4200.00  4.926039078110534E-11  8.439122899963265E-12 35449
 106    4200.00    4240.00  4.582746500963434E-11  6.602439862649257E-12 33242
 107    4240.00    4280.00  4.609130764469923E-11  8.528766908688019E-12 31494
 108    4280.00    4320.00  3.861096651828761E-11  6.393670794430644E-12 29930
 109    4320.00    4360.00  3.973540185685313E-11  5.113916753534375E-12 28655
 110    4360.00    4400.00  2.349467937900700E-11  3.795267153062584E-12 27162
 111    4400.00    4440.00  3.483513650297066E-11  5.007328926159384E-12 25556
 112    4440.00    4480.00  2.317540848507125E-11  5.154378110862399E-12 24806
 113    4480.00    4520.00  1.935599935662118E-11  2.818913509325515E-12 23478
 114    4520.00    4560.00  1.481862770968118E-11  3.475351419374772E-12 22113
 115    4560.00    4600.00  1.305198492962823E-11  2.273391568927045E-12 21126
 116    4600.00    4640.00  2.145068036191389E-11  5.098058266223229E-12 19941
 117    4640.00    4680.00  1.096893688268964E-11  3.687032102856130E-12 18967
 118    4680.00    4720.00  1.338519768598725E-11  2.673834647623993E-12 18221
 119    4720.00    4760.00  9.079298329199984E-12  2.079716527795139E-12 17311
 120    4760.00    4800.00  9.908202030191393E-12  3.626501393969827E-12 16298
 121    4800.00    4840.00  9.730613845924373E-12  2.241017468408988E-12 15699
 122    4840.00    4880.00  3.903926482249823E-12  1.022454317889773E-12 14858
 123    4880.00    4920.00  6.322266767445202E-12  1.024158559718602E-12 14007
 124    4920.00    4960.00  5.710139566956897E-12  1.146767029950287E-12 13435
 125    4960.00    5000.00  3.964085902128057E-12  8.475581641405423E-13 12779
 126    5000.00    5040.00  3.874439125620892E-12  9.422478374324227E-13 12184
 127    5040.00    5080.00  2.239383219520051E-12  5.485766469974024E-13 11478
 128    5080.00    5120.00  3.200293868537562E-12  1.204512363183232E-12 11049
 129    5120.00    5160.00  1.463633344717268E-12  7.069449803058728E-13 10637
 130    5160.00    5200.00  9.952997821696204E-13  6.108769764346746E-13 9911
 131    5200.00    5240.00  1.943492647970045E-12  7.299762466396979E-13 9615
 132    5240.00    5280.00  1.467866271476809E-12  4.312402073287341E-13 9012
 133    5280.00    5320.00  1.078440548674741E-12  8.734229003415987E-13 8594
 134    5320.00    5360.00  9.012234640751186E-13  4.248262953480536E-13 8022
 135    5360.00    5400.00  9.411888537795085E-13  1.906684244052441E-13 7664
 136    5400.00    5440.00  9.299319314943854E-13  2.355278923450634E-13 7363
 137    5440.00    5480.00  1.305670260025084E-12  2.852488577818223E-13 6988
 138    5480.00    5520.00  5.448233199204767E-13  1.578093572425078E-13 6746
 139    5520.00    5560.00  1.361507269498900E-12  3.336928184166931E-13 6324
 140    5560.00    5600.00  9.086184182587713E-13  5.138759730016720E-13 6007
 141    5600.00    5640.00  4.359393475589190E-13  1.161045481786874E-13 5838
 142    5640.00    5680.00  7.618621293516969E-13  2.139438424413903E-13 5415
 143    5680.00    5720.00  6.107937778939223E-13  3.961048006906337E-13 5231
 144    5720.00    5760.00  2.903470040770904E-13  1.308003224064951E-13 5042
 145    5760.00    5800.00  3.920334215271812E-13  1.214950715805565E-13 4789
 146    5800.00    5840.00  7.189790976681234E-13  2.873430750456212E-13 4501
 147    5840.00    5880.00  2.807490602822465E-13  9.089656691091395E-14 4273
 148    5880.00    5920.00  5.199683414465160E-14  3.199167322238111E-13 4122
 149    5920.00    5960.00  2.564685998584474E-13  9.343134182351769E-14 3985
 150    5960.00    6000.00  2.514566062440713E-13  6.776441173911946E-14 3708
 151    6000.00    6040.00  2.512937233562358E-13  9.040952854017013E-14 3554
 152    6040.00    6080.00  1.450326155591547E-13  5.912446268360315E-14 3317
 153    6080.00    6120.00  1.555265039920953E-13  8.181791686401249E-14 3131
 154    6120.00    6160.00  1.003285952641187E-13  6.658517351309540E-14 2997
 155    6160.00    6200.00  1.961053946934866E-13  5.374909228585086E-14 2836
 156    6200.00    6240.00  9.167963168244660E-14  4.382637360687780E-14 2794
 157    6240.00    6280.00 -3.558352710115275E-14  1.068170522055548E-13 2616
 158    6280.00    6320.00  1.043662822319254E-13  3.063846211934148E-14 2412
 159    6320.00    6360.00  5.148577844700760E-14  2.937336360470433E-14 2331
 160    6360.00    6400.00  6.685652176562667E-14  3.691706541959627E-14 2310
 161    6400.00    6440.00  5.169128614790539E-14  3.840310811284563E-14 2034
 162    6440.00    6480.00  2.438240006704080E-14  1.290921822200085E-14 2045
 163    6480.00    6520.00  2.126438613529755E-14  1.805277602335818E-14 1951
 164    6520.00    6560.00  3.391025757475984E-14  1.424102458351104E-14 1781
 165    6560.00    6600.00  3.549631570753055E-14  1.496512656790527E-14 1746
 166    6600.00    6640.00  2.179414500171734E-14  8.869226986681470E-15 1662
 167    6640.00    6680.00  8.430979258588713E-14  5.718146073086017E-14 1629
 168    6680.00    6720.00  9.240456677820388E-15  3.076801675983829E-15 1534
 169    6720.00    6760.00  6.476799231586437E-14  3.930069635151090E-14 1427
 170    6760.00    6800.00 -5.994635958640366E-16  7.118305346769818E-15 1378
 171    6800.00    6840.00  3.273745818176754E-14  1.440858414796016E-14 1316
 172    6840.00    6880.00  1.854675343619339E-14  7.251848088844298E-15 1149
 173    6880.00    6920.00  8.842338688972498E-15  6.033223341460450E-15 1147
 174    6920.00    6960.00  1.964369151293727E-14  9.619605087048410E-15 1071
 175    6960.00    7000.00  2.086618792702073E-14  1.788242081625571E-14 1023
 176    7000.00    7040.00  2.837479983728186E-14  1.211312288219927E-14 1033
 177    7040.00    7080.00  3.648961705596823E-15  1.545058386864215E-15 957
 178    7080.00    7120.00  6.555996239272097E-15  2.908503678187417E-15 931
 179    7120.00    7160.00  1.315420219942249E-14  6.634168259326049E-15 865
 180    7160.00    7200.00  8.728195634664204E-15  4.472919122484268E-15 788
 181    7200.00    7240.00  5.350191065512773E-14  5.145126978337430E-14 779
 182    7240.00    7280.00  7.069365933778919E-15  2.960222750557558E-15 754
 183    7280.00    7320.00  1.661271729287675E-15  2.057045778387236E-15 740
 184    7320.00    7360.00  1.979757584575032E-15  1.455780167992972E-15 657
 185    7360.00    7400.00  5.759327314535472E-15  2.831905590222902E-15 601
 186    7400.00    7440.00  3.358527495768476E-15  2.150071965567271E-15 560
 187    7440.00    7480.00  8.675966312740610E-16  8.222027610101058E-16 561
 188    7480.00    7520.00  1.175821529811455E-15  5.146902662025540E-16 543
 189    7520.00    7560.00  1.736078455022851E-15  5.302893681525331E-16 465
 190    7560.00    7600.00  3.374765468840189E-16  2.764472951631776E-16 459
 191    7600.00    7640.00  1.722247341991392E-15  9.714311493694509E-16 478
 192    7640.00    7680.00 -5.033477498202912E-16  2.179449163018874E-15 432
 193    7680.00    7720.00  1.468088849604852E-15  9.612769340736277E-16 388
 194    7720.00    7760.00  2.149098334108675E-15  1.884681281883245E-15 389
 195    7760.00    7800.00 -3.748820193307737E-15  4.935129771024496E-15 334
 196    7800.00    7840.00  3.910236614254648E-16  3.158626568010092E-16 337
 197    7840.00    7880.00  3.000148744709428E-15  1.726690502953371E-15 302
