   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  7.487929070016110E-03  1.316306328088476E-06 497924219	   2      25.00      50.00  7.487929070016110E-03  1.316306328088476E-06 497924219	   2      25.00      50.00  6.988164861198362E-03  1.210412856138674E-06 497924219	   2      25.00      50.00  6.988164861198362E-03  1.210412856138674E-06 497924219	   2      25.00      50.00  8.056198402236219E-03  1.443621790869153E-06 497924219	   2      25.00      50.00  8.056198402236219E-03  1.443621790869153E-06 497924219	   2      25.00      50.00  7.487929070016110E-03  1.316306328088476E-06 497924219
   3      50.00      75.00  1.195419682856113E-02  1.801998783323467E-06 673688433	   3      50.00      75.00  1.195419682856113E-02  1.801998783323467E-06 673688433	   3      50.00      75.00  1.112218659278143E-02  1.658139480113283E-06 673688433	   3      50.00      75.00  1.112218659278143E-02  1.658139480113283E-06 673688433	   3      50.00      75.00  1.291107968682175E-02  1.975431671093139E-06 673688433	   3      50.00      75.00  1.291107968682175E-02  1.975431671093139E-06 673688433	   3      50.00      75.00  1.195419682856113E-02  1.801998783323467E-06 673688433
   4      75.00     100.00  1.087160764311170E-02  1.611371398636256E-06 633041050	   4      75.00     100.00  1.087160764311170E-02  1.611371398636256E-06 633041050	   4      75.00     100.00  1.009186827985856E-02  1.476405879393698E-06 633041050	   4      75.00     100.00  1.009186827985856E-02  1.476405879393698E-06 633041050	   4      75.00     100.00  1.177471678296804E-02  1.774445315086085E-06 633041050	   4      75.00     100.00  1.177471678296804E-02  1.774445315086085E-06 633041050	   4      75.00     100.00  1.087160764311170E-02  1.611371398636256E-06 633041050
   5     100.00     125.00  8.272232947150767E-03  1.321277522986605E-06 541941778	   5     100.00     125.00  8.272232947150767E-03  1.321277522986605E-06 541941778	   5     100.00     125.00  7.661865482919152E-03  1.209606815575778E-06 541941778	   5     100.00     125.00  7.661865482919152E-03  1.209606815575778E-06 541941778	   5     100.00     125.00  8.982430148479546E-03  1.456007356436088E-06 541941778	   5     100.00     125.00  8.982430148479546E-03  1.456007356436088E-06 541941778	   5     100.00     125.00  8.272232947150767E-03  1.321277522986605E-06 541941778
   6     125.00     150.00  5.778348933982581E-03  1.031152302906636E-06 429113236	   6     125.00     150.00  5.778348933982581E-03  1.031152302906636E-06 429113236	   6     125.00     150.00  5.334517527559404E-03  9.426800596082632E-07 429113236	   6     125.00     150.00  5.334517527559404E-03  9.426800596082632E-07 429113236	   6     125.00     150.00  6.297361103678540E-03  1.137787696858904E-06 429113236	   6     125.00     150.00  6.297361103678540E-03  1.137787696858904E-06 429113236	   6     125.00     150.00  5.778348933982581E-03  1.031152302906636E-06 429113236
   7     150.00     175.00  3.910432757915908E-03  8.111921248162447E-07 326557704	   7     150.00     175.00  3.910432757915908E-03  8.111921248162447E-07 326557704	   7     150.00     175.00  3.596561349741707E-03  7.417089757655306E-07 326557704	   7     150.00     175.00  3.596561349741707E-03  7.417089757655306E-07 326557704	   7     150.00     175.00  4.279347839036093E-03  8.948474898422341E-07 326557704	   7     150.00     175.00  4.279347839036093E-03  8.948474898422341E-07 326557704	   7     150.00     175.00  3.910432757915908E-03  8.111921248162447E-07 326557704
   8     175.00     200.00  2.654696245844186E-03  6.277775568143978E-07 250845441	   8     175.00     200.00  2.654696245844186E-03  6.277775568143978E-07 250845441	   8     175.00     200.00  2.433268318768041E-03  5.728695684729028E-07 250845441	   8     175.00     200.00  2.433268318768041E-03  5.728695684729028E-07 250845441	   8     175.00     200.00  2.916084230468131E-03  6.938256880826005E-07 250845441	   8     175.00     200.00  2.916084230468131E-03  6.938256880826005E-07 250845441	   8     175.00     200.00  2.654696245844186E-03  6.277775568143978E-07 250845441
   9     200.00     225.00  1.820521172245842E-03  4.898873326586093E-07 195211018	   9     200.00     225.00  1.820521172245842E-03  4.898873326586093E-07 195211018	   9     200.00     225.00  1.663529201566791E-03  4.462197672115355E-07 195211018	   9     200.00     225.00  1.663529201566791E-03  4.462197672115355E-07 195211018	   9     200.00     225.00  2.006522821546676E-03  5.424184823463769E-07 195211018	   9     200.00     225.00  2.006522821546676E-03  5.424184823463769E-07 195211018	   9     200.00     225.00  1.820521172245842E-03  4.898873326586093E-07 195211018
  10     225.00     250.00  1.265991309214650E-03  4.161622598753665E-07 153842001	  10     225.00     250.00  1.265991309214650E-03  4.161622598753665E-07 153842001	  10     225.00     250.00  1.153498661736109E-03  3.799676013156488E-07 153842001	  10     225.00     250.00  1.153498661736109E-03  3.799676013156488E-07 153842001	  10     225.00     250.00  1.399706939146674E-03  4.594741769049390E-07 153842001	  10     225.00     250.00  1.399706939146674E-03  4.594741769049390E-07 153842001	  10     225.00     250.00  1.265991309214650E-03  4.161622598753665E-07 153842001
  11     250.00     275.00  8.915367586395073E-04  3.115563718325198E-07 122702694	  11     250.00     275.00  8.915367586395073E-04  3.115563718325198E-07 122702694	  11     250.00     275.00  8.101605435113526E-04  2.830216814373924E-07 122702694	  11     250.00     275.00  8.101605435113526E-04  2.830216814373924E-07 122702694	  11     250.00     275.00  9.885455023300315E-04  3.458930787367934E-07 122702694	  11     250.00     275.00  9.885455023300315E-04  3.458930787367934E-07 122702694	  11     250.00     275.00  8.915367586395073E-04  3.115563718325198E-07 122702694
  12     275.00     300.00  6.368811432090097E-04  2.523160093180831E-07 98928991	  12     275.00     300.00  6.368811432090097E-04  2.523160093180831E-07 98928991	  12     275.00     300.00  5.773017845890685E-04  2.289298025050267E-07 98928991	  12     275.00     300.00  5.773017845890685E-04  2.289298025050267E-07 98928991	  12     275.00     300.00  7.080936702115599E-04  2.804638069464739E-07 98928991	  12     275.00     300.00  7.080936702115599E-04  2.804638069464739E-07 98928991	  12     275.00     300.00  6.368811432090097E-04  2.523160093180831E-07 98928991
  13     300.00     325.00  4.603340070985096E-04  2.075611661763543E-07 80556450	  13     300.00     325.00  4.603340070985096E-04  2.075611661763543E-07 80556450	  13     300.00     325.00  4.162718990826157E-04  1.880995172470265E-07 80556450	  13     300.00     325.00  4.162718990826157E-04  1.880995172470265E-07 80556450	  13     300.00     325.00  5.131292264816251E-04  2.309849222987588E-07 80556450	  13     300.00     325.00  5.131292264816251E-04  2.309849222987588E-07 80556450	  13     300.00     325.00  4.603340070985096E-04  2.075611661763543E-07 80556450
  14     325.00     350.00  3.369220473550927E-04  1.794943321852358E-07 66181299	  14     325.00     350.00  3.369220473550927E-04  1.794943321852358E-07 66181299	  14     325.00     350.00  3.039650443834814E-04  1.624036691745213E-07 66181299	  14     325.00     350.00  3.039650443834814E-04  1.624036691745213E-07 66181299	  14     325.00     350.00  3.765040683908803E-04  2.000528205858121E-07 66181299	  14     325.00     350.00  3.765040683908803E-04  2.000528205858121E-07 66181299	  14     325.00     350.00  3.369220473550927E-04  1.794943321852358E-07 66181299
  15     350.00     375.00  2.488100525284376E-04  1.417099349299005E-07 54820297	  15     350.00     375.00  2.488100525284376E-04  1.417099349299005E-07 54820297	  15     350.00     375.00  2.239803369457210E-04  1.281100751255199E-07 54820297	  15     350.00     375.00  2.239803369457210E-04  1.281100751255199E-07 54820297	  15     350.00     375.00  2.786964854359988E-04  1.580928007778958E-07 54820297	  15     350.00     375.00  2.786964854359988E-04  1.580928007778958E-07 54820297	  15     350.00     375.00  2.488100525284376E-04  1.417099349299005E-07 54820297
