# title = Transverse Momentum Positron
# xlabel = $p_{\text{T},\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  2.388269662226725E-02  6.387606341828912E-06 406943470
   3      40.00      60.00  1.737433662960503E-02  5.206373039502709E-06 306544382
   4      60.00      80.00  1.123793694720934E-02  4.166042159545125E-06 199660905
   5      80.00     100.00  7.309117448752371E-03  3.341170752741324E-06 141924378
   6     100.00     120.00  4.890719919128286E-03  2.726734422428765E-06 106236599
   7     120.00     140.00  3.359081752440900E-03  2.210395995911045E-06 82427845
   8     140.00     160.00  2.364204207836562E-03  1.805687328757134E-06 65664940
   9     160.00     180.00  1.701418948468945E-03  1.496916072503299E-06 53438006
  10     180.00     200.00  1.244923042185336E-03  1.234311008311456E-06 44207840
  11     200.00     220.00  9.246315496415880E-04  1.039016939190929E-06 37091330
  12     220.00     240.00  6.975612763879104E-04  8.692637915566249E-07 31489710
  13     240.00     260.00  5.302372156866013E-04  7.302432369396348E-07 27003721
  14     260.00     280.00  4.075301707509052E-04  6.129530125680117E-07 23346022
  15     280.00     300.00  3.168034027751340E-04  5.250054498493912E-07 20346913
  16     300.00     320.00  2.473342991836670E-04  4.489152567504373E-07 17848568
  17     320.00     340.00  1.947663402625336E-04  3.809061653283332E-07 15750909
  18     340.00     360.00  1.539707042241580E-04  3.228570921201263E-07 13963094
  19     360.00     380.00  1.231648913525901E-04  2.837911378819641E-07 12445815
  20     380.00     400.00  9.844645022987159E-05  2.366444955501984E-07 11140441
  21     400.00     420.00  7.932465734156000E-05  2.359016420589399E-07 10010503
  22     420.00     440.00  6.418409303335005E-05  1.822968752762854E-07 9023886
  23     440.00     460.00  5.184000638545914E-05  1.541575408754811E-07 8162749
  24     460.00     480.00  4.293364265117248E-05  1.596692497682101E-07 7409506
  25     480.00     500.00  3.471190025568869E-05  1.253962840840230E-07 6740203
  26     500.00     520.00  2.860172578880913E-05  1.082158609117765E-07 6144338
  27     520.00     540.00  2.381649897779836E-05  9.491966273734481E-08 5623860
  28     540.00     560.00  1.950833231854662E-05  7.960519161701892E-08 5146923
  29     560.00     580.00  1.625472445535967E-05  6.902110600578760E-08 4725688
  30     580.00     600.00  1.351968101534300E-05  6.242500751670581E-08 4350688
  31     600.00     620.00  1.127160523704545E-05  5.279186011021602E-08 4005989
  32     620.00     640.00  9.345823941975108E-06  4.883677291123127E-08 3700111
