# title = Invariant Mass visible System
# xlabel = $M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      60.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      80.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     100.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     120.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     140.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
   9     160.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
  10     180.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     200.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     220.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     240.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
  14     260.00     280.00  4.513650203833659E-14  4.505345290841659E-14 2
  15     280.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
  16     300.00     320.00  9.801025914817031E-13  7.280246657803556E-13 4
  17     320.00     340.00  1.725102886725631E-11  1.510262980473540E-11 11
  18     340.00     360.00  1.254985724494413E-11  8.572287718126852E-12 12
  19     360.00     380.00  3.282977757460637E-11  3.166021260521713E-11 11
  20     380.00     400.00  1.928498579744871E-11  1.566817365556901E-11 18
  21     400.00     420.00  1.952182771877448E-11  1.260355401160587E-11 19
  22     420.00     440.00  3.057870137479799E-11  2.174320545708274E-11 18
  23     440.00     460.00  9.180604517770131E-11  5.726158163135678E-11 29
  24     460.00     480.00  1.263360354242985E-10  7.346397538151009E-11 38
  25     480.00     500.00  1.940827232399904E-10  9.347700306370250E-11 29
  26     500.00     520.00  3.822391025082860E-11  1.623045918661026E-11 27
  27     520.00     540.00 -6.884224459419683E-09  8.051745474093505E-09 84
  28     540.00     560.00 -1.801126799929935E-07  1.361451383466415E-06 35583
  29     560.00     580.00  1.958766816227665E-05  4.537748704449238E-06 492339
  30     580.00     600.00  3.878413168207619E-05  6.536846971662700E-06 1607778
  31     600.00     620.00  1.061260390478232E-04  7.548827697088223E-06 2685364
  32     620.00     640.00  1.530272037890646E-04  9.706852414065904E-06 3601148
  33     640.00     660.00  2.094789909404691E-04  1.041372269343144E-05 4377660
  34     660.00     680.00  2.360730411353434E-04  1.132538403857800E-05 5036373
  35     680.00     700.00  3.035337517797268E-04  1.565392621102052E-05 5595449
  36     700.00     720.00  3.254668222991510E-04  2.258874168877525E-05 6062249
  37     720.00     740.00  3.579033133806567E-04  1.668561219376616E-05 6466818
  38     740.00     760.00  3.595536706224700E-04  1.687581070859033E-05 6802473
  39     760.00     780.00  4.315347397594954E-04  1.831249065059038E-05 7081916
  40     780.00     800.00  4.501217029772585E-04  1.805999585003928E-05 7315900
  41     800.00     820.00  4.539112110040892E-04  2.121938045266746E-05 7511114
  42     820.00     840.00  4.654781870916617E-04  2.244249628632884E-05 7672969
  43     840.00     860.00  4.945934381779694E-04  1.991960622717759E-05 7800500
  44     860.00     880.00  4.773551682383877E-04  2.289790585448778E-05 7904243
  45     880.00     900.00  4.665226763215290E-04  2.686240293905663E-05 7985664
  46     900.00     920.00  5.240440155108204E-04  2.669564228980650E-05 8042608
  47     920.00     940.00  5.261731745887928E-04  2.339801957472248E-05 8082814
  48     940.00     960.00  5.809622309603652E-04  2.511397767677496E-05 8109472
  49     960.00     980.00  5.241860620380283E-04  3.111635928453058E-05 8128601
  50     980.00    1000.00  5.309017955979502E-04  3.292617375582364E-05 8128447
  51    1000.00    1020.00  5.565665729768462E-04  3.863165437972906E-05 8119511
