# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#
#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00     100.00  5.242221899745472E-03  9.039865348007722E-06 2049191877	   1       0.00     100.00  5.259782808057918E-03  8.208008387855948E-06 2049191877	   1       0.00     100.00  5.240073164472237E-03  8.084096620268795E-06 2049191877
   2     100.00     200.00  5.122506871822305E-03  8.533381542967115E-06 2056747135	   2     100.00     200.00  5.140370436209241E-03  7.753555753910735E-06 2056747135	   2     100.00     200.00  5.120058763431826E-03  7.627093105831208E-06 2056747135
   3     200.00     300.00  1.940196800924358E-03  5.392454691017432E-06 1113423682	   3     200.00     300.00  1.945947339291959E-03  4.900813002487593E-06 1113423682	   3     200.00     300.00  1.937133155232860E-03  4.840893020349090E-06 1113423682
   4     300.00     400.00  7.743436407494675E-04  3.340777034852338E-06 655853139	   4     300.00     400.00  7.769945399193165E-04  3.035936985960515E-06 655853139	   4     300.00     400.00  7.727561528713600E-04  3.005218310773088E-06 655853139
   5     400.00     500.00  3.477753242961962E-04  2.154588193767790E-06 416567670	   5     400.00     500.00  3.483784020469780E-04  1.958891895670241E-06 416567670	   5     400.00     500.00  3.466302220670083E-04  1.945678502284456E-06 416567670
   6     500.00     600.00  1.648239521348761E-04  1.536700808072917E-06 279533973	   6     500.00     600.00  1.652187196871505E-04  1.395353960122856E-06 279533973	   6     500.00     600.00  1.637339814910209E-04  1.381657111973857E-06 279533973
   7     600.00     700.00  8.391775338636618E-05  1.049762293254802E-06 195302681	   7     600.00     700.00  8.406170189849193E-05  9.546073075531787E-07 195302681	   7     600.00     700.00  8.356699360398895E-05  9.521000236584899E-07 195302681
   8     700.00     800.00  4.548983992457316E-05  6.458526598203843E-07 140793357	   8     700.00     800.00  4.548782862799672E-05  5.875104577675839E-07 140793357	   8     700.00     800.00  4.523306513014006E-05  5.907452523133666E-07 140793357
   9     800.00     900.00  2.388232471225615E-05  4.552111910123038E-07 104055106	   9     800.00     900.00  2.398959728270211E-05  4.139370751387693E-07 104055106	   9     800.00     900.00  2.370115234624166E-05  4.166984538193297E-07 104055106
  10     900.00    1000.00  1.434443512423118E-05  3.150592371086760E-07 78438699	  10     900.00    1000.00  1.433834377108529E-05  2.866400896738638E-07 78438699	  10     900.00    1000.00  1.425647277587254E-05  2.926303658343625E-07 78438699
  11    1000.00    1100.00  8.321438195590738E-06  2.376211907810586E-07 60131231	  11    1000.00    1100.00  8.331562325977476E-06  2.159380363111009E-07 60131231	  11    1000.00    1100.00  8.265032593945332E-06  2.190684786958655E-07 60131231
  12    1100.00    1200.00  4.879880010986837E-06  2.062534256191791E-07 46725646	  12    1100.00    1200.00  4.893257874186501E-06  1.875378497823873E-07 46725646	  12    1100.00    1200.00  4.832074700630989E-06  1.844579096077491E-07 46725646
  13    1200.00    1300.00  3.296466576604137E-06  1.270653797097020E-07 36778253	  13    1200.00    1300.00  3.278437435510493E-06  1.155385150119032E-07 36778253	  13    1200.00    1300.00  3.250797607733923E-06  1.165659875644001E-07 36778253
  14    1300.00    1400.00  1.935653722292241E-06  8.822107610930156E-08 29231010	  14    1300.00    1400.00  1.933628988743392E-06  8.026441147448809E-08 29231010	  14    1300.00    1400.00  1.913723474390584E-06  7.922708270477417E-08 29231010
