# title = Invariant Mass j-j-positron System
# xlabel = $M_{\text{j}_1\text{j}_2\text{e}^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2\text{e}^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      20.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      40.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      60.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      80.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     100.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     120.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
   8     140.00     160.00  4.898920379159408E-13  4.898920371501682E-13 1
   9     160.00     180.00  7.890642566422370E-17  3.681329780784465E-16 3
  10     180.00     200.00  1.164378096995642E-11  1.157750093202690E-11 5
  11     200.00     220.00  1.066162751114790E-10  7.977829030954302E-11 18
  12     220.00     240.00  1.847784954724641E-09  1.718307127290796E-09 32
  13     240.00     260.00  1.999149829145523E-10  1.672719234820240E-10 27
  14     260.00     280.00  4.622922363510936E-10  3.683920678422449E-10 34
  15     280.00     300.00  3.353016098082034E-10  1.489391195416656E-10 36
  16     300.00     320.00  5.833998136497907E-09  5.802416261714889E-09 44
  17     320.00     340.00  2.856527317434443E-10  1.128018967110244E-10 56
  18     340.00     360.00  4.179519383176188E-10  2.029427833383130E-10 53
  19     360.00     380.00  9.861004769212826E-11  4.269403945507345E-11 50
  20     380.00     400.00  2.100765812992352E-09  1.798500846588988E-09 56
  21     400.00     420.00  1.205803217737805E-10  5.383609134500024E-11 51
  22     420.00     440.00  2.597927936203116E-09  1.908357013418633E-09 51
  23     440.00     460.00  5.434689712051127E-10  4.261323202517692E-10 53
  24     460.00     480.00  2.710809099847108E-10  1.287070455469943E-10 61
  25     480.00     500.00  1.420295626579480E-10  6.046037195060232E-11 52
  26     500.00     520.00  8.374957260116230E-08  1.186886964982876E-06 6448
  27     520.00     540.00  4.307921576360755E-05  5.617597883611461E-06 916247
  28     540.00     560.00  1.484961831211818E-04  1.064414677633959E-05 3486158
  29     560.00     580.00  2.401509737270180E-04  1.741552900037677E-05 5340829
  30     580.00     600.00  3.026802522712066E-04  1.853606033432602E-05 6559268
  31     600.00     620.00  3.419669491460058E-04  1.621435258369306E-05 7410089
  32     620.00     640.00  4.105204407571536E-04  1.566775600871522E-05 8038767
  33     640.00     660.00  4.776259038312646E-04  2.151092696037942E-05 8497414
  34     660.00     680.00  4.521189015262222E-04  2.728963460395986E-05 8839987
  35     680.00     700.00  5.041721124392038E-04  2.054854679336768E-05 9095162
  36     700.00     720.00  4.912544581154839E-04  2.175083080886078E-05 9283253
  37     720.00     740.00  5.278173471256489E-04  2.129489515323132E-05 9417231
  38     740.00     760.00  5.528208786320644E-04  2.188955767614300E-05 9506661
  39     760.00     780.00  5.575574392097719E-04  2.478813877004903E-05 9571565
  40     780.00     800.00  5.613200986309643E-04  2.513075235008968E-05 9604498
  41     800.00     820.00  5.443588406090346E-04  2.404155321846946E-05 9605345
  42     820.00     840.00  6.165341581502853E-04  3.513163947486667E-05 9594814
  43     840.00     860.00  6.075571903574647E-04  4.321510711392932E-05 9568169
  44     860.00     880.00  5.237381922571739E-04  3.615932388496352E-05 9525404
  45     880.00     900.00  5.753382447009521E-04  2.940383346443969E-05 9475515
  46     900.00     920.00  6.214506370265202E-04  3.298742637534761E-05 9414370
  47     920.00     940.00  5.640935228098119E-04  3.437933265010050E-05 9347205
  48     940.00     960.00  6.154562329134216E-04  3.009693982358364E-05 9270548
  49     960.00     980.00  6.121495348610703E-04  4.281581890709337E-05 9189318
  50     980.00    1000.00  6.270538179983026E-04  3.731384005744847E-05 9105664
  51    1000.00    1020.00  6.134054438091531E-04  3.075842246173583E-05 9020833
