# title = CMS Energy
# xlabel = $\sqrt{\hat{s}}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}\sqrt{\hat{s}}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  5.000E+02
# xmax=  4.000E+03
# ymin=  1.000E-07
# ymax=  1.000E-03
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
   2     100.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
   3     200.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
   4     300.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
   5     400.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
   6     500.00     600.00  0.000000000000000E+00  0.000000000000000E+00 0
   7     600.00     700.00 -6.398722952871353E-06  2.287526336524521E-07 1337959
   8     700.00     800.00 -1.619202385940121E-04  1.962944698901621E-06 12137033
   9     800.00     900.00 -2.769888178967427E-04  4.170867939556059E-06 21027442
  10     900.00    1000.00 -2.497146643624377E-04  6.345388453912361E-06 26496689
  11    1000.00    1100.00 -1.786883300734527E-04  9.023750929498784E-06 29558188
  12    1100.00    1200.00 -7.572484003888818E-05  1.174269499523206E-05 31016831
  13    1200.00    1300.00  1.824939432295835E-05  1.436454408785403E-05 31457283
  14    1300.00    1400.00  9.069451146291538E-05  1.343490422224238E-05 31265057
  15    1400.00    1500.00  1.409323760914538E-04  1.559038928185931E-05 30659775
  16    1500.00    1600.00  2.235458966883730E-04  1.729045950074106E-05 29825961
  17    1600.00    1700.00  2.403337080113156E-04  1.861028326860096E-05 28856503
  18    1700.00    1800.00  3.148287250201705E-04  1.942997320017750E-05 27808816
  19    1800.00    1900.00  3.705662163889258E-04  1.970132786915714E-05 26700067
  20    1900.00    2000.00  3.856294587644552E-04  2.121591615096410E-05 25615912
  21    2000.00    2100.00  3.940674633875046E-04  2.324771810684378E-05 24531569
  22    2100.00    2200.00  4.107456543820049E-04  2.262070457323602E-05 23483677
  23    2200.00    2300.00  3.750894740481213E-04  2.548607828692746E-05 22463917
  24    2300.00    2400.00  4.816875540114931E-04  2.584567046050672E-05 21485896
  25    2400.00    2500.00  4.342216060950311E-04  2.295921300099102E-05 20539755
  26    2500.00    2600.00  4.670384872974461E-04  2.144322208338841E-05 19643159
  27    2600.00    2700.00  3.990043327985419E-04  2.561149761066414E-05 18787432
  28    2700.00    2800.00  4.382237959424402E-04  2.665495840694383E-05 17957636
  29    2800.00    2900.00  3.762625060284552E-04  2.362419575779092E-05 17185345
  30    2900.00    3000.00  3.624388673867358E-04  2.344148615641207E-05 16444106
