# title = Rapidity Positron
# xlabel = $y_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{e}^+}}\,[\text{fb}]$
# xmin= -2.500E+00
# xmax=  2.500E+00
# ymin=  1.000E-04
# ymax=  6.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -2.50      -2.25  7.713541255086075E-02  2.511989823714619E-03 24951577
   2      -2.25      -2.00  1.059571936501092E-01  3.053228819230601E-03 29618875
   3      -2.00      -1.75  1.296242616421027E-01  3.469639094021538E-03 34403691
   4      -1.75      -1.50  1.637152001382889E-01  3.769197759134501E-03 39114986
   5      -1.50      -1.25  1.992452582004059E-01  4.201330402029665E-03 43535593
   6      -1.25      -1.00  2.265038957975059E-01  5.025887188849774E-03 47576017
   7      -1.00      -0.75  2.516175280076911E-01  4.817731914955861E-03 51030694
   8      -0.75      -0.50  2.681801316460172E-01  4.613258401387467E-03 53848942
   9      -0.50      -0.25  2.862082611993055E-01  5.019850861502901E-03 55858460
  10      -0.25       0.00  3.059690403815776E-01  4.915207942948795E-03 57014955
  11       0.00       0.25  2.954056789149537E-01  4.565005127125515E-03 57250952
  12       0.25       0.50  3.024012861434268E-01  4.039059418232735E-03 56529582
  13       0.50       0.75  2.861241781317342E-01  4.318052183223537E-03 54794364
  14       0.75       1.00  2.702879194052323E-01  4.290467881728295E-03 52160722
  15       1.00       1.25  2.473235490614186E-01  4.346590435870335E-03 48664454
  16       1.25       1.50  2.147494390895999E-01  4.558771468201053E-03 44442185
  17       1.50       1.75  1.863597757699590E-01  3.738392521029104E-03 39683709
  18       1.75       2.00  1.542423745749372E-01  3.329773481460244E-03 34544699
  19       2.00       2.25  1.189552252749673E-01  3.447376281127285E-03 29274052
  20       2.25       2.50  8.989074125156249E-02  3.545264320962133E-03 24140043
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0470396855790010E+00  2.3195907707595958E-04 237479000
#=====================================================================================
# Number of generated events: 2722077414
