# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#	#	#	#	#
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0	   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0	   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0	   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0	   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0	   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0	   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0	   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0	   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0	   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0	   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0	   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0	   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0
   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0	   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0	   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0	   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0	   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0	   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0	   5       2.00       2.50  0.000000000000000E+00  0.000000000000000E+00 0
   6       2.50       3.00  2.354169789800483E-01  4.619668670227933E-04 1191551405	   6       2.50       3.00  2.372851567666064E-01  4.232087133166029E-04 1191551405	   6       2.50       3.00  2.360455450004290E-01  4.410257750283433E-04 1191551405	   6       2.50       3.00  2.367168766053746E-01  4.039311773100944E-04 1191551405	   6       2.50       3.00  2.325414450989038E-01  5.443414443387502E-04 1191551405	   6       2.50       3.00  2.362076034326822E-01  4.943101063468069E-04 1191551405	   6       2.50       3.00  2.331709036241755E-01  5.088454202291783E-04 1191551405
   7       3.00       3.50  3.253859988027757E-01  7.269890567309633E-04 1300797059	   7       3.00       3.50  3.281271193610196E-01  6.639781359907356E-04 1300797059	   7       3.00       3.50  3.266307774403309E-01  6.921064908143435E-04 1300797059	   7       3.00       3.50  3.275654108201443E-01  6.319915154253233E-04 1300797059	   7       3.00       3.50  3.205855774220099E-01  8.589858973972893E-04 1300797059	   7       3.00       3.50  3.260765011542972E-01  7.772170153106017E-04 1300797059	   7       3.00       3.50  3.220740793509540E-01  8.036887569015307E-04 1300797059
   8       3.50       4.00  3.986559582900044E-01  8.724800260162856E-04 1298464656	   8       3.50       4.00  4.013829310874842E-01  7.960880761943552E-04 1298464656	   8       3.50       4.00  4.000273571621217E-01  8.296551312475723E-04 1298464656	   8       3.50       4.00  4.004001578200788E-01  7.568178723833942E-04 1298464656	   8       3.50       4.00  3.933640512828048E-01  1.037381506154471E-03 1298464656	   8       3.50       4.00  3.995653329668126E-01  9.375481289691486E-04 1298464656	   8       3.50       4.00  3.953568234660533E-01  9.656979865174269E-04 1298464656
   9       4.00       4.50  4.277936194286126E-01  1.021926425773851E-03 1180965606	   9       4.00       4.50  4.298336927576468E-01  9.310022424047577E-04 1180965606	   9       4.00       4.50  4.286301615025563E-01  9.637531319328233E-04 1180965606	   9       4.00       4.50  4.279773308357506E-01  8.777764033157007E-04 1180965606	   9       4.00       4.50  4.234833297541944E-01  1.230444729637734E-03 1180965606	   9       4.00       4.50  4.293548293427678E-01  1.109932693339920E-03 1180965606	   9       4.00       4.50  4.253315061822431E-01  1.133266501755310E-03 1180965606
  10       4.50       5.00  4.041019711797301E-01  1.149792912785555E-03 980699780	  10       4.50       5.00  4.052745375098605E-01  1.046285250460712E-03 980699780	  10       4.50       5.00  4.041594393272746E-01  1.073807414118411E-03 980699780	  10       4.50       5.00  4.025733749530196E-01  9.768884226545030E-04 980699780	  10       4.50       5.00  4.011818071021463E-01  1.402293468667051E-03 980699780	  10       4.50       5.00  4.061959407292809E-01  1.263163270199788E-03 980699780	  10       4.50       5.00  4.027021024905571E-01  1.276857235968036E-03 980699780
