# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -9.00      -8.75  2.803885937576997E-04  8.971141641251262E-05 46585
   2      -8.75      -8.50  8.374212247639316E-04  1.671587207587807E-04 183507
   3      -8.50      -8.25  2.029203053874482E-03  3.942779559008245E-04 406915
   4      -8.25      -8.00  4.962610551909255E-03  1.057573285846869E-03 741298
   5      -8.00      -7.75  8.331519778619524E-03  1.549087765028169E-03 1210749
   6      -7.75      -7.50  1.275999397464541E-02  1.509558249989276E-03 1854647
   7      -7.50      -7.25  2.205574117550815E-02  2.462047437472169E-03 2694029
   8      -7.25      -7.00  2.953633765292520E-02  1.873202680714517E-03 3773527
   9      -7.00      -6.75  4.406011121897326E-02  2.578063030487640E-03 5109120
  10      -6.75      -6.50  5.265506558160284E-02  2.856638934538418E-03 6747092
  11      -6.50      -6.25  7.031460397657949E-02  4.564860308947033E-03 8705760
  12      -6.25      -6.00  8.224796762509369E-02  3.415544695067598E-03 11000246
  13      -6.00      -5.75  1.080243910191375E-01  3.417242307783550E-03 13612999
  14      -5.75      -5.50  1.142703437071206E-01  3.580093221924466E-03 16564279
  15      -5.50      -5.25  1.296853446150573E-01  3.604539492964428E-03 19794171
  16      -5.25      -5.00  1.447748227784215E-01  3.786826660500260E-03 23180065
  17      -5.00      -4.75  1.466342370683197E-01  4.037140766091625E-03 26607642
  18      -4.75      -4.50  1.553593809017813E-01  3.537869573237104E-03 29918664
  19      -4.50      -4.25  1.570716502546055E-01  3.431537463144592E-03 32951384
  20      -4.25      -4.00  1.534303107522112E-01  3.456135942474521E-03 35502624
  21      -4.00      -3.75  1.478515774933348E-01  3.298378918573574E-03 37449073
  22      -3.75      -3.50  1.355902961556645E-01  2.767046723248111E-03 38685577
  23      -3.50      -3.25  1.194389007575323E-01  2.508809018586036E-03 39192767
  24      -3.25      -3.00  1.031620914777885E-01  2.130074092760160E-03 39035212
  25      -3.00      -2.75  8.511204742630167E-02  1.948061314473694E-03 38379161
  26      -2.75      -2.50  7.362530617148973E-02  1.509154472666175E-03 37433870
  27      -2.50      -2.25  5.365642880399826E-07  2.725159684211207E-07 104
  28      -2.25      -2.00  2.917446677749222E-07  2.643630989707906E-07 110
  29      -2.00      -1.75  2.922716869621186E-07  1.995647184116325E-07 116
  30      -1.75      -1.50  1.042211098742955E-07  5.859042640236574E-08 106
  31      -1.50      -1.25  2.387590395628038E-07  1.561971572064751E-07 91
  32      -1.25      -1.00  2.545912236004836E-07  2.159930634969909E-07 73
  33      -1.00      -0.75  3.017838290542469E-08  2.713791332242512E-08 64
  34      -0.75      -0.50  7.464126200817844E-08  6.726012325190509E-08 26
  35      -0.50      -0.25  0.000000000000000E+00  0.000000000000000E+00 0
  36      -0.25       0.00  0.000000000000000E+00  0.000000000000000E+00 0
  37       0.00       0.25  0.000000000000000E+00  0.000000000000000E+00 0
  38       0.25       0.50  0.000000000000000E+00  0.000000000000000E+00 0
  39       0.50       0.75 -3.807447733941399E-11  1.109275766041848E-10 20
  40       0.75       1.00  1.934798986495305E-08  1.350365358311690E-08 49
  41       1.00       1.25  2.888793708407844E-08  1.145645534090723E-08 77
  42       1.25       1.50  1.089219060174260E-07  4.237726226695581E-08 78
  43       1.50       1.75  6.386053618811664E-07  4.898179317601045E-07 89
  44       1.75       2.00  2.722897777330181E-07  1.717194714837965E-07 92
  45       2.00       2.25  4.411115016159039E-08  1.786310943695394E-08 99
  46       2.25       2.50  1.522581368167122E-07  7.194358958381810E-08 97
  47       2.50       2.75  6.661666267875570E-02  1.784645448001630E-03 37267993
  48       2.75       3.00  8.747685576976549E-02  1.905126805702917E-03 37723241
  49       3.00       3.25  1.056263176161239E-01  2.344097025231397E-03 37894254
  50       3.25       3.50  1.198523078238457E-01  2.602099854414544E-03 37622158
  51       3.50       3.75  1.350739269895749E-01  2.694573010723513E-03 36757979
  52       3.75       4.00  1.453767054665196E-01  3.058376554206475E-03 35308713
  53       4.00       4.25  1.517322989672395E-01  3.657519317553483E-03 33279322
  54       4.25       4.50  1.563506960649437E-01  3.688825077204691E-03 30759171
  55       4.50       4.75  1.575745078986823E-01  4.405525256255503E-03 27881003
  56       4.75       5.00  1.525559906496222E-01  3.672360513380833E-03 24761381
  57       5.00       5.25  1.397458627155460E-01  3.816299733398856E-03 21558445
