# title = Rapidity separation Leptons
# xlabel = $\Delta y_{\text{e}^+\mu^-}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{e}^+\mu^-}}\,[\text{fb}]$
# xmin= -5.000E+00
# xmax=  5.000E+00
# ymin=  1.000E-04
# ymax=  5.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.75  6.646230677060647E-04  1.047517300857564E-04 259814
   2      -4.75      -4.50  2.403168132606030E-03  6.786425389257537E-04 919044
   3      -4.50      -4.25  4.582110956988716E-03  5.898751054136296E-04 1829424
   4      -4.25      -4.00  1.085211975835608E-02  8.755384361444369E-04 3032760
   5      -4.00      -3.75  1.724964231818695E-02  9.982964366224416E-04 4563586
   6      -3.75      -3.50  2.313252852989415E-02  1.267093290045084E-03 6451869
   7      -3.50      -3.25  3.459195427126570E-02  1.397076105273261E-03 8703924
   8      -3.25      -3.00  4.704476777720813E-02  1.812275915282881E-03 11319423
   9      -3.00      -2.75  6.165678432905865E-02  2.313132738292330E-03 14274672
  10      -2.75      -2.50  7.938232838225066E-02  2.492960178456011E-03 17520112
  11      -2.50      -2.25  9.319179813858997E-02  3.353361809392484E-03 21003020
  12      -2.25      -2.00  1.129176090500758E-01  3.744056863288468E-03 24683714
  13      -2.00      -1.75  1.375197493332387E-01  3.201180568436576E-03 28475416
  14      -1.75      -1.50  1.601867688157972E-01  3.244018468125992E-03 32344720
  15      -1.50      -1.25  1.811475844655250E-01  3.459446031555480E-03 36196297
  16      -1.25      -1.00  2.000534416033599E-01  3.650875856339051E-03 39945315
  17      -1.00      -0.75  2.217003415660311E-01  4.281591744893582E-03 43439102
  18      -0.75      -0.50  2.244054689319989E-01  4.201320163455115E-03 46544744
  19      -0.50      -0.25  2.400224044684443E-01  4.925770079502595E-03 48784512
  20      -0.25       0.00  2.412153466419997E-01  4.289718491349640E-03 46939792
  21       0.00       0.25  2.332912901012817E-01  4.373372560341809E-03 46950244
  22       0.25       0.50  2.422321297049101E-01  4.391109642074474E-03 48786113
  23       0.50       0.75  2.398289587550075E-01  4.285941212983092E-03 46553516
  24       0.75       1.00  2.188041613874720E-01  4.054696733124177E-03 43448219
  25       1.00       1.25  1.969973241123257E-01  4.322688634543724E-03 39940713
  26       1.25       1.50  1.756161923664386E-01  3.658174913459061E-03 36198510
  27       1.50       1.75  1.593298588017891E-01  3.465660234106672E-03 32349163
  28       1.75       2.00  1.380086844310324E-01  3.296272991344394E-03 28468280
  29       2.00       2.25  1.199745474475621E-01  2.864092334841198E-03 24663630
  30       2.25       2.50  9.453255406317360E-02  2.959268398532451E-03 20979885
  31       2.50       2.75  7.600680654296110E-02  2.457621406144810E-03 17496637
  32       2.75       3.00  6.017091158414842E-02  2.511352231655975E-03 14252126
  33       3.00       3.25  4.427629568280027E-02  1.882786945998536E-03 11305737
  34       3.25       3.50  3.021698977097454E-02  1.706777208132064E-03 8693857
  35       3.50       3.75  2.163047139511471E-02  1.325102373624994E-03 6438207
  36       3.75       4.00  1.551972478015293E-02  1.032838819565451E-03 4555212
  37       4.00       4.25  1.114753305665440E-02  1.906629983616237E-03 3025428
  38       4.25       4.50  5.239196253094399E-03  5.086189513819879E-04 1824465
  39       4.50       4.75  2.491416322145151E-03  3.591403291680348E-04 917437
  40       4.75       5.00  6.607637336343544E-04  1.412737538489640E-04 258374
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0470396855789255E+00  2.3197154301940023E-04 237479000
#=====================================================================================
# Number of generated events: 2722077414
