   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  3.954161596000242E-04  5.344415924110518E-06 35386248	   2      25.00      50.00  3.849806330414181E-04  4.775955766193746E-06 35386248	   2      25.00      50.00  3.874514141248123E-04  5.031476271666478E-06 35386248
   3      50.00      75.00  2.398619683020625E-03  1.452578003213778E-05 177800396	   3      50.00      75.00  2.363423243189383E-03  1.305370559040321E-05 177800396	   3      50.00      75.00  2.366521122289875E-03  1.331505780183815E-05 177800396
   4      75.00     100.00  4.714296700740310E-03  2.154681556646211E-05 338040617	   4      75.00     100.00  4.679791113109413E-03  1.945065915836237E-05 338040617	   4      75.00     100.00  4.670154545460018E-03  1.966539153051941E-05 338040617
   5     100.00     125.00  6.052646877255453E-03  2.397559766146470E-05 465484619	   5     100.00     125.00  6.042240287937381E-03  2.170633705801765E-05 465484619	   5     100.00     125.00  6.021293521095821E-03  2.194688094523174E-05 465484619
   6     125.00     150.00  6.445029368156118E-03  2.395818935938169E-05 541526793	   6     125.00     150.00  6.452761590884651E-03  2.173893133545664E-05 541526793	   6     125.00     150.00  6.430826007530811E-03  2.178583554159121E-05 541526793
   7     150.00     175.00  6.083281037224224E-03  2.263351073725758E-05 554194513	   7     150.00     175.00  6.103956067995671E-03  2.057380231662195E-05 554194513	   7     150.00     175.00  6.074146237101940E-03  2.075668418758657E-05 554194513
   8     175.00     200.00  5.299159572566314E-03  2.101020097133567E-05 528236711	   8     175.00     200.00  5.329387675766553E-03  1.912710160659693E-05 528236711	   8     175.00     200.00  5.298714271475902E-03  1.924489590726651E-05 528236711
   9     200.00     225.00  4.465840415056131E-03  1.757133834938286E-05 487230236	   9     200.00     225.00  4.495781140951641E-03  1.601425461217231E-05 487230236	   9     200.00     225.00  4.472471909984273E-03  1.616601431205142E-05 487230236
  10     225.00     250.00  3.663903620817800E-03  1.605715220370965E-05 442401508	  10     225.00     250.00  3.692659988284004E-03  1.464776656182124E-05 442401508	  10     225.00     250.00  3.671851447475571E-03  1.488769698874931E-05 442401508
  11     250.00     275.00  2.964509470455516E-03  1.419408039852053E-05 398694655	  11     250.00     275.00  2.990988997010503E-03  1.295971446063759E-05 398694655	  11     250.00     275.00  2.975972258887180E-03  1.323438969339893E-05 398694655
