# title = Transverse Momentum Jet Pair
# xlabel = $p_{\text{T},\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      20.00  1.010852718290054E-03  3.419099270164275E-05 15760819
   2      20.00      40.00  2.647325963982075E-03  6.115136465615676E-05 30407755
   3      40.00      60.00  3.954405865154284E-03  7.995876012719899E-05 36891684
   4      60.00      80.00  4.646375893462635E-03  8.321745577446282E-05 40529234
   5      80.00     100.00  4.845849622935173E-03  8.513178046782339E-05 42490286
   6     100.00     120.00  4.653753417352803E-03  7.844817983205282E-05 43114641
   7     120.00     140.00  4.481392518326242E-03  7.407471141598138E-05 42639672
   8     140.00     160.00  3.876197768592599E-03  7.958015509203128E-05 41372834
   9     160.00     180.00  3.293775057274099E-03  6.712518595332996E-05 39557956
  10     180.00     200.00  2.947161328187269E-03  5.714509158145796E-05 37403528
  11     200.00     220.00  2.520954120648838E-03  6.996613763197681E-05 35126930
  12     220.00     240.00  2.088406584050209E-03  6.879507220040162E-05 32779395
  13     240.00     260.00  1.870132654274995E-03  4.577874835137161E-05 30502465
  14     260.00     280.00  1.419931811349397E-03  3.810707648529987E-05 28316349
  15     280.00     300.00  1.309000806110421E-03  3.531604677169901E-05 26230300
  16     300.00     320.00  1.063195084904480E-03  3.383719912001378E-05 24278563
  17     320.00     340.00  9.139381862481854E-04  3.250109859785837E-05 22437565
  18     340.00     360.00  7.370325115299668E-04  2.963210961254381E-05 20725807
  19     360.00     380.00  6.077615043302722E-04  2.768625698254591E-05 19171872
  20     380.00     400.00  5.096611479214205E-04  2.282026370803055E-05 17737442
  21     400.00     420.00  4.419733456926643E-04  1.968292497572755E-05 16438348
  22     420.00     440.00  3.727884176196489E-04  1.850373777991969E-05 15254712
  23     440.00     460.00  2.956284862484460E-04  1.763461929180683E-05 14179822
  24     460.00     480.00  2.580912141900534E-04  1.517644343985437E-05 13189074
  25     480.00     500.00  2.146385597751117E-04  1.279077254443681E-05 12286042
  26     500.00     520.00  1.659799322593351E-04  1.299328442301268E-05 11467385
  27     520.00     540.00  1.534843662044267E-04  1.211784131526235E-05 10705412
  28     540.00     560.00  1.411989842817938E-04  9.586643121285259E-06 10017303
  29     560.00     580.00  1.076023382477290E-04  1.027459959790254E-05 9379559
  30     580.00     600.00  9.574004610275695E-05  9.261043848625119E-06 8788231
  31     600.00     620.00  7.699751109794157E-05  7.537152939243524E-06 8242421
  32     620.00     640.00  6.908025946012150E-05  8.721019714175278E-06 7738503
  33     640.00     660.00  4.779645909676740E-05  7.469001727875946E-06 7273238
  34     660.00     680.00  5.339059292313994E-05  6.187938837641290E-06 6840426
  35     680.00     700.00  4.959094856170328E-05  5.355299552160259E-06 6445047
  36     700.00     720.00  3.590611600489487E-05  4.865193756790641E-06 6076308
  37     720.00     740.00  3.698300327935989E-05  4.418054300127550E-06 5732432
  38     740.00     760.00  3.158720939745485E-05  3.819103541413445E-06 5408821
  39     760.00     780.00  2.442042734917315E-05  4.005959327539019E-06 5114370
  40     780.00     800.00  2.122621897281134E-05  3.549905238210083E-06 4835293
  41     800.00     820.00  2.002000054366098E-05  3.784221253974586E-06 4574326
  42     820.00     840.00  1.478573556338516E-05  3.065363612035025E-06 4329709
  43     840.00     860.00  1.301636466586543E-05  2.565541617949987E-06 4103028
  44     860.00     880.00  1.137055127505468E-05  2.466659242044929E-06 3888152
  45     880.00     900.00  1.358934974411785E-05  2.118662759004751E-06 3688509
  46     900.00     920.00  8.164124041801014E-06  3.057380676670881E-06 3498543
  47     920.00     940.00  9.903088847021349E-06  1.819880481209994E-06 3323193
  48     940.00     960.00  7.493119077234477E-06  1.497596708025284E-06 3162032
  49     960.00     980.00  6.433794232518181E-06  1.798728803621999E-06 3003943
  50     980.00    1000.00  5.676189651756738E-06  1.853215083057096E-06 2861058
  51    1000.00    1020.00  4.934936446533600E-06  1.721918256848977E-06 2717352
  52    1020.00    1040.00  3.872541282090861E-06  2.120725228248272E-06 2586144
  53    1040.00    1060.00  3.444236361593487E-06  1.173433211565802E-06 2464405
  54    1060.00    1080.00  4.190360285229720E-06  1.159414863246360E-06 2345905
  55    1080.00    1100.00  2.623074773405004E-06  1.062089056406222E-06 2240102
  56    1100.00    1120.00  3.472500125570810E-06  1.034481000842460E-06 2134287
  57    1120.00    1140.00  3.829921430273872E-06  7.409004682495247E-07 2037125
  58    1140.00    1160.00  2.055255107873650E-06  6.761400601493243E-07 1943660
  59    1160.00    1180.00  2.531109613261312E-06  6.338527382043393E-07 1857836
  60    1180.00    1200.00  1.387699312441436E-06  8.363242825382791E-07 1770039
  61    1200.00    1220.00  2.015492686939351E-06  9.414517334859100E-07 1693884
  62    1220.00    1240.00  1.312794890894842E-06  4.874661009684429E-07 1619198
  63    1240.00    1260.00  7.196872631878582E-07  8.493940164676498E-07 1546519
  64    1260.00    1280.00  9.705629391390521E-07  5.663130395476126E-07 1480971
  65    1280.00    1300.00  1.083446986118238E-06  4.134314690226431E-07 1417761
  66    1300.00    1320.00  5.170942246914704E-07  3.517985999270776E-07 1355998
  67    1320.00    1340.00  1.272756244722844E-06  3.491971137268300E-07 1299420
  68    1340.00    1360.00  1.049455746550937E-06  2.655136447493912E-07 1243261
  69    1360.00    1380.00  9.857462262696672E-07  3.138233567871926E-07 1191681
  70    1380.00    1400.00  5.610683294076271E-07  2.646174658308281E-07 1140096
  71    1400.00    1420.00  5.453840239722880E-07  3.213905929534244E-07 1094328
  72    1420.00    1440.00  6.093668107771215E-07  2.311037862443797E-07 1048302
  73    1440.00    1460.00 -1.747544080075999E-07  4.235485930675862E-07 1005317
  74    1460.00    1480.00  5.380632585941019E-07  2.887269348968638E-07 966003
  75    1480.00    1500.00  1.752514060899247E-07  2.863065171902990E-07 924655
  76    1500.00    1520.00  2.321409250969110E-07  2.143222229832275E-07 888196
  77    1520.00    1540.00  3.074177904393970E-07  1.619973125057913E-07 850466
  78    1540.00    1560.00  7.697109570478775E-08  2.392383880534532E-07 818378
  79    1560.00    1580.00  2.724754287036594E-08  1.684427778719182E-07 784530
  80    1580.00    1600.00  2.753167458142893E-07  1.750493449433648E-07 753029
  81    1600.00    1620.00  4.215116265686819E-07  1.269956002423617E-07 725098
  82    1620.00    1640.00  2.093839755127221E-07  1.011737312342588E-07 695723
  83    1640.00    1660.00  1.554323202074652E-07  2.556107040859852E-07 668305
  84    1660.00    1680.00 -8.240592896645980E-08  1.943746479345770E-07 643639
  85    1680.00    1700.00 -5.139418182338977E-08  1.378225866114560E-07 617479
  86    1700.00    1720.00  9.735187877883851E-08  7.533097332486629E-08 594959
  87    1720.00    1740.00  5.601650193049775E-08  7.088546784591070E-08 570508
  88    1740.00    1760.00  1.347608266903262E-08  1.048481940412594E-07 549743
  89    1760.00    1780.00  5.496088265451376E-08  7.896502024077749E-08 528251
  90    1780.00    1800.00  1.718836595913757E-07  4.331442036220217E-08 507060
  91    1800.00    1820.00 -6.246445457465663E-08  1.319366885573298E-07 489653
  92    1820.00    1840.00 -1.033241140282905E-07  6.677155924279090E-08 469638
  93    1840.00    1860.00  1.410624739287299E-07  3.136904768976495E-08 453188
  94    1860.00    1880.00  5.148862488294004E-08  6.554914955416580E-08 435229
  95    1880.00    1900.00  2.447978385957381E-08  5.668683636045397E-08 419057
  96    1900.00    1920.00  8.230425161713107E-08  4.813112617100678E-08 403028
  97    1920.00    1940.00  2.169874824208679E-08  4.533947334953189E-08 389181
  98    1940.00    1960.00 -4.051063953411121E-08  8.585918525882549E-08 375469
  99    1960.00    1980.00  6.083739852002486E-08  2.467016916356606E-08 360174
 100    1980.00    2000.00  6.466304671138310E-09  5.412991278605119E-08 346278
 101    2000.00    2020.00  1.066545375969139E-08  2.491670289946555E-08 334434
 102    2020.00    2040.00  4.526103406262517E-08  2.141105594237900E-08 321931
 103    2040.00    2060.00  1.398300790657865E-08  2.131252554439832E-08 309697
 104    2060.00    2080.00  5.013884319922588E-08  1.547924427110565E-08 299093
 105    2080.00    2100.00  7.916411412862260E-08  3.338182998097741E-08 288249
 106    2100.00    2120.00 -5.943156100836153E-08  4.121033646277321E-08 277847
 107    2120.00    2140.00  3.069658020944511E-08  2.052482861639153E-08 267815
 108    2140.00    2160.00  2.986667407245076E-08  1.603546626958952E-08 257449
 109    2160.00    2180.00 -9.068211196058405E-09  1.645512388128034E-08 248110
 110    2180.00    2200.00  4.460564039937553E-08  1.598785631140521E-08 239295
 111    2200.00    2220.00  3.168222099204708E-08  1.542620438252835E-08 230587
 112    2220.00    2240.00 -5.618150915236165E-09  1.412294195033041E-08 222345
 113    2240.00    2260.00  1.194214909458602E-08  1.663980405367053E-08 213836
 114    2260.00    2280.00  1.351140223780306E-08  1.230822324354220E-08 207011
 115    2280.00    2300.00  9.427134052622442E-09  1.012943274228863E-08 199194
 116    2300.00    2320.00  1.705227414699942E-08  7.491607489030173E-09 192470
 117    2320.00    2340.00  6.106784895021548E-09  1.081447386710088E-08 186969
 118    2340.00    2360.00 -8.462355969609527E-09  9.511801955566719E-09 179070
 119    2360.00    2380.00  1.851008336935874E-08  9.578911033468256E-09 172647
 120    2380.00    2400.00 -4.440632419019199E-08  5.004279316274668E-08 166375
 121    2400.00    2420.00  1.866120089199025E-08  6.418135722618635E-09 160480
 122    2420.00    2440.00 -9.359855432303744E-10  6.026916723405245E-09 155334
 123    2440.00    2460.00  6.627427121600149E-09  5.155922800310718E-09 149393
