# title = zeppenfled positron
# xlabel = $z^*_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\text{e}^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  3.392597827968036E+00  3.142077520308689E-02 1085676971
   2       0.05       0.10  3.275015097158418E+00  3.318441684433651E-02 1083767343
   3       0.10       0.15  3.214513990838963E+00  2.988906520568394E-02 1016912282
   4       0.15       0.20  2.948390339803321E+00  3.271133159230950E-02 925908173
   5       0.20       0.25  2.613308706191244E+00  3.513890561295406E-02 820476031
   6       0.25       0.30  2.284616943861754E+00  3.382743701988238E-02 709682047
   7       0.30       0.35  1.855585600834241E+00  4.004802342941911E-02 602291731
   8       0.35       0.40  1.516125780098584E+00  2.545138987941305E-02 504160793
   9       0.40       0.45  1.115398756408985E+00  2.032904478428473E-02 409956739
  10       0.45       0.50  7.708209388966815E-01  1.847901008160810E-02 323945916
  11       0.50       0.55  4.881684456440030E-01  3.671594308668668E-02 260291481
  12       0.55       0.60  3.736362700667419E-01  1.357679197034029E-02 213301202
  13       0.60       0.65  2.727148161164627E-01  9.199507536509314E-03 171353647
  14       0.65       0.70  2.044671947040665E-01  7.446372197251530E-03 133613284
  15       0.70       0.75  1.438569470902212E-01  6.500707964345551E-03 103703356
  16       0.75       0.80  9.582812282607774E-02  5.921154978637481E-03 80309243
  17       0.80       0.85  6.920864278310071E-02  3.447015814563990E-03 61994404
  18       0.85       0.90  5.173372004836372E-02  2.536875552740398E-03 47727808
  19       0.90       0.95  3.638770364424414E-02  1.822414815439522E-03 36640042
  20       0.95       1.00  2.492158973367935E-02  1.516513201247359E-03 28038823
  21       1.00       1.05  1.531946801177991E-02  1.723822129821992E-03 21400967
  22       1.05       1.10  1.261460344433268E-02  1.076158490415178E-03 16287164
  23       1.10       1.15  9.820562811341601E-03  8.202662571432196E-04 12345081
  24       1.15       1.20  6.420475038253484E-03  6.239463037028292E-04 9322688
  25       1.20       1.25  4.095413309869206E-03  7.406049040801415E-04 7010082
  26       1.25       1.30  2.568414780288319E-03  4.227116735709409E-04 5244789
  27       1.30       1.35  2.123372525814351E-03  4.137025861630574E-04 3904639
  28       1.35       1.40  1.204605352383654E-03  1.809650156073254E-04 2888133
  29       1.40       1.45  1.141247664318227E-03  2.761749833439258E-04 2120324
  30       1.45       1.50  4.564046704382711E-04  1.736153340397241E-04 1545543
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  4.2107212821488157E-04  8.0255584154376140E-06 93603
#-------------------------------------------------------------------------------------
# Sum:                       1.0467643993462405E+00  2.0393765687793777E-04 305479000
#=====================================================================================
# Number of generated events: 3518458774
