# title = zeppenfled extra jet
# xlabel = $z^*_{j3}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{j3}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#	#	#	#	#	#	#
#	#	#	#	#	#	#
#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================	#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------	#-------------------------------------------------------------------------------------
   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0	   1       0.00       0.05  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0	   2       0.05       0.10  0.000000000000000E+00  0.000000000000000E+00 0
   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0	   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0	   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0	   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0	   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0	   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0	   3       0.10       0.15  0.000000000000000E+00  0.000000000000000E+00 0
   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0	   4       0.15       0.20  0.000000000000000E+00  0.000000000000000E+00 0
   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0	   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0	   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0	   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0	   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0	   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0	   5       0.20       0.25  0.000000000000000E+00  0.000000000000000E+00 0
   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0	   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0	   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0	   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0	   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0	   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0	   6       0.25       0.30  0.000000000000000E+00  0.000000000000000E+00 0
   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0	   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0	   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0	   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0	   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0	   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0	   7       0.30       0.35  0.000000000000000E+00  0.000000000000000E+00 0
   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0	   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0	   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0	   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0	   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0	   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0	   8       0.35       0.40  0.000000000000000E+00  0.000000000000000E+00 0
   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0	   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0	   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0	   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0	   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0	   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0	   9       0.40       0.45  0.000000000000000E+00  0.000000000000000E+00 0
  10       0.45       0.50  1.167017747867878E+00  6.064084173117250E-01 674133618	  10       0.45       0.50  1.134763967894641E+00  5.520285760014940E-01 674133618	  10       0.45       0.50  1.154576326176765E+00  5.740471976930124E-01 674133618	  10       0.45       0.50  1.118817432196210E+00  5.225571133324104E-01 674133618	  10       0.45       0.50  1.220130707238682E+00  7.131772009347398E-01 674133618	  10       0.45       0.50  1.183458151480634E+00  6.426094223942100E-01 674133618	  10       0.45       0.50  1.208092687232749E+00  6.730217956978000E-01 674133618
