

 bin[1,5]===> 0.950977 +/- 0.00186415 
 bin[1,6]===> 0.975553 +/- 0.00210415 
 bin[1,7]===> 0.990673 +/- 0.00234428 
 bin[1,8]===> 1.01464 +/- 0.00270074 
 bin[1,9]===> 1.02585 +/- 0.00299587 
 bin[1,10]===> 1.03753 +/- 0.00419771 
 bin[1,11]===> 1.05322 +/- 0.00426667 
 bin[1,12]===> 1.05841 +/- 0.00447761 
 bin[1,13]===> 1.0749 +/- 0.00561659 
 bin[1,14]===> 1.07734 +/- 0.0055984 
 bin[1,15]===> 1.07955 +/- 0.00606615 
 bin[1,16]===> 1.08528 +/- 0.00624701 
 bin[2,5]===> 0.967689 +/- 0.00152167 
 bin[2,6]===> 0.981999 +/- 0.00174001 
 bin[2,7]===> 0.993301 +/- 0.00195706 
 bin[2,8]===> 1.00002 +/- 0.00217034 
 bin[2,9]===> 1.00548 +/- 0.00242815 
 bin[2,10]===> 1.025 +/- 0.00317096 
 bin[2,11]===> 1.0259 +/- 0.00304512 
 bin[2,12]===> 1.03487 +/- 0.0035866 
 bin[2,13]===> 1.03478 +/- 0.00368319 
 bin[2,14]===> 1.0392 +/- 0.00430271 
 bin[2,15]===> 1.04729 +/- 0.00456463 
 bin[2,16]===> 1.06097 +/- 0.00592874 
 bin[3,5]===> 0.977136 +/- 0.00136363 
 bin[3,6]===> 0.987114 +/- 0.00139782 
 bin[3,7]===> 0.994824 +/- 0.00158691 
 bin[3,8]===> 0.99794 +/- 0.00177593 
 bin[3,9]===> 1.00611 +/- 0.00211056 
 bin[3,10]===> 1.00859 +/- 0.00220847 
 bin[3,11]===> 1.01842 +/- 0.00362049 
 bin[3,12]===> 1.01712 +/- 0.00281438 
 bin[3,13]===> 1.02261 +/- 0.0030086 
 bin[3,14]===> 1.0281 +/- 0.00330312 
 bin[3,15]===> 1.02269 +/- 0.00365789 
 bin[3,16]===> 1.03369 +/- 0.00406256 
 bin[4,5]===> 0.986714 +/- 0.00130944 
 bin[4,6]===> 0.991404 +/- 0.00135309 
 bin[4,7]===> 0.994024 +/- 0.00145894 
 bin[4,8]===> 0.998802 +/- 0.00156934 
 bin[4,9]===> 1.00127 +/- 0.00174111 
 bin[4,10]===> 0.998933 +/- 0.00189217 
 bin[4,11]===> 1.00568 +/- 0.00206616 
 bin[4,12]===> 1.01083 +/- 0.00230466 
 bin[4,13]===> 1.01425 +/- 0.00251837 
 bin[4,14]===> 1.00726 +/- 0.00271985 
 bin[4,15]===> 1.00973 +/- 0.00299219 
 bin[4,16]===> 1.01396 +/- 0.00326335 
 bin[5,5]===> 0.992858 +/- 0.00149281 
 bin[5,6]===> 0.995695 +/- 0.00143591 
 bin[5,7]===> 0.995917 +/- 0.00144403 
 bin[5,8]===> 1.00031 +/- 0.00169804 
 bin[5,9]===> 1.00135 +/- 0.00163959 
 bin[5,10]===> 0.999732 +/- 0.00178677 
 bin[5,11]===> 1.00274 +/- 0.00192103 
 bin[5,12]===> 1.00305 +/- 0.00211654 
 bin[5,13]===> 1.00525 +/- 0.00224816 
 bin[5,14]===> 1.00338 +/- 0.00246207 
 bin[5,15]===> 1.00463 +/- 0.00265594 
 bin[5,16]===> 1.00549 +/- 0.00291989 
 bin[6,5]===> 0.990787 +/- 0.00190852 
 bin[6,6]===> 0.997052 +/- 0.00166701 
 bin[6,7]===> 0.997593 +/- 0.00164823 
 bin[6,8]===> 0.998663 +/- 0.00165787 
 bin[6,9]===> 0.999861 +/- 0.00173171 
 bin[6,10]===> 1.00129 +/- 0.00182019 
 bin[6,11]===> 0.997936 +/- 0.0019154 
 bin[6,12]===> 1.00361 +/- 0.00204408 
 bin[6,13]===> 0.999546 +/- 0.0022223 
 bin[6,14]===> 1.00107 +/- 0.00235162 
 bin[6,15]===> 0.998442 +/- 0.00255336 
 bin[6,16]===> 1.00828 +/- 0.0027239 
 bin[7,5]===> 0.998684 +/- 0.00304746 
 bin[7,6]===> 0.998959 +/- 0.00232055 
 bin[7,7]===> 1.00187 +/- 0.00209263 
 bin[7,8]===> 1.00071 +/- 0.00198742 
 bin[7,9]===> 0.994412 +/- 0.00199678 
 bin[7,10]===> 1.00205 +/- 0.00204083 
 bin[7,11]===> 1.00297 +/- 0.00210449 
 bin[7,12]===> 1.00258 +/- 0.00221449 
 bin[7,13]===> 1.00211 +/- 0.00232001 
 bin[7,14]===> 1.0027 +/- 0.00244798 
 bin[7,15]===> 1.00537 +/- 0.00258055 
 bin[7,16]===> 1.00517 +/- 0.00274059 
 bin[8,5]===> 1.0095 +/- 0.0061382 
 bin[8,6]===> 0.996425 +/- 0.0038651 
 bin[8,7]===> 1.00678 +/- 0.00308697 
 bin[8,8]===> 1.00374 +/- 0.0027262 
 bin[8,9]===> 1.00712 +/- 0.0025904 
 bin[8,10]===> 1.00186 +/- 0.0025117 
 bin[8,11]===> 1.00267 +/- 0.00251934 
 bin[8,12]===> 1.00332 +/- 0.00257505 
 bin[8,13]===> 1.00538 +/- 0.00267313 
 bin[8,14]===> 0.997861 +/- 0.00273367 
 bin[8,15]===> 1.0039 +/- 0.00282037 
 bin[8,16]===> 0.998889 +/- 0.00346232 



	 It took me 0.170778 seconds.

