

Mjj_Dyjj
############################################################
#Dyjj	        Mjj	        d2sigma/dXdY	err        #
############################################################
2.500000e-01	2.500000e+01	8.446298e-03	7.913808e-05
2.500000e-01	7.500000e+01	3.080367e-02	1.511310e-04
2.500000e-01	1.250000e+02	4.137730e-02	1.751594e-04
2.500000e-01	1.750000e+02	3.606008e-02	1.635180e-04
2.500000e-01	2.250000e+02	2.928213e-02	1.473512e-04
2.500000e-01	2.750000e+02	2.295946e-02	1.304767e-04
2.500000e-01	3.250000e+02	1.825397e-02	1.163405e-04
2.500000e-01	3.750000e+02	1.432556e-02	1.030643e-04
2.500000e-01	4.250000e+02	1.163767e-02	9.289348e-05
2.500000e-01	4.750000e+02	9.483641e-03	8.385710e-05
2.500000e-01	5.250000e+02	7.804910e-03	7.607400e-05
2.500000e-01	5.750000e+02	6.323416e-03	6.847439e-05
2.500000e-01	6.250000e+02	5.343909e-03	6.294798e-05
2.500000e-01	6.750000e+02	4.486007e-03	5.767429e-05
2.500000e-01	7.250000e+02	3.767504e-03	5.285416e-05
2.500000e-01	7.750000e+02	3.172830e-03	4.850379e-05
7.500000e-01	2.500000e+01	4.596489e-03	5.838017e-05
7.500000e-01	7.500000e+01	2.822403e-02	1.446644e-04
7.500000e-01	1.250000e+02	4.008043e-02	1.723925e-04
7.500000e-01	1.750000e+02	3.612237e-02	1.636592e-04
7.500000e-01	2.250000e+02	2.916127e-02	1.470468e-04
7.500000e-01	2.750000e+02	2.312333e-02	1.309415e-04
7.500000e-01	3.250000e+02	1.838966e-02	1.167721e-04
7.500000e-01	3.750000e+02	1.452725e-02	1.037872e-04
7.500000e-01	4.250000e+02	1.181711e-02	9.360690e-05
7.500000e-01	4.750000e+02	9.591898e-03	8.433436e-05
7.500000e-01	5.250000e+02	8.008820e-03	7.706134e-05
7.500000e-01	5.750000e+02	6.527325e-03	6.956966e-05
7.500000e-01	6.250000e+02	5.654593e-03	6.475197e-05
7.500000e-01	6.750000e+02	4.676569e-03	5.888653e-05
7.500000e-01	7.250000e+02	3.993658e-03	5.441739e-05
7.500000e-01	7.750000e+02	3.375257e-03	5.002714e-05
1.250000e+00	2.500000e+01	3.522072e-04	1.616037e-05
1.250000e+00	7.500000e+01	1.566914e-02	1.077891e-04
1.250000e+00	1.250000e+02	3.377333e-02	1.582484e-04
1.250000e+00	1.750000e+02	3.382968e-02	1.583803e-04
1.250000e+00	2.250000e+02	2.862369e-02	1.456851e-04
1.250000e+00	2.750000e+02	2.276889e-02	1.299341e-04
1.250000e+00	3.250000e+02	1.844676e-02	1.169532e-04
1.250000e+00	3.750000e+02	1.483422e-02	1.048781e-04
1.250000e+00	4.250000e+02	1.197430e-02	9.422744e-05
1.250000e+00	4.750000e+02	1.004717e-02	8.631260e-05
1.250000e+00	5.250000e+02	8.240164e-03	7.816642e-05
1.250000e+00	5.750000e+02	6.771275e-03	7.085777e-05
1.250000e+00	6.250000e+02	5.697599e-03	6.499774e-05
1.250000e+00	6.750000e+02	4.810037e-03	5.972092e-05
1.250000e+00	7.250000e+02	4.004781e-03	5.449312e-05
1.250000e+00	7.750000e+02	3.416039e-03	5.032846e-05
1.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
1.750000e+00	7.500000e+01	4.534945e-03	5.798802e-05
1.750000e+00	1.250000e+02	2.120658e-02	1.253971e-04
1.750000e+00	1.750000e+02	2.705099e-02	1.416263e-04
1.750000e+00	2.250000e+02	2.502080e-02	1.362081e-04
1.750000e+00	2.750000e+02	2.128666e-02	1.256337e-04
1.750000e+00	3.250000e+02	1.734342e-02	1.134017e-04
1.750000e+00	3.750000e+02	1.427143e-02	1.028694e-04
1.750000e+00	4.250000e+02	1.181711e-02	9.360690e-05
1.750000e+00	4.750000e+02	9.835848e-03	8.540006e-05
1.750000e+00	5.250000e+02	8.028840e-03	7.715760e-05
1.750000e+00	5.750000e+02	6.823921e-03	7.113270e-05
1.750000e+00	6.250000e+02	5.765075e-03	6.538148e-05
1.750000e+00	6.750000e+02	4.838956e-03	5.990018e-05
1.750000e+00	7.250000e+02	4.126385e-03	5.531426e-05
1.750000e+00	7.750000e+02	3.463494e-03	5.067684e-05
2.250000e+00	2.500000e+01	0.000000e+00	0.000000e+00
2.250000e+00	7.500000e+01	3.870571e-04	1.694103e-05
2.250000e+00	1.250000e+02	8.889708e-03	8.118878e-05
2.250000e+00	1.750000e+02	1.691262e-02	1.119844e-04
2.250000e+00	2.250000e+02	1.889610e-02	1.183691e-04
2.250000e+00	2.750000e+02	1.729522e-02	1.132440e-04
2.250000e+00	3.250000e+02	1.485128e-02	1.049383e-04
2.250000e+00	3.750000e+02	1.259493e-02	9.663849e-05
2.250000e+00	4.250000e+02	1.073898e-02	8.923471e-05
2.250000e+00	4.750000e+02	8.988326e-03	8.163788e-05
2.250000e+00	5.250000e+02	7.415629e-03	7.415258e-05
2.250000e+00	5.750000e+02	6.338246e-03	6.855463e-05
2.250000e+00	6.250000e+02	5.504071e-03	6.388432e-05
2.250000e+00	6.750000e+02	4.567571e-03	5.819624e-05
2.250000e+00	7.250000e+02	3.993658e-03	5.441739e-05
2.250000e+00	7.750000e+02	3.438283e-03	5.049206e-05
2.750000e+00	2.500000e+01	0.000000e+00	0.000000e+00
2.750000e+00	7.500000e+01	0.000000e+00	0.000000e+00
2.750000e+00	1.250000e+02	1.701717e-03	3.552188e-05
2.750000e+00	1.750000e+02	7.679599e-03	7.546082e-05
