# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 109412858
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  4.706244396498622E-03  7.124448239795490E-06 8196527
   2     100.00     200.00  4.503572111020504E-03  6.710808617978849E-06 5856290
   3     200.00     300.00  1.671356980122870E-03  4.149457071205137E-06 2657942
   4     300.00     400.00  6.727448826178359E-04  2.658617447145763E-06 1463388
   5     400.00     500.00  2.950823724953263E-04  1.650157913111533E-06 903278
   6     500.00     600.00  1.417353306208190E-04  1.165895238916518E-06 597315
   7     600.00     700.00  7.214025407031472E-05  7.510837085088921E-07 415467
   8     700.00     800.00  3.761605669365937E-05  4.784583749640034E-07 299531
   9     800.00     900.00  2.098413720264761E-05  3.308990439583713E-07 221527
  10     900.00    1000.00  1.223531075434011E-05  2.353314944375737E-07 168017
  11    1000.00    1100.00  7.435475131059521E-06  1.736635679331618E-07 129838
  12    1100.00    1200.00  4.554381670720955E-06  1.367566441839868E-07 101716
  13    1200.00    1300.00  2.678730670484807E-06  7.996147586721455E-08 80330
  14    1300.00    1400.00  1.589936031942278E-06  5.486571269986556E-08 64988
  15    1400.00    1500.00  1.033719106731555E-06  3.919311954296129E-08 51994
  16    1500.00    1600.00  7.318851628285514E-07  3.299958083954007E-08 42500
  17    1600.00    1700.00  4.176843741082969E-07  1.978520539790021E-08 35071
  18    1700.00    1800.00  3.179478134921622E-07  2.139518898499239E-08 28949
  19    1800.00    1900.00  1.969447427609131E-07  1.155996700665619E-08 24193
  20    1900.00    2000.00  1.472020061311178E-07  1.202580983028440E-08 20314
  21    2000.00    2100.00  1.030893110138931E-07  8.224931426601035E-09 16939
  22    2100.00    2200.00  6.093126078971915E-08  5.502210850357501E-09 14425
  23    2200.00    2300.00  4.282046646511800E-08  3.581077857008438E-09 12373
  24    2300.00    2400.00  2.865521272554395E-08  2.977906483911849E-09 10409
  25    2400.00    2500.00  1.686722392590577E-08  1.360656012799383E-09 8845
  26    2500.00    2600.00  1.894724674532919E-08  3.078483180366372E-09 7674
  27    2600.00    2700.00  3.416900055895087E-08  2.493462708330818E-08 6571
  28    2700.00    2800.00  8.862396340149444E-09  1.365826425582721E-09 5595
  29    2800.00    2900.00  4.500455085537393E-09  6.268280839712175E-10 4767
  30    2900.00    3000.00  3.246159992440642E-09  4.418419223280232E-10 4264
  31    3000.00    3100.00  2.060077423606326E-09  2.835332764643863E-10 3660
  32    3100.00    3200.00  1.540894914012779E-09  3.317647898982458E-10 3035
  33    3200.00    3300.00  1.352711743787529E-09  2.481621867726547E-10 2642
  34    3300.00    3400.00  6.215573735238324E-10  8.586688843820620E-11 2286
  35    3400.00    3500.00  6.766114313743558E-10  1.339746863234858E-10 2064
  36    3500.00    3600.00  2.993852708530557E-10  4.997057441538295E-11 1747
  37    3600.00    3700.00  2.434779779651174E-10  6.497058605579753E-11 1526
  38    3700.00    3800.00  2.101413818453176E-10  5.348543556066116E-11 1363
  39    3800.00    3900.00  1.280288343450266E-10  2.795198096087336E-11 1227
  40    3900.00    4000.00  6.887975106612204E-11  1.182333705522276E-11 1003
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.2912484232648837E-10  2.3280178500364950E-11 7410
#-------------------------------------------------------------------------------------
# Sum:                       1.2153145258431783E+00  1.1188475601676020E-03 21479000
#=====================================================================================
