# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 33206
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  3.183757909655440E-03  5.060612577841850E-04 623
   2     100.00     200.00  5.043437773424963E-03  8.667414784370486E-04 788
   3     200.00     300.00  1.144348564227406E-03  2.123801346384925E-04 446
   4     300.00     400.00  1.330313452071066E-03  9.229160742480575E-04 280
   5     400.00     500.00  2.765590598627138E-04  7.074433241193515E-05 211
   6     500.00     600.00  1.043681416217286E-04  2.645705186750348E-05 148
   7     600.00     700.00  2.380840171787106E-05  8.535896159839389E-06 116
   8     700.00     800.00  2.788386156681570E-05  1.594580065055890E-05 65
   9     800.00     900.00  1.332329391775222E-05  7.277448503177863E-06 52
  10     900.00    1000.00  3.824740660064995E-06  2.069899172522657E-06 45
  11    1000.00    1100.00  2.303155353447340E-06  1.074859254960730E-06 44
  12    1100.00    1200.00  6.750671011215705E-07  2.889532087829578E-07 29
  13    1200.00    1300.00  8.871711333771090E-07  6.020506700375480E-07 23
  14    1300.00    1400.00  8.623395022429047E-07  5.591674416798296E-07 18
  15    1400.00    1500.00  1.967959822759727E-08  1.873163711376320E-08 10
  16    1500.00    1600.00  5.482506721238575E-09  3.154994958875844E-09 9
  17    1600.00    1700.00  9.163675917911768E-09  8.317322896922302E-09 13
  18    1700.00    1800.00  2.611169572694067E-07  2.536376602250001E-07 11
  19    1800.00    1900.00  9.201548424380409E-09  8.785962507550288E-09 7
  20    1900.00    2000.00  2.236853425006591E-08  2.071463189843277E-08 11
  21    2000.00    2100.00  1.489218765942386E-10  1.148130900296199E-10 4
  22    2100.00    2200.00  4.926619463452733E-08  4.636091729066969E-08 8
  23    2200.00    2300.00  7.167044257853945E-10  7.111101265170253E-10 2
  24    2300.00    2400.00  7.193884448532371E-10  7.113882816025797E-10 6
  25    2400.00    2500.00  6.759330861775171E-10  5.994254742020807E-10 4
  26    2500.00    2600.00  3.866490536780753E-09  3.860296145786414E-09 4
  27    2600.00    2700.00  1.779275431485976E-10  1.768542564601596E-10 5
  28    2700.00    2800.00  8.430515516314607E-10  8.430388572705189E-10 1
  29    2800.00    2900.00  6.859478515667922E-12  6.859375228157234E-12 1
  30    2900.00    3000.00  1.201737217198294E-10  1.201682470790731E-10 2
  31    3000.00    3100.00  6.360833710484472E-12  6.360739250654966E-12 2
  32    3100.00    3200.00  1.749422775682599E-10  1.749396433516321E-10 1
  33    3200.00    3300.00  7.638440447272786E-10  7.638325430439139E-10 1
  34    3300.00    3400.00  1.958395998106369E-12  1.958366509297982E-12 1
  35    3400.00    3500.00  0.000000000000000E+00  0.000000000000000E+00 0
  36    3500.00    3600.00  5.191463682432633E-13  5.191385511277295E-13 1
  37    3600.00    3700.00  8.837429211094521E-10  8.834218412503676E-10 2
  38    3700.00    3800.00  1.584353093920860E-10  1.584329237313285E-10 1
  39    3800.00    3900.00  0.000000000000000E+00  0.000000000000000E+00 0
  40    3900.00    4000.00  3.513625302112900E-10  3.400579442679290E-10 2
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  1.1714510526923265E-10  9.8177896955136462E-11 3
#-------------------------------------------------------------------------------------
# Sum:                       1.1156738944592686E+00  1.3821393859291559E-01 3000
#=====================================================================================
