# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 109412858
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.552977429569418E-05  6.633543063995047E-08 846167
   2     100.00     200.00  1.519911270558166E-04  2.850376337851066E-07 2483096
   3     200.00     300.00  3.356736833966043E-04  5.799610557401707E-07 2131360
   4     300.00     400.00  4.729524512704251E-04  8.582266812899032E-07 1738527
   5     400.00     500.00  5.577705296643437E-04  1.128224716548509E-06 1441888
   6     500.00     600.00  6.090695949861027E-04  1.399559703606712E-06 1215322
   7     600.00     700.00  6.336715953883032E-04  1.628730726194925E-06 1042638
   8     700.00     800.00  6.359436999040626E-04  1.809326888944744E-06 903645
   9     800.00     900.00  6.230425151853170E-04  1.979012057345585E-06 792101
  10     900.00    1000.00  6.080586393490441E-04  2.165921326700277E-06 700125
  11    1000.00    1100.00  5.883366986505460E-04  2.277579468261176E-06 621365
  12    1100.00    1200.00  5.598569077864175E-04  2.337900222713617E-06 560072
  13    1200.00    1300.00  5.324416231095279E-04  2.439747258745563E-06 503723
  14    1300.00    1400.00  4.928653357463696E-04  2.396870047416188E-06 454385
  15    1400.00    1500.00  4.691081959731289E-04  2.509024271604713E-06 413582
  16    1500.00    1600.00  4.381275337260723E-04  2.532847429749023E-06 377178
  17    1600.00    1700.00  4.017154964680649E-04  2.438450483597061E-06 345055
  18    1700.00    1800.00  3.738831913342476E-04  2.445896682398282E-06 317882
  19    1800.00    1900.00  3.479511716722750E-04  2.357626341131359E-06 291871
  20    1900.00    2000.00  3.203386653913227E-04  2.317491413815216E-06 269468
  21    2000.00    2100.00  2.912693533053181E-04  2.185477144724571E-06 248935
  22    2100.00    2200.00  2.703755758969647E-04  2.175061684994943E-06 230516
  23    2200.00    2300.00  2.470032095127161E-04  2.132057151248472E-06 213766
  24    2300.00    2400.00  2.231941743738424E-04  1.992888981276994E-06 199573
  25    2400.00    2500.00  2.001531215204365E-04  1.830886616328503E-06 184445
  26    2500.00    2600.00  1.883548504245813E-04  1.959267014264348E-06 173385
  27    2600.00    2700.00  1.714991865548883E-04  1.827477004006099E-06 161478
  28    2700.00    2800.00  1.519822049718242E-04  1.587361379008258E-06 150871
  29    2800.00    2900.00  1.364970857632921E-04  1.532621307981106E-06 141236
  30    2900.00    3000.00  1.240117555273745E-04  1.399089369521959E-06 132150
  31    3000.00    3100.00  1.093595688615366E-04  1.339024852638717E-06 123902
  32    3100.00    3200.00  1.019628096580113E-04  1.301446072809621E-06 116160
  33    3200.00    3300.00  9.033630016787397E-05  1.268520411350298E-06 109991
  34    3300.00    3400.00  8.101430851265692E-05  1.100725566233395E-06 103333
  35    3400.00    3500.00  6.940665995776535E-05  9.258868093053905E-07 97102
  36    3500.00    3600.00  6.473702594104372E-05  1.042945529737169E-06 90797
  37    3600.00    3700.00  5.694518775525529E-05  8.895812294875664E-07 86167
  38    3700.00    3800.00  5.049916644805109E-05  8.524023918943046E-07 80911
  39    3800.00    3900.00  4.555724746369268E-05  7.789126323582325E-07 76632
  40    3900.00    4000.00  3.965919956836231E-05  6.599718306808726E-07 72177
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.7099883589295571E-04  1.5859910323469822E-06 1236023
#-------------------------------------------------------------------------------------
# Sum:                       1.2153145258432128E+00  1.1205006554123574E-03 21479000
#=====================================================================================
