# title = Invariant Mass Jet Pair
# xlabel = $M_{\text{j}_1\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{j}_1\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 33206
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  1.143533880663118E-05  1.933965769425644E-06 184
   2     100.00     200.00  1.290266934553994E-04  1.442075973708209E-05 460
   3     200.00     300.00  3.142869648754273E-04  3.549614504575681E-05 371
   4     300.00     400.00  4.838752129513043E-04  7.320475249225785E-05 327
   5     400.00     500.00  5.439752752837426E-04  1.027476107848852E-04 241
   6     500.00     600.00  5.776248526698125E-04  1.217630309811721E-04 202
   7     600.00     700.00  5.662326979575115E-04  1.426697158800641E-04 157
   8     700.00     800.00  5.883680976601455E-04  1.722793342864705E-04 138
   9     800.00     900.00  7.743757815670153E-04  1.760570105082617E-04 128
  10     900.00    1000.00  4.175249048724362E-04  1.660932624375942E-04 79
  11    1000.00    1100.00  5.075231766284707E-04  2.316721398143213E-04 76
  12    1100.00    1200.00  1.901688651355099E-04  9.020568385531875E-05 45
  13    1200.00    1300.00  2.597264710719852E-04  1.402156390320625E-04 50
  14    1300.00    1400.00  5.308405677541436E-04  2.206585598046096E-04 45
  15    1400.00    1500.00  4.410253793034151E-04  2.399916528934076E-04 43
  16    1500.00    1600.00  6.629590335581466E-04  3.698867047209887E-04 50
  17    1600.00    1700.00  1.666195045860707E-04  6.579392698836721E-05 37
  18    1700.00    1800.00  4.920355933578702E-05  3.277447319323189E-05 32
  19    1800.00    1900.00  2.221967369099743E-04  1.007049120649633E-04 32
  20    1900.00    2000.00  2.323121361534433E-04  1.300054006515109E-04 22
  21    2000.00    2100.00  1.528102609406976E-04  6.206522181345178E-05 25
  22    2100.00    2200.00  7.664639550291027E-05  2.993357032970278E-05 24
  23    2200.00    2300.00  5.150037922573256E-04  4.362771611476676E-04 22
  24    2300.00    2400.00  2.062358775346275E-04  1.198417031615997E-04 16
  25    2400.00    2500.00  1.518740386869733E-04  8.477583998004712E-05 17
  26    2500.00    2600.00  6.467095724267528E-04  5.249317429000188E-04 15
  27    2600.00    2700.00  3.899346568265202E-05  2.651957769439035E-05 14
  28    2700.00    2800.00  2.308708346958954E-04  2.021713483191721E-04 17
  29    2800.00    2900.00  4.346291852339008E-05  3.271409362861082E-05 13
  30    2900.00    3000.00  1.803452086060325E-04  1.550439578190719E-04 11
  31    3000.00    3100.00  2.010110879592137E-06  1.988525342342169E-06 4
  32    3100.00    3200.00  1.200310173749518E-06  1.101635810609119E-06 6
  33    3200.00    3300.00  9.268758121566865E-04  9.188930132936482E-04 9
  34    3300.00    3400.00  2.821059600844215E-06  1.702837439123010E-06 7
  35    3400.00    3500.00  2.263785813531917E-05  1.770990468712233E-05 8
  36    3500.00    3600.00  0.000000000000000E+00  0.000000000000000E+00 0
  37    3600.00    3700.00  2.939257995984769E-05  1.490125749159226E-05 10
  38    3700.00    3800.00  1.779316285999156E-07  1.779289493707368E-07 1
  39    3800.00    3900.00  1.333367445698656E-07  1.201690035759232E-07 4
  40    3900.00    4000.00  2.713118243366065E-10  2.715159759576650E-10 2
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.5923605860801697E-04  9.8363085291145518E-05 56
#-------------------------------------------------------------------------------------
# Sum:                       1.1156738944592675E+00  1.3825001053537761E-01 3000
#=====================================================================================
