# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 109412858
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.50      -4.00  5.420691612768865E-02  3.838878030343628E-04 475066
   3      -4.00      -3.50  1.129632913213932E-01  5.672609963197635E-04 712030
   4      -3.50      -3.00  1.730410477416894E-01  6.925430306449791E-04 947021
   5      -3.00      -2.50  2.086761984015274E-01  7.499635147799518E-04 1155236
   6      -2.50      -2.00  2.045686146182694E-01  6.670350725435439E-04 1315457
   7      -2.00      -1.50  1.698624485066618E-01  4.934847764056931E-04 1437587
   8      -1.50      -1.00  1.277106691626924E-01  3.455678289241609E-04 1518631
   9      -1.00      -0.50  9.181688732376454E-02  2.215959893226463E-04 1568591
  10      -0.50       0.00  7.266621184892642E-02  1.575764848282607E-04 1591919
  11       0.00       0.50  7.238586941875245E-02  1.604221531113532E-04 1594983
  12       0.50       1.00  9.185460493285746E-02  2.353987414064475E-04 1583043
  13       1.00       1.50  1.271655099706711E-01  3.570484196990083E-04 1543055
  14       1.50       2.00  1.703998783899668E-01  5.261282338659428E-04 1468445
  15       2.00       2.50  2.031352919947775E-01  6.723306018371790E-04 1349697
  16       2.50       3.00  2.085076918900381E-01  7.645708759435911E-04 1179034
  17       3.00       3.50  1.746830811555625E-01  7.513627175419045E-04 943455
  18       3.50       4.00  1.130226249563585E-01  6.164011846776588E-04 677533
  19       4.00       4.50  5.396221392480553E-02  4.012263036254642E-04 418217
  20       4.50       5.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.2153145258432017E+00  1.1203291440696783E-03 21479000
#=====================================================================================
