# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 33206
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.50      -4.00  5.992923632390202E-02  2.395306108853917E-02 94
   3      -4.00      -3.50  8.351400449472926E-02  2.641705462724049E-02 108
   4      -3.50      -3.00  1.430610074130858E-01  7.366060250618152E-02 120
   5      -3.00      -2.50  1.964069170633484E-01  5.881927832807473E-02 155
   6      -2.50      -2.00  2.534467051500235E-01  1.016865131594775E-01 196
   7      -2.00      -1.50  1.348040722470090E-01  3.732322221827099E-02 192
   8      -1.50      -1.00  1.811406098537364E-01  1.049807798975918E-01 212
   9      -1.00      -0.50  1.470926668591430E-01  3.288929911419822E-02 242
  10      -0.50       0.00  5.959330753256090E-02  1.628740510508655E-02 213
  11       0.00       0.50  5.828800333269800E-02  1.157683539989194E-02 226
  12       0.50       1.00  7.050012697289969E-02  1.327999122263629E-02 226
  13       1.00       1.50  1.501882157841696E-01  3.849945387129293E-02 244
  14       1.50       2.00  1.534818249453618E-01  5.457916528140401E-02 196
  15       2.00       2.50  5.744719568325496E-02  1.887877628099878E-02 158
  16       2.50       3.00  2.753517617924440E-01  1.854212032715284E-01 167
  17       3.00       3.50  1.060519939360322E-01  2.688289574656063E-02 116
  18       3.50       4.00  8.595498400177357E-02  4.363832752614798E-02 86
  19       4.00       4.50  1.509515553236338E-02  7.341800293438722E-03 49
  20       4.50       5.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.1156738944592679E+00  1.3824626797567019E-01 3000
#=====================================================================================
