# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 109412858
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.50  2.682198252889538E-02  4.762814041440023E-05 1947050
   2       0.50       1.00  3.993673913070223E-02  6.810720508765524E-05 2064790
   3       1.00       1.50  6.608075904575590E-02  1.091188655276670E-04 2151692
   4       1.50       2.00  1.051857314772854E-01  1.715796955833657E-04 2216650
   5       2.00       2.50  1.535573258141468E-01  2.587640579172383E-04 2228489
   6       2.50       3.00  2.052468909053878E-01  3.682787509107926E-04 2152857
   7       3.00       3.50  2.514299835970296E-01  4.931902691549344E-04 1992750
   8       3.50       4.00  2.833045481750056E-01  6.267500886764450E-04 1754707
   9       4.00       4.50  2.943386576706561E-01  7.571770856134445E-04 1465617
  10       4.50       5.00  2.806494790895804E-01  8.426877145782516E-04 1159842
  11       5.00       5.50  2.461471843191222E-01  8.902080493090807E-04 867817
  12       5.50       6.00  1.939460857615908E-01  8.660546369258488E-04 608825
  13       6.00       6.50  1.338873059443006E-01  7.567798305011647E-04 399014
  14       6.50       7.00  8.268673304958297E-02  6.235131039822316E-04 242531
  15       7.00       7.50  4.301684933414315E-02  4.667979524693059E-04 133527
  16       7.50       8.00  1.790588200491722E-02  3.120028959399882E-04 63957
  17       8.00       8.50  5.663045009425287E-03  1.621079041515528E-04 24044
  18       8.50       9.00  8.238688288585943E-04  5.853505082567550E-05 4841
  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0
  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.2153145258431930E+00  1.1201886484668081E-03 21479000
#=====================================================================================
