# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -1.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 109412858
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  2.806641475799488E-04  3.188917636494580E-06 661458
   3      50.00      75.00  1.738281151256052E-03  9.061096051858089E-06 1594320
   4      75.00     100.00  3.454712881883867E-03  1.377973101875859E-05 1748696
   5     100.00     125.00  4.556585603223920E-03  1.602936631822187E-05 1682209
   6     125.00     150.00  4.892054915151322E-03  1.620601360867147E-05 1537853
   7     150.00     175.00  4.780876718724933E-03  1.542516881165346E-05 1371396
   8     175.00     200.00  4.324754957162987E-03  1.417615860209166E-05 1206931
   9     200.00     225.00  3.803318080522988E-03  1.296494597458909E-05 1060249
  10     225.00     250.00  3.252464322469970E-03  1.157073993783747E-05 929681
  11     250.00     275.00  2.755911870619179E-03  1.005355894366791E-05 820476
  12     275.00     300.00  2.317532183041521E-03  8.966425280153755E-06 724319
  13     300.00     325.00  1.948389434568714E-03  7.984493585699334E-06 643238
  14     325.00     350.00  1.621089510358353E-03  6.974100980986913E-06 573570
  15     350.00     375.00  1.350219420779998E-03  6.024737144340043E-06 514148
  16     375.00     400.00  1.134547682418355E-03  5.492516299910912E-06 460339
  17     400.00     425.00  9.477062040981269E-04  4.622598046272675E-06 416075
  18     425.00     450.00  7.908454899298841E-04  4.088629295451928E-06 376114
  19     450.00     475.00  6.706672439260705E-04  3.744252100376946E-06 341844
  20     475.00     500.00  5.677874276704360E-04  3.320500458424433E-06 311549
  21     500.00     525.00  4.844305236124568E-04  3.051605795292361E-06 284804
  22     525.00     550.00  4.060260203638437E-04  2.499543841797065E-06 261024
  23     550.00     575.00  3.458720043697222E-04  2.253819929922345E-06 238419
  24     575.00     600.00  2.948757615003318E-04  1.986265986495658E-06 220813
  25     600.00     625.00  2.510738116744103E-04  1.835954702325230E-06 203457
  26     625.00     650.00  2.136709358891024E-04  1.588021482961979E-06 188235
  27     650.00     675.00  1.859914904438970E-04  1.497244752227346E-06 174051
  28     675.00     700.00  1.577543600315464E-04  1.314976689999251E-06 161186
  29     700.00     725.00  1.373426103079658E-04  1.173110525221786E-06 150515
  30     725.00     750.00  1.189813072575063E-04  1.080687022614634E-06 139909
  31     750.00     775.00  1.022944064695671E-04  9.209103745349168E-07 130288
  32     775.00     800.00  8.829618265269718E-05  8.193741951309181E-07 122036
  33     800.00     825.00  7.689512074233017E-05  7.939400353193916E-07 113592
  34     825.00     850.00  6.788366861402495E-05  6.893478964408574E-07 107086
  35     850.00     875.00  5.908219736518081E-05  6.796075319867107E-07 100565
  36     875.00     900.00  5.064026300013781E-05  5.564709784289921E-07 93700
  37     900.00     925.00  4.580878207968663E-05  5.641315175760504E-07 88170
  38     925.00     950.00  3.822202628964519E-05  4.781504927840772E-07 82905
  39     950.00     975.00  3.426966805660324E-05  4.405608404747588E-07 77672
  40     975.00    1000.00  3.062463561612366E-05  4.008753024574725E-07 73582
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.3413601200441167E-04  9.3323117525410515E-07 1492526
#-------------------------------------------------------------------------------------
# Sum:                       1.2153145258431965E+00  1.1203287888628581E-03 21479000
#=====================================================================================
