# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 95433017
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  2.060273795340983E-02  1.606349443178397E-05 309191270
   3      50.00      75.00  1.907786383506286E-02  1.153526604356501E-05 221710777
   4      75.00     100.00  1.468238465434204E-02  9.882636483289470E-06 144761187
   5     100.00     125.00  1.056306577642858E-02  8.078458640231800E-06 99117434
   6     125.00     150.00  7.352737664140497E-03  6.338443336455161E-06 69519256
   7     150.00     175.00  5.106008778239845E-03  4.983289401814607E-06 49502770
   8     175.00     200.00  3.572620088871283E-03  3.932528080415308E-06 35879904
   9     200.00     225.00  2.541271521698600E-03  3.121623470387494E-06 27261892
  10     225.00     250.00  1.837928970754279E-03  2.532256189231942E-06 21879469
  11     250.00     275.00  1.352225171708989E-03  2.053534023404496E-06 17844085
  12     275.00     300.00  1.010949571152793E-03  1.730129038931612E-06 14747448
  13     300.00     325.00  7.645705807257306E-04  1.431705266480814E-06 12313841
  14     325.00     350.00  5.852520564859953E-04  1.197205139858431E-06 10388573
  15     350.00     375.00  4.525568406333149E-04  1.005750372082040E-06 8837367
  16     375.00     400.00  3.543416222510153E-04  8.582062277764128E-07 7587965
  17     400.00     425.00  2.803605956145808E-04  7.491827651527419E-07 6556259
  18     425.00     450.00  2.244565970222237E-04  6.488276629194693E-07 5694171
  19     450.00     475.00  1.805131311044269E-04  5.543944857789525E-07 4985187
  20     475.00     500.00  1.455977345862426E-04  5.009515584538817E-07 4381799
  21     500.00     525.00  1.190477336755579E-04  4.271624476205639E-07 3871710
  22     525.00     550.00  9.840332950257261E-05  3.825948278965191E-07 3438170
  23     550.00     575.00  8.099284339807779E-05  3.393159463593113E-07 3067696
  24     575.00     600.00  6.700213302869027E-05  2.992029694036263E-07 2743927
  25     600.00     625.00  5.601405307588364E-05  2.625588444708049E-07 2465442
  26     625.00     650.00  4.681835053851693E-05  2.332199062438100E-07 2221158
  27     650.00     675.00  3.987880615410873E-05  2.123098781881753E-07 2007859
  28     675.00     700.00  3.347008578334029E-05  1.877674693773453E-07 1818842
  29     700.00     725.00  2.807746178423406E-05  1.674965838754420E-07 1655043
  30     725.00     750.00  2.407806615202484E-05  1.534658262494526E-07 1510193
  31     750.00     775.00  2.067139018943936E-05  1.384516346528168E-07 1377361
  32     775.00     800.00  1.768816421292258E-05  1.239995781380669E-07 1261866
  33     800.00     825.00  1.513550637915941E-05  1.120005853473469E-07 1156707
  34     825.00     850.00  1.294436610086315E-05  1.014074828510916E-07 1064187
  35     850.00     875.00  1.112084026728672E-05  8.995266409527245E-08 980512
  36     875.00     900.00  9.806600206498478E-06  8.602194603847706E-08 905460
  37     900.00     925.00  8.462162362244290E-06  7.627430869619118E-08 836330
  38     925.00     950.00  7.435001019941290E-06  7.034762749085042E-08 773554
  39     950.00     975.00  6.267503569339585E-06  6.250353388925795E-08 716616
  40     975.00    1000.00  5.529368784000702E-06  5.837840796506966E-08 665456
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  4.4193425670649194E-09  1.6917160588455385E-10 302713
#-------------------------------------------------------------------------------------
# Sum:                       1.2617393016002036E-02  1.0068749710877959E-05 18966033
#=====================================================================================
