# title = zeppenfled positron
# xlabel = $z^*_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\text{e}^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 109412858
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  2.951987814739323E+00  7.428418595351264E-03 1953143
   2       0.05       0.10  2.908720846914349E+00  7.625927042420042E-03 1898663
   3       0.10       0.15  2.792328767021885E+00  7.829230575941981E-03 1800018
   4       0.15       0.20  2.620881131885239E+00  7.778787201349197E-03 1666509
   5       0.20       0.25  2.381230875746371E+00  7.695736600510529E-03 1513617
   6       0.25       0.30  2.104219754281735E+00  7.495422051711928E-03 1348250
   7       0.30       0.35  1.778021123536869E+00  6.952270618896392E-03 1182791
   8       0.35       0.40  1.442694543937194E+00  6.056328613102611E-03 1026255
   9       0.40       0.45  1.100120458071528E+00  4.975044089625076E-03 878179
  10       0.45       0.50  7.991791769466650E-01  3.707578622167639E-03 746752
  11       0.50       0.55  6.111198512141026E-01  2.986539629788848E-03 647346
  12       0.55       0.60  4.801859097443757E-01  2.431881051001229E-03 566152
  13       0.60       0.65  3.789000050925828E-01  2.004851724245293E-03 498107
  14       0.65       0.70  2.918696156651201E-01  1.544133529610616E-03 436028
  15       0.70       0.75  2.289404519458722E-01  1.243978845614294E-03 382888
  16       0.75       0.80  1.809761402683285E-01  1.038316938957872E-03 336277
  17       0.80       0.85  1.469060896729805E-01  8.947888123330320E-04 297486
  18       0.85       0.90  1.206585198092889E-01  7.808636975432791E-04 263969
  19       0.90       0.95  9.934018434148659E-02  6.737506920021626E-04 235111
  20       0.95       1.00  8.272916238742031E-02  5.554577249942540E-04 210966
  21       1.00       1.05  7.009531228800796E-02  5.254230678937664E-04 190313
  22       1.05       1.10  5.965005774090582E-02  4.558305210494955E-04 171524
  23       1.10       1.15  5.121747997848906E-02  4.065137452431162E-04 155622
  24       1.15       1.20  4.474172446780287E-02  3.610473077133076E-04 141755
  25       1.20       1.25  3.899814102275216E-02  3.312645357819333E-04 129978
  26       1.25       1.30  3.368109045356787E-02  2.948130465462761E-04 119191
  27       1.30       1.35  3.024724195860789E-02  2.792313516527517E-04 109133
  28       1.35       1.40  2.749664361490881E-02  2.680582195718450E-04 101170
  29       1.40       1.45  2.452514861399883E-02  2.655635599119098E-04 93565
  30       1.45       1.50  2.177629855621858E-02  2.313764451507738E-04 86415
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  4.0285095494576012E-01  7.7397147297579192E-04 2291827
#-------------------------------------------------------------------------------------
# Sum:                       1.2153145258431872E+00  1.1202046364602893E-03 21479000
#=====================================================================================
