# title = zeppenfled positron
# xlabel = $z^*_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\text{e}^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 33206
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  2.248947373728574E+00  5.006566473706859E-01 183
   2       0.05       0.10  2.853849853451904E+00  6.391380348479351E-01 185
   3       0.10       0.15  3.904763134148308E+00  2.043393979130796E+00 195
   4       0.15       0.20  1.149878684618067E+00  2.667910457564491E-01 163
   5       0.20       0.25  1.880300627774373E+00  5.455058876545162E-01 154
   6       0.25       0.30  1.714656028771288E+00  5.229896568389825E-01 187
   7       0.30       0.35  1.415510051217663E+00  4.981297735140500E-01 155
   8       0.35       0.40  2.903149035965685E+00  1.284834846999847E+00 130
   9       0.40       0.45  6.516134614912249E-01  2.136842083689073E-01 121
  10       0.45       0.50  5.781240309735455E-01  1.601401102147005E-01 115
  11       0.50       0.55  6.482205587851063E-01  2.407789569002547E-01 108
  12       0.55       0.60  5.113746779368983E-01  3.045100149074185E-01 94
  13       0.60       0.65  3.048824171808484E-01  1.006980368356300E-01 97
  14       0.65       0.70  3.193014231114418E-01  1.251563285419228E-01 69
  15       0.70       0.75  1.151398017980330E-01  3.857057448048717E-02 84
  16       0.75       0.80  1.434144429441353E-01  7.929732471594668E-02 56
  17       0.80       0.85  3.155253577733620E-02  1.118982424546195E-02 45
  18       0.85       0.90  1.179997594873647E-01  4.367497649925350E-02 57
  19       0.90       0.95  3.259617462229176E-02  1.106287017715121E-02 41
  20       0.95       1.00  5.400353285193524E-02  2.070220889379198E-02 46
  21       1.00       1.05  7.463596831237390E-02  4.343531332325509E-02 39
  22       1.05       1.10  1.276395941032648E-01  6.232041248614974E-02 42
  23       1.10       1.15  2.185623802856710E-02  1.311514361012057E-02 18
  24       1.15       1.20  4.943732634760855E-02  2.553944152185213E-02 29
  25       1.20       1.25  4.665522816635309E-02  2.790786385812463E-02 24
  26       1.25       1.30  1.685085127718063E-02  1.062968443021469E-02 21
  27       1.30       1.35  1.569218135043471E-02  7.473049410152853E-03 28
  28       1.35       1.40  4.612913211538047E-02  3.071965742499021E-02 23
  29       1.40       1.45  2.084581334102460E-02  9.963136770593009E-03 15
  30       1.45       1.50  2.017550990324058E-02  6.606998090007526E-03 22
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.9428243960390249E-01  4.2717514610287867E-02 454
#-------------------------------------------------------------------------------------
# Sum:                       1.1156738944592675E+00  1.3824293598038281E-01 3000
#=====================================================================================
