# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 33206
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  5.730858053347658E-03  1.025260546926739E-03 1086
   3      50.00      75.00  8.192641512315088E-03  1.499972551528219E-03 636
   4      75.00     100.00  3.533533868814889E-03  6.724123077206496E-04 326
   5     100.00     125.00  6.854467698952432E-03  1.803148852154386E-03 224
   6     125.00     150.00  3.110772491286859E-03  9.274680235046330E-04 135
   7     150.00     175.00  1.918042307938838E-03  5.013749084218542E-04 100
   8     175.00     200.00  3.773171508512601E-03  1.823903432730436E-03 70
   9     200.00     225.00  1.845847634344169E-03  7.450078081984317E-04 54
  10     225.00     250.00  1.160167517525292E-03  5.522511096781807E-04 40
  11     250.00     275.00  3.869838192409950E-03  3.679049236598768E-03 33
  12     275.00     300.00  2.546994827505253E-04  1.034117641103039E-04 38
  13     300.00     325.00  4.410867911348960E-04  1.946892798177005E-04 26
  14     325.00     350.00  2.529747089410232E-04  1.679255677218039E-04 20
  15     350.00     375.00  2.086670354855744E-03  2.057417861092338E-03 17
  16     375.00     400.00  1.704127719330721E-04  1.118589213564934E-04 20
  17     400.00     425.00  1.215184933761575E-04  7.224691941444077E-05 15
  18     425.00     450.00  1.852056680523887E-05  1.451691186770718E-05 10
  19     450.00     475.00  7.026110211020030E-04  6.131040063351392E-04 12
  20     475.00     500.00  2.100484775790581E-04  1.358858740328228E-04 14
  21     500.00     525.00  1.295221842480255E-04  9.511874811812017E-05 13
  22     525.00     550.00  1.281844620754690E-05  8.758079094881503E-06 6
  23     550.00     575.00  2.912776240055744E-05  2.662385729418447E-05 8
  24     575.00     600.00  1.197530997379597E-06  6.215786770743394E-07 8
  25     600.00     625.00  6.227061303027661E-07  5.129732606217003E-07 4
  26     625.00     650.00  9.494792356444685E-05  7.109462392213383E-05 9
  27     650.00     675.00  9.279769633305592E-06  6.914027203721261E-06 5
  28     675.00     700.00  1.127154063444588E-07  9.155059766190020E-08 8
  29     700.00     725.00  1.107307867215331E-05  9.650311900981489E-06 2
  30     725.00     750.00  3.206056709357510E-05  2.989770348966289E-05 4
  31     750.00     775.00  4.003098123466148E-06  3.880910823798009E-06 4
  32     775.00     800.00  1.124531558938295E-06  6.597722981438303E-07 5
  33     800.00     825.00  1.994793738178286E-05  1.925585636063539E-05 4
  34     825.00     850.00  9.708821505905219E-07  7.299700585039681E-07 4
  35     850.00     875.00  6.095310787599988E-08  5.961967884273403E-08 4
  36     875.00     900.00  1.661820096349396E-08  1.661795073272121E-08 1
  37     900.00     925.00  1.975625011463148E-07  1.942923523862656E-07 4
  38     925.00     950.00  2.373651348176662E-07  2.323853034397651E-07 3
  39     950.00     975.00  0.000000000000000E+00  0.000000000000000E+00 0
  40     975.00    1000.00  2.693269915905984E-05  2.578368719842378E-05 2
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  4.8179927729481508E-06  2.4432060813552292E-06 26
#-------------------------------------------------------------------------------------
# Sum:                       1.1156738944592675E+00  1.3824170350617426E-01 3000
#=====================================================================================
