# title = zeppenfled positron
# xlabel = $z^*_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\text{e}^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 95433017
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  4.875676692475825E+00  3.782355981124108E-03 81756810
   2       0.05       0.10  4.774711928686854E+00  3.779196211865606E-03 79567303
   3       0.10       0.15  4.588867735899911E+00  3.850192351165471E-03 75578035
   4       0.15       0.20  4.307691385932136E+00  3.923997513198733E-03 70287224
   5       0.20       0.25  3.931601549469816E+00  3.942498845759087E-03 64103980
   6       0.25       0.30  3.469631711926450E+00  3.677227187468792E-03 57555550
   7       0.30       0.35  2.965699422874064E+00  3.420087788345339E-03 51038322
   8       0.35       0.40  2.448105824061672E+00  3.102158216932565E-03 44883226
   9       0.40       0.45  1.923376293341459E+00  2.602122967922676E-03 39142505
  10       0.45       0.50  1.457334690230722E+00  2.129189612519172E-03 34147152
  11       0.50       0.55  1.148869484301966E+00  1.828610344441804E-03 30207528
  12       0.55       0.60  9.348446401680033E-01  1.592086175710455E-03 27065038
  13       0.60       0.65  7.633303539961322E-01  1.454077915467141E-03 24355442
  14       0.65       0.70  6.229669455919394E-01  1.235459952859025E-03 21939699
  15       0.70       0.75  5.116684368052146E-01  1.144227220999291E-03 19843936
  16       0.75       0.80  4.316538844669177E-01  1.109593143139316E-03 18040753
  17       0.80       0.85  3.664394931943658E-01  1.047629077292692E-03 16477434
  18       0.85       0.90  3.160362761051131E-01  9.654375900074364E-04 15110531
  19       0.90       0.95  2.777791561504682E-01  1.017878530341708E-03 13924603
  20       0.95       1.00  2.466626286271108E-01  1.000547523251187E-03 12864485
  21       1.00       1.05  2.200603123699891E-01  9.674655610605392E-04 11927488
  22       1.05       1.10  1.976068804017694E-01  9.050204281790187E-04 11090731
  23       1.10       1.15  1.785693961908118E-01  8.329083727364436E-04 10342700
  24       1.15       1.20  1.646630636593632E-01  8.174343543335750E-04 9666754
  25       1.20       1.25  1.501130515445117E-01  7.168819684051171E-04 9051418
  26       1.25       1.30  1.395201076610363E-01  6.927476060692546E-04 8493969
  27       1.30       1.35  1.309328811090519E-01  9.074137929159335E-04 7984988
  28       1.35       1.40  1.217749517504103E-01  7.317279425480374E-04 7516105
  29       1.40       1.45  1.144794713132723E-01  7.007740780554350E-04 7090242
  30       1.45       1.50  1.081214966876260E-01  6.853575610226229E-04 6701758
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  1.1226401752929556E-02  2.1238124856235674E-05 2110138
#-------------------------------------------------------------------------------------
# Sum:                       1.2617393016001800E-02  1.0077471284834859E-05 18966033
#=====================================================================================
