# title = zeppenfled anti-muon
# xlabel = $z^*_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 95433017
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  4.876569851788444E+00  3.796231573776537E-03 81482163
   2       0.05       0.10  4.775992602376824E+00  3.794654400670725E-03 79299904
   3       0.10       0.15  4.587228140386761E+00  3.951309482236810E-03 75355225
   4       0.15       0.20  4.304592436039086E+00  3.939254432453955E-03 70067576
   5       0.20       0.25  3.926431559988248E+00  3.849894679674221E-03 63922597
   6       0.25       0.30  3.477286917416403E+00  3.708643348083030E-03 57401525
   7       0.30       0.35  2.967682568791432E+00  3.447749737511510E-03 50920669
   8       0.35       0.40  2.449524897657936E+00  3.074224827413230E-03 44804669
   9       0.40       0.45  1.919586272599575E+00  2.604503649149559E-03 39069459
  10       0.45       0.50  1.454133220220143E+00  2.106312388653430E-03 34083561
  11       0.50       0.55  1.149556544800697E+00  1.822973999528302E-03 30159043
  12       0.55       0.60  9.346106839963256E-01  1.569136297856596E-03 27020643
  13       0.60       0.65  7.652683339701899E-01  1.425196116952073E-03 24320994
  14       0.65       0.70  6.228749755432692E-01  1.225281768294186E-03 21891592
  15       0.70       0.75  5.107654610004558E-01  1.148574791536715E-03 19816826
  16       0.75       0.80  4.316250692058868E-01  1.070674102503182E-03 18013290
  17       0.80       0.85  3.671661449263411E-01  1.045624141023803E-03 16454958
  18       0.85       0.90  3.164991813495888E-01  9.982261762905072E-04 15083308
  19       0.90       0.95  2.780806683096498E-01  9.919764143620107E-04 13895043
  20       0.95       1.00  2.446697463557115E-01  9.460929017934804E-04 12840693
  21       1.00       1.05  2.198576704155949E-01  8.715090984244873E-04 11910699
  22       1.05       1.10  1.986907657679653E-01  8.966323250214049E-04 11076488
  23       1.10       1.15  1.790933334761667E-01  8.167137325600420E-04 10325477
  24       1.15       1.20  1.662812135169185E-01  2.480745225156832E-03 9658619
  25       1.20       1.25  1.530333207957559E-01  8.343511241857371E-04 9046735
  26       1.25       1.30  1.399816543840059E-01  7.299388956984375E-04 8485017
  27       1.30       1.35  1.306519118075371E-01  7.413808663539545E-04 7979892
  28       1.35       1.40  1.232271208150055E-01  7.738508353212840E-04 7517167
  29       1.40       1.45  1.151640308931280E-01  6.881407548468339E-04 7101309
  30       1.45       1.50  1.077178682107571E-01  6.153437290901350E-04 6710389
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  1.1220418650647053E-02  2.1189258588023170E-05 2111498
#-------------------------------------------------------------------------------------
# Sum:                       1.2617393016001885E-02  1.0077472215281084E-05 18966033
#=====================================================================================
