# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  6.809643430885856E-03  6.222263236305460E-07 1717521327
   2     100.00     200.00  6.417255439507536E-03  5.946143331350789E-07 1475160728
   3     200.00     300.00  2.340452558552049E-03  3.723440054053325E-07 730555710
   4     300.00     400.00  9.212480853219576E-04  2.357372795753009E-07 416101484
   5     400.00     500.00  4.014207453801077E-04  1.525716338272878E-07 260286394
   6     500.00     600.00  1.894331799353221E-04  1.025433516053096E-07 173375615
   7     600.00     700.00  9.515181665920178E-05  6.731656354548978E-08 120766712
   8     700.00     800.00  5.024055001909912E-05  4.539357996384538E-08 86982434
   9     800.00     900.00  2.765032404874500E-05  3.184606324900651E-08 64314327
  10     900.00    1000.00  1.570765594925428E-05  2.195549016526477E-08 48572999
  11    1000.00    1100.00  9.211738366795889E-06  1.553188941552161E-08 37318251
  12    1100.00    1200.00  5.516844907115915E-06  1.123859129044403E-08 29081985
  13    1200.00    1300.00  3.368008834379858E-06  7.980152367682983E-09 22948513
  14    1300.00    1400.00  2.091011115551461E-06  5.808227144471135E-09 18297821
  15    1400.00    1500.00  1.315578565648516E-06  4.212363068754041E-09 14727998
  16    1500.00    1600.00  8.475459653792846E-07  3.223700832238620E-09 11959015
  17    1600.00    1700.00  5.471042038194761E-07  2.306880453669972E-09 9778599
  18    1700.00    1800.00  3.552311714790871E-07  1.667240864620097E-09 8047862
  19    1800.00    1900.00  2.335599415600684E-07  1.204384127713134E-09 6652067
  20    1900.00    2000.00  1.542678746711661E-07  8.889983229639893E-10 5535262
  21    2000.00    2100.00  1.040791535411276E-07  6.817107281592881E-10 4623523
  22    2100.00    2200.00  7.007735433663256E-08  5.339711907648200E-10 3883184
  23    2200.00    2300.00  4.758631271515367E-08  3.961874803724402E-10 3273778
  24    2300.00    2400.00  3.184314612381611E-08  2.812681338079609E-10 2765164
  25    2400.00    2500.00  2.228190114940616E-08  2.499661071499057E-10 2347054
  26    2500.00    2600.00  1.503113800950475E-08  1.768550380732120E-10 1994140
  27    2600.00    2700.00  1.032562146405372E-08  1.296685408075148E-10 1702175
  28    2700.00    2800.00  7.138862976912567E-09  9.750105457320885E-11 1455836
  29    2800.00    2900.00  4.936764083739321E-09  7.420020182877019E-11 1250876
  30    2900.00    3000.00  3.451359421377936E-09  5.588326605724254E-11 1071704
  31    3000.00    3100.00  2.465552577625556E-09  4.248696548407903E-11 923761
  32    3100.00    3200.00  1.613306121477868E-09  2.886925652498212E-11 798832
  33    3200.00    3300.00  1.164657106039941E-09  2.281164668648225E-11 688721
  34    3300.00    3400.00  8.264342153291534E-10  1.965263064178030E-11 596326
  35    3400.00    3500.00  5.727056186233673E-10  1.595928777200570E-11 516078
  36    3500.00    3600.00  4.214069400622979E-10  1.102479445011054E-11 449088
  37    3600.00    3700.00  2.843546966770995E-10  8.931723229910883E-12 389935
  38    3700.00    3800.00  2.062897829554636E-10  7.511560497824943E-12 337560
  39    3800.00    3900.00  1.538321224500835E-10  1.040159021325907E-11 294711
  40    3900.00    4000.00  1.084050587644815E-10  5.787229942670355E-12 257665
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.7397911229937825E-10  8.4200215159390252E-12 196982
#-------------------------------------------------------------------------------------
# Sum:                       1.0939747683437460E+00  1.6760000768654550E-04 549479000
#=====================================================================================
# Number of generated events: 16751423803
