# title = Invariant Mass Positron--anti-Muon System
# xlabel = $M_{\text{e}^+\mu^+}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}M_{\text{e}^+\mu^+}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  1.600E+03
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 650319662
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00     100.00  7.140123977388477E-03  2.173020858725614E-05 2481663142
   2     100.00     200.00  6.703224601622774E-03  1.990227248412971E-05 2133604562
   3     200.00     300.00  2.463044781824551E-03  1.302785786455695E-05 1036213069
   4     300.00     400.00  9.624680637088269E-04  7.920090136716783E-06 582696460
   5     400.00     500.00  4.261450814883244E-04  5.118719329711272E-06 361784249
   6     500.00     600.00  1.976056570059359E-04  3.555568737596499E-06 239872076
   7     600.00     700.00  1.028672650484555E-04  2.639750746429005E-06 166592620
   8     700.00     800.00  5.291743018549868E-05  1.588563502759482E-06 119726972
   9     800.00     900.00  2.915191828577795E-05  1.087492823987049E-06 88415264
  10     900.00    1000.00  1.613402717259961E-05  1.347172491368203E-06 66657208
  11    1000.00    1100.00  9.816892880489077E-06  6.057291052844553E-07 51166738
  12    1100.00    1200.00  6.239862001225079E-06  3.558763617012552E-07 39847544
  13    1200.00    1300.00  2.814453379383317E-06  3.460319287184873E-07 31432072
  14    1300.00    1400.00  2.755241748576033E-06  2.195790283801088E-07 25053297
  15    1400.00    1500.00  1.454498409440043E-06  1.221855944207544E-07 20156617
  16    1500.00    1600.00  9.608038214497734E-07  1.433108506863943E-07 16357575
  17    1600.00    1700.00  6.314650529238610E-07  8.223748177176259E-08 13363995
  18    1700.00    1800.00  4.129332494252683E-07  6.692964431926184E-08 10992754
  19    1800.00    1900.00  9.957495411703488E-08  6.114483568684702E-08 9100462
  20    1900.00    2000.00  2.296697279782161E-07  4.312464267804039E-08 7568191
  21    2000.00    2100.00  1.087192919620818E-07  2.152312614862860E-08 6326257
  22    2100.00    2200.00  8.408253630314417E-08  1.673054508465399E-08 5303313
  23    2200.00    2300.00  7.811439483524976E-08  1.265287171637172E-08 4471655
  24    2300.00    2400.00  2.818040203986618E-08  9.934743057765245E-09 3779555
  25    2400.00    2500.00  2.810460483675414E-08  5.754437294608246E-09 3210395
  26    2500.00    2600.00  2.449192280402839E-08  3.319803919745604E-09 2728895
  27    2600.00    2700.00  1.023732663090994E-08  2.723798618483918E-09 2327507
  28    2700.00    2800.00  2.874200198721350E-09  2.608944968653855E-09 1993335
  29    2800.00    2900.00  8.268009739372541E-09  2.099837714694584E-09 1707798
  30    2900.00    3000.00  1.950203294874126E-09  2.108379504958276E-09 1468165
  31    3000.00    3100.00  1.390963487768537E-09  1.192127398357089E-09 1266469
  32    3100.00    3200.00  2.345461985134676E-09  1.146879177673790E-09 1092551
  33    3200.00    3300.00  1.090800780468603E-09  4.265392774314840E-10 944869
  34    3300.00    3400.00  1.180303852046269E-09  3.668631939269858E-10 816972
  35    3400.00    3500.00  1.780997518782664E-10  4.183355904197464E-10 710619
  36    3500.00    3600.00 -8.838789114408879E-09  9.510672267518304E-09 615982
  37    3600.00    3700.00  5.712443097020598E-09  5.954892911438670E-09 536554
  38    3700.00    3800.00  3.038686835897613E-10  1.330449972893936E-10 468231
  39    3800.00    3900.00  9.444450880140010E-11  1.179686653105785E-10 408029
  40    3900.00    4000.00  3.161500879933736E-10  3.279749784566056E-10 357060
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  2.1952468555851741E-10  4.7837831410849451E-11 16165
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544022296E+00  1.9752857538645942E-03 67479000
#=====================================================================================
