# title = Rapidity Harder Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 650319662
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.50      -4.00  1.980127349905089E-02  6.084454899987172E-04 83330663
   3      -4.00      -3.50  7.264656353786951E-02  1.248798899398846E-03 177110291
   4      -3.50      -3.00  1.676825785732911E-01  1.959129702308444E-03 299540760
   5      -3.00      -2.50  2.755015603842415E-01  2.585746165652848E-03 422271896
   6      -2.50      -2.00  3.344194917146723E-01  2.459238713228322E-03 515433667
   7      -2.00      -1.50  3.240426968256371E-01  1.972053651323689E-03 567979295
   8      -1.50      -1.00  2.667759966752157E-01  1.414293341767634E-03 581706096
   9      -1.00      -0.50  1.968207685458161E-01  9.096649373840050E-04 572306750
  10      -0.50       0.00  1.552427224466501E-01  5.917809405453709E-04 560372888
  11       0.00       0.50  1.556153132464306E-01  6.018230061330026E-04 561632411
  12       0.50       1.00  1.998820254213774E-01  8.624113620821040E-04 578971786
  13       1.00       1.50  2.661355612195407E-01  1.318933329796727E-03 599756877
  14       1.50       2.00  3.220897619873686E-01  1.803473133524780E-03 599555975
  15       2.00       2.50  3.342245781842175E-01  2.229441590083041E-03 555447830
  16       2.50       3.00  2.758745054394255E-01  2.443450151320333E-03 460198691
  17       3.00       3.50  1.656217490449154E-01  2.009570447389372E-03 325226912
  18       3.50       4.00  7.248117007627140E-02  1.341442742034409E-03 187463395
  19       4.00       4.50  1.903715228500702E-02  9.538245098701501E-04 83390473
  20       4.50       5.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544022722E+00  2.1489258961315890E-03 76521435
#=====================================================================================
