# title = Rapidity Softer Jet
# xlabel = $y_{\text{j}_1}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}y_{\text{j}_1}}\,[\text{fb}]$
# xmin= -4.500E+00
# xmax=  4.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 650319662
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1      -5.00      -4.50  0.000000000000000E+00  0.000000000000000E+00 0
   2      -4.50      -4.00  7.667092501465028E-02  1.205526177245949E-03 270930041
   3      -4.00      -3.50  1.635020753187868E-01  1.869867097179678E-03 389215656
   4      -3.50      -3.00  2.525489816931695E-01  2.328334344134373E-03 487083552
   5      -3.00      -2.50  3.120879855017917E-01  2.284278922553389E-03 547780304
   6      -2.50      -2.00  3.119188142816638E-01  2.106382297104190E-03 560880653
   7      -2.00      -1.50  2.667493270571883E-01  1.573893081177512E-03 532580445
   8      -1.50      -1.00  1.972799983610050E-01  1.052414874433052E-03 471362413
   9      -1.00      -0.50  1.336599824161514E-01  7.920055637516618E-04 405673589
  10      -0.50       0.00  9.581607684386158E-02  4.671647762810920E-04 363201927
  11       0.00       0.50  9.726676156236769E-02  4.800890133940021E-04 356965662
  12       0.50       1.00  1.340312630759577E-01  7.705868926454776E-04 389058597
  13       1.00       1.50  1.966122909824069E-01  1.545043553455055E-03 450296399
  14       1.50       2.00  2.652783925257641E-01  1.865853789964738E-03 513530209
  15       2.00       2.50  3.097021072401347E-01  2.126996234638814E-03 545884731
  16       2.50       3.00  3.144564431383372E-01  2.491892919921157E-03 532433678
  17       3.00       3.50  2.545102516407163E-01  2.486590197289573E-03 464373157
  18       3.50       4.00  1.647615607830952E-01  1.938522709020759E-03 354896868
  19       4.00       4.50  7.704223167006378E-02  1.417744496435893E-03 229262796
  20       4.50       5.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544023923E+00  2.3234819502942947E-03 84173459
#=====================================================================================
