# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4625286800
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0
   5       2.00       2.50  3.347621999662063E-01  5.490582527616527E-05 717869940
   6       2.50       3.00  4.192261364205677E-01  6.840836036324944E-05 740632635
   7       3.00       3.50  4.798720835773945E-01  8.515373485903874E-05 705171105
   8       3.50       4.00  5.035623624819412E-01  1.028311306034613E-04 624157788
   9       4.00       4.50  4.861174998963941E-01  1.191586745890472E-04 520183825
  10       4.50       5.00  4.321528662678263E-01  1.314345003612960E-04 410907486
  11       5.00       5.50  3.517390483013548E-01  1.358255411668552E-04 306714663
  12       5.50       6.00  2.602771968833674E-01  1.311432756976742E-04 215459969
  13       6.00       6.50  1.726710086542195E-01  1.167538486875220E-04 141466588
  14       6.50       7.00  1.007754653359978E-01  9.618457287640197E-05 85918455
  15       7.00       7.50  5.028223230136651E-02  7.086619089617235E-05 47284729
  16       7.50       8.00  2.013563272284246E-02  4.501105142716586E-05 22618660
  17       8.00       8.50  5.913111881595977E-03  2.371385342671114E-05 8532249
  18       8.50       9.00  8.422653528721702E-04  8.464733971032793E-06 1720260
  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0
  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.0939747683439041E+00  1.6775710083846921E-04 549479000
#=====================================================================================
