# title = Rapidity separation Jets
# xlabel = $\Delta y_{\text{j}_1 \text{j}_2}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}\Delta y_{\text{j}_1 \text{j}_2}}\,[\text{fb}]$
# xmin= -9.000E+00
# xmax=  9.000E+00
# ymin=  1.000E-04
# ymax=  3.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.50  0.000000000000000E+00  0.000000000000000E+00 0
   2       0.50       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   3       1.00       1.50  0.000000000000000E+00  0.000000000000000E+00 0
   4       1.50       2.00  0.000000000000000E+00  0.000000000000000E+00 0
   5       2.00       2.50  3.239579638429329E-01  4.966972954268789E-04 1727045677
   6       2.50       3.00  3.955540658820754E-01  6.646097089554281E-04 1743190802
   7       3.00       3.50  4.468551796101592E-01  8.594334272697596E-04 1638315226
   8       3.50       4.00  4.712795298478452E-01  1.070016143750587E-03 1437474046
   9       4.00       4.50  4.573455511027966E-01  1.256877390558499E-03 1190368157
  10       4.50       5.00  4.136252012756311E-01  1.462816803414069E-03 934497679
  11       5.00       5.50  3.409909197288661E-01  1.518951198714984E-03 692135805
  12       5.50       6.00  2.582539852979482E-01  1.534682082631427E-03 480973104
  13       6.00       6.50  1.768823563238169E-01  1.547319055236176E-03 311691315
  14       6.50       7.00  9.929869175001765E-02  1.395375220009218E-03 186430391
  15       7.00       7.50  5.330259541644609E-02  9.235212310027635E-04 101044294
  16       7.50       8.00  2.163059142881510E-02  5.962697201254920E-04 47753321
  17       8.00       8.50  6.136392868300146E-03  3.042821196230440E-04 17934750
  18       8.50       9.00  1.122464836239468E-03  1.465917743865549E-04 3707053
  19       9.00       9.50  0.000000000000000E+00  0.000000000000000E+00 0
  20       9.50      10.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544025429E+00  2.2227736216090762E-03 85650077
#=====================================================================================
# Number of generated events: 2180686951
