# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -1.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  5.162024474043092E-04  3.021421084448331E-07 57705575
   3      50.00      75.00  3.182288629482187E-03  8.867758807594259E-07 250275747
   4      75.00     100.00  6.125377531481389E-03  1.296594123171500E-06 376485287
   5     100.00     125.00  7.668196535508915E-03  1.452069431326098E-06 407086129
   6     125.00     150.00  7.882315055752270E-03  1.450481999684735E-06 394591765
   7     150.00     175.00  7.308843933836000E-03  1.364560039121907E-06 362386070
   8     175.00     200.00  6.395709771550108E-03  1.243702161596173E-06 325405612
   9     200.00     225.00  5.411135428605507E-03  1.117098757021973E-06 289381552
  10     225.00     250.00  4.487326898608038E-03  9.845764351744778E-07 256321661
  11     250.00     275.00  3.677414798450360E-03  8.690060714812686E-07 226867116
  12     275.00     300.00  2.994732265213637E-03  7.601534820319912E-07 201105365
  13     300.00     325.00  2.432566345669566E-03  6.705770995308646E-07 178683406
  14     325.00     350.00  1.973145433364457E-03  5.832969799496697E-07 159246348
  15     350.00     375.00  1.603171201149288E-03  5.097962480616627E-07 142372125
  16     375.00     400.00  1.304266413176631E-03  4.468181295914834E-07 127720894
  17     400.00     425.00  1.063056880412907E-03  3.916789568692770E-07 114969372
  18     425.00     450.00  8.694313836336970E-04  3.434250967497997E-07 103807525
  19     450.00     475.00  7.130315134952590E-04  3.030069543684163E-07 94009639
  20     475.00     500.00  5.857448883495227E-04  2.657364892206894E-07 85389477
  21     500.00     525.00  4.825874101861635E-04  2.334792355517729E-07 77757855
  22     525.00     550.00  3.994383728956084E-04  2.078923695248623E-07 71015862
  23     550.00     575.00  3.315719002392746E-04  1.831996657308765E-07 64985207
  24     575.00     600.00  2.755171966510539E-04  1.618623999150217E-07 59630493
  25     600.00     625.00  2.296034047248134E-04  1.438070580871740E-07 54792487
  26     625.00     650.00  1.918409038311345E-04  1.269253472268000E-07 50467010
  27     650.00     675.00  1.609335873256983E-04  1.134739075670247E-07 46578384
  28     675.00     700.00  1.349396872518087E-04  1.006917059950981E-07 43057493
  29     700.00     725.00  1.137496747356616E-04  8.953424704033566E-08 39859391
  30     725.00     750.00  9.587556125277768E-05  7.971882483857838E-08 36965756
  31     750.00     775.00  8.116712831594858E-05  7.096380948761778E-08 34333344
  32     775.00     800.00  6.874364729623572E-05  6.510565404400211E-08 31923569
  33     800.00     825.00  5.838728747118612E-05  5.683229611842173E-08 29709937
  34     825.00     850.00  4.964332146511666E-05  5.115497070269145E-08 27715869
  35     850.00     875.00  4.232789040970526E-05  4.587614087644969E-08 25869432
  36     875.00     900.00  3.599770881145789E-05  4.079739641673757E-08 24173065
  37     900.00     925.00  3.080994274858491E-05  3.678080008408558E-08 22609200
  38     925.00     950.00  2.636418887427594E-05  3.312664211225427E-08 21166610
  39     950.00     975.00  2.255366907433735E-05  2.943625267820182E-08 19842823
  40     975.00    1000.00  1.934626965894691E-05  2.650704735141896E-08 18611756
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  1.1614601948476094E-04  1.0430582476131367E-07 34611825
#-------------------------------------------------------------------------------------
# Sum:                       1.0939747683434884E+00  1.6778505612713801E-04 549479000
#=====================================================================================
# Number of generated events: 16751423803
