# title = Transverse Momentum Harder Jet
# xlabel = $p_{\text{T},\text{j}_1}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_1}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  1.000E-02
# kmin= -1.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  8.089236729644325E-04  7.075820103019214E-06 118831617
   3      50.00      75.00  4.237329659272301E-03  1.884604402927835E-05 502082332
   4      75.00     100.00  7.179045338065708E-03  2.769289038505405E-05 745397082
   5     100.00     125.00  8.208220906523534E-03  3.133959897167277E-05 801999959
   6     125.00     150.00  8.036150953849916E-03  3.022138333735518E-05 776125064
   7     150.00     175.00  7.218607684710960E-03  2.767753792209377E-05 713525229
   8     175.00     200.00  6.146239743963960E-03  2.590508996348889E-05 642910825
   9     200.00     225.00  5.149386050179180E-03  2.348934543345131E-05 574329992
  10     225.00     250.00  4.156043768967937E-03  2.023108367784209E-05 511406277
  11     250.00     275.00  3.377631011159291E-03  1.885381767017380E-05 455349530
  12     275.00     300.00  2.754106707805261E-03  1.574051703920632E-05 406032890
  13     300.00     325.00  2.208627780811697E-03  1.412968385886551E-05 362917383
  14     325.00     350.00  1.756499918584662E-03  1.231232097379549E-05 325323865
  15     350.00     375.00  1.439990599168576E-03  1.184279322013225E-05 292552580
  16     375.00     400.00  1.169380855344476E-03  1.084299983951017E-05 263953892
  17     400.00     425.00  9.460803550823496E-04  8.995673776002796E-06 239254160
  18     425.00     450.00  7.935836983129986E-04  8.401309219961936E-06 217414881
  19     450.00     475.00  6.237529592798454E-04  1.237238999044206E-05 198014776
  20     475.00     500.00  5.302206987710310E-04  1.165534119312588E-05 180811563
  21     500.00     525.00  4.191134184592452E-04  5.490984716871076E-06 165477323
  22     525.00     550.00  3.520292620455502E-04  4.796265474532536E-06 151812771
  23     550.00     575.00  2.869450182848915E-04  4.167568294372971E-06 139552083
  24     575.00     600.00  2.437016209574399E-04  3.936729749827736E-06 128559998
  25     600.00     625.00  2.024039162926867E-04  3.694039572432894E-06 118665699
  26     625.00     650.00  1.650271727893732E-04  3.724407719213146E-06 109726967
  27     650.00     675.00  1.398850514898128E-04  3.088034692283365E-06 101620937
  28     675.00     700.00  1.145913795529541E-04  2.636901372237058E-06 94275449
  29     700.00     725.00  1.009822898841270E-04  2.244885094778948E-06 87600899
  30     725.00     750.00  8.267557971464893E-05  1.961021123720819E-06 81489494
  31     750.00     775.00  6.751687645618888E-05  1.809215113795158E-06 75917824
  32     775.00     800.00  6.147461546453954E-05  1.680180287424291E-06 70823456
  33     800.00     825.00  5.080343081811370E-05  1.402693160916882E-06 66125808
  34     825.00     850.00  4.047949945804756E-05  1.462082008718366E-06 61820745
  35     850.00     875.00  3.631198535062529E-05  1.334173851662500E-06 57847857
  36     875.00     900.00  3.304527417519164E-05  1.067068761818805E-06 54184658
  37     900.00     925.00  2.576941039255678E-05  1.001597975558859E-06 50802501
  38     925.00     950.00  2.101430330395760E-05  9.271953731540628E-07 47693561
  39     950.00     975.00  1.926021480379619E-05  7.924019891957630E-07 44800925
  40     975.00    1000.00  1.689554051334935E-05  7.872420642189635E-07 42099341
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  9.9342263064126498E-05  1.1330930693069084E-06 4782246
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544022083E+00  2.7776498404907882E-03 85376569
#=====================================================================================
# Number of generated events: 2180686951
