# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 4625286800
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  1.095278544227016E-02  2.674822752692237E-06 705897322
   3      50.00      75.00  1.556291996951550E-02  3.510198287479689E-06 806103413
   4      75.00     100.00  1.303068818935540E-02  3.239171863965094E-06 629799093
   5     100.00     125.00  9.542261226084184E-03  2.663722551930046E-06 483866021
   6     125.00     150.00  6.668507420490379E-03  2.107763145098586E-06 370441758
   7     150.00     175.00  4.614518280187690E-03  1.655203477270380E-06 283077312
   8     175.00     200.00  3.213335994276560E-03  1.302942516650911E-06 219156260
   9     200.00     225.00  2.262011195057781E-03  1.034240398337331E-06 172163686
  10     225.00     250.00  1.618095493245507E-03  8.387933813109157E-07 137017529
  11     250.00     275.00  1.172046062438723E-03  6.795426703433374E-07 110406340
  12     275.00     300.00  8.609894201074617E-04  5.594901697190754E-07 89960512
  13     300.00     325.00  6.420336795749411E-04  4.667601153909697E-07 74059164
  14     325.00     350.00  4.829261379255823E-04  3.880296172150817E-07 61539891
  15     350.00     375.00  3.676647492400453E-04  3.265027707408130E-07 51563856
  16     375.00     400.00  2.825687000957648E-04  2.779993491202175E-07 43519416
  17     400.00     425.00  2.197961647064570E-04  2.391948598306895E-07 37003532
  18     425.00     450.00  1.713362366897036E-04  2.038603188616583E-07 31636308
  19     450.00     475.00  1.349395749325911E-04  1.754285401868233E-07 27218019
  20     475.00     500.00  1.067861017533707E-04  1.511125906790447E-07 23532267
  21     500.00     525.00  8.540850197487666E-05  1.337532569869742E-07 20438973
  22     525.00     550.00  6.834655423490854E-05  1.147629740254436E-07 17836708
  23     550.00     575.00  5.519523589160809E-05  1.004320693517431E-07 15623619
  24     575.00     600.00  4.441415995739504E-05  8.697320517358688E-08 13732515
  25     600.00     625.00  3.622892004527221E-05  7.709342902853656E-08 12113250
  26     625.00     650.00  2.970387534427345E-05  6.768239360394444E-08 10723977
  27     650.00     675.00  2.415356573300794E-05  5.946471643981251E-08 9515344
  28     675.00     700.00  1.982791910123658E-05  5.197528201098467E-08 8461970
  29     700.00     725.00  1.626362877957486E-05  4.799026375822662E-08 7556396
  30     725.00     750.00  1.352288745757302E-05  4.132165553933095E-08 6756791
  31     750.00     775.00  1.110298153591389E-05  3.562663831079930E-08 6059166
  32     775.00     800.00  9.267232077912841E-06  3.174536531915190E-08 5442122
  33     800.00     825.00  7.651892504845127E-06  2.749877946502671E-08 4893667
  34     825.00     850.00  6.395118749751772E-06  2.500942805758236E-08 4414737
  35     850.00     875.00  5.293883268289311E-06  2.172863468227847E-08 3989178
  36     875.00     900.00  4.422996971990479E-06  1.921861499900754E-08 3611658
  37     900.00     925.00  3.709125182626014E-06  1.714650113612252E-08 3273014
  38     925.00     950.00  3.109491436035624E-06  1.535076419699932E-08 2967405
  39     950.00     975.00  2.611799082250072E-06  1.347690023348722E-08 2698526
  40     975.00    1000.00  2.186541147457724E-06  1.198262559621752E-08 2458141
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  7.8872961031207731E-06  2.1823448624272193E-08 2792324
#-------------------------------------------------------------------------------------
# Sum:                       1.0939747683436494E+00  1.6773866228283124E-04 549479000
#=====================================================================================
