# title = Transverse Momentum Softer Jet
# xlabel = $p_{\text{T},\text{j}_2}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_2}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      25.00  0.000000000000000E+00  0.000000000000000E+00 0
   2      25.00      50.00  1.213068194865941E-02  3.311041162105069E-05 1703597254
   3      50.00      75.00  1.609744682347400E-02  3.981546954191370E-05 1916681818
   4      75.00     100.00  1.258580477813199E-02  3.658914505161464E-05 1467512028
   5     100.00     125.00  8.824253325749803E-03  3.005100678709049E-05 1110960743
   6     125.00     150.00  5.947330695261883E-03  2.356574310301799E-05 842909180
   7     150.00     175.00  4.036784214459851E-03  1.870174175582603E-05 641632472
   8     175.00     200.00  2.756259583609843E-03  1.320186659751848E-05 496001744
   9     200.00     225.00  1.895226534296246E-03  1.209654698451994E-05 389003805
  10     225.00     250.00  1.320646392447894E-03  1.007519216819343E-05 309169585
  11     250.00     275.00  9.450817871340393E-04  7.219989343312997E-06 248888745
  12     275.00     300.00  6.770163932163087E-04  6.108303841163726E-06 202698683
  13     300.00     325.00  5.060606807006931E-04  5.766438811929103E-06 166806778
  14     325.00     350.00  3.722512683768217E-04  5.266881325939416E-06 138593699
  15     350.00     375.00  2.689669746791669E-04  3.794510234721622E-06 116097834
  16     375.00     400.00  2.107191772706861E-04  3.004246694146061E-06 98095895
  17     400.00     425.00  1.604490335099978E-04  2.568838605468294E-06 83926347
  18     425.00     450.00  1.228029784638000E-04  2.374608272203370E-06 72148730
  19     450.00     475.00  9.517210586140175E-05  1.955643621467490E-06 62201760
  20     475.00     500.00  7.783680869546020E-05  2.301057527291592E-06 53874833
  21     500.00     525.00  5.691948929009789E-05  2.245116201534902E-06 46833875
  22     525.00     550.00  4.627349430949615E-05  1.761554958397586E-06 40886954
  23     550.00     575.00  3.674839593575428E-05  1.161647344340486E-06 35818331
  24     575.00     600.00  2.804656508981377E-05  1.230771294063152E-06 31462238
  25     600.00     625.00  2.247597609307233E-05  1.091972414575971E-06 27760964
  26     625.00     650.00  1.839985331616672E-05  1.095618801267755E-06 24545109
  27     650.00     675.00  1.496431103665526E-05  7.581586046824329E-07 21767944
  28     675.00     700.00  1.261520539046691E-05  6.261104183619455E-07 19356015
  29     700.00     725.00  9.957259790704326E-06  6.356032934357126E-07 17250430
  30     725.00     750.00  8.435590890763439E-06  4.962537548808492E-07 15419266
  31     750.00     775.00  6.906133776923354E-06  4.649331488840698E-07 13796505
  32     775.00     800.00  5.843099515899681E-06  3.988446527657512E-07 12386154
  33     800.00     825.00  4.843278992465555E-06  3.084982113624991E-07 11123015
  34     825.00     850.00  3.535742552004030E-06  4.266832982753669E-07 10014171
  35     850.00     875.00  3.260111131125247E-06  3.065406422467440E-07 9037849
  36     875.00     900.00  2.310904110771369E-06  2.918481186300507E-07 8161312
  37     900.00     925.00  2.072763494100889E-06  2.540180855798976E-07 7382618
  38     925.00     950.00  1.728131277793091E-06  2.139040991647886E-07 6693773
  39     950.00     975.00  1.482217069113061E-06  1.700075436292904E-07 6075093
  40     975.00    1000.00  1.288466483267625E-06  1.477875917607244E-07 5517083
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  5.1898165720174805E-06  1.5631224013441476E-07 448979
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544023179E+00  2.7283616277592520E-03 87107739
#=====================================================================================
# Number of generated events: 2180686951
