# title = Transverse Momentum extra Jet
# xlabel = $p_{\text{T},\text{j}_3}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_3}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      10.00  1.729216951633187E-01  9.855024145157846E-06 5289430059
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  0.000000000000000E+00  0.000000000000000E+00 0
   5      40.00      50.00  0.000000000000000E+00  0.000000000000000E+00 0
   6      50.00      60.00  0.000000000000000E+00  0.000000000000000E+00 0
   7      60.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
   8      70.00      80.00  0.000000000000000E+00  0.000000000000000E+00 0
   9      80.00      90.00  0.000000000000000E+00  0.000000000000000E+00 0
  10      90.00     100.00  0.000000000000000E+00  0.000000000000000E+00 0
  11     100.00     110.00  0.000000000000000E+00  0.000000000000000E+00 0
  12     110.00     120.00  0.000000000000000E+00  0.000000000000000E+00 0
  13     120.00     130.00  0.000000000000000E+00  0.000000000000000E+00 0
  14     130.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
  15     140.00     150.00  0.000000000000000E+00  0.000000000000000E+00 0
  16     150.00     160.00  0.000000000000000E+00  0.000000000000000E+00 0
  17     160.00     170.00  0.000000000000000E+00  0.000000000000000E+00 0
  18     170.00     180.00  0.000000000000000E+00  0.000000000000000E+00 0
  19     180.00     190.00  0.000000000000000E+00  0.000000000000000E+00 0
  20     190.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
  21     200.00     210.00  0.000000000000000E+00  0.000000000000000E+00 0
  22     210.00     220.00  0.000000000000000E+00  0.000000000000000E+00 0
  23     220.00     230.00  0.000000000000000E+00  0.000000000000000E+00 0
  24     230.00     240.00  0.000000000000000E+00  0.000000000000000E+00 0
  25     240.00     250.00  0.000000000000000E+00  0.000000000000000E+00 0
  26     250.00     260.00  0.000000000000000E+00  0.000000000000000E+00 0
  27     260.00     270.00  0.000000000000000E+00  0.000000000000000E+00 0
  28     270.00     280.00  0.000000000000000E+00  0.000000000000000E+00 0
  29     280.00     290.00  0.000000000000000E+00  0.000000000000000E+00 0
  30     290.00     300.00  0.000000000000000E+00  0.000000000000000E+00 0
  31     300.00     310.00  0.000000000000000E+00  0.000000000000000E+00 0
  32     310.00     320.00  0.000000000000000E+00  0.000000000000000E+00 0
  33     320.00     330.00  0.000000000000000E+00  0.000000000000000E+00 0
  34     330.00     340.00  0.000000000000000E+00  0.000000000000000E+00 0
  35     340.00     350.00  0.000000000000000E+00  0.000000000000000E+00 0
  36     350.00     360.00  0.000000000000000E+00  0.000000000000000E+00 0
  37     360.00     370.00  0.000000000000000E+00  0.000000000000000E+00 0
  38     370.00     380.00  0.000000000000000E+00  0.000000000000000E+00 0
  39     380.00     390.00  0.000000000000000E+00  0.000000000000000E+00 0
  40     390.00     400.00  0.000000000000000E+00  0.000000000000000E+00 0
  41     400.00     410.00  0.000000000000000E+00  0.000000000000000E+00 0
  42     410.00     420.00  0.000000000000000E+00  0.000000000000000E+00 0
  43     420.00     430.00  0.000000000000000E+00  0.000000000000000E+00 0
  44     430.00     440.00  0.000000000000000E+00  0.000000000000000E+00 0
  45     440.00     450.00  0.000000000000000E+00  0.000000000000000E+00 0
  46     450.00     460.00  0.000000000000000E+00  0.000000000000000E+00 0
  47     460.00     470.00  0.000000000000000E+00  0.000000000000000E+00 0
  48     470.00     480.00  0.000000000000000E+00  0.000000000000000E+00 0
  49     480.00     490.00  0.000000000000000E+00  0.000000000000000E+00 0
  50     490.00     500.00  0.000000000000000E+00  0.000000000000000E+00 0
  51     500.00     510.00  0.000000000000000E+00  0.000000000000000E+00 0
  52     510.00     520.00  0.000000000000000E+00  0.000000000000000E+00 0
  53     520.00     530.00  0.000000000000000E+00  0.000000000000000E+00 0
  54     530.00     540.00  0.000000000000000E+00  0.000000000000000E+00 0
  55     540.00     550.00  0.000000000000000E+00  0.000000000000000E+00 0
  56     550.00     560.00  0.000000000000000E+00  0.000000000000000E+00 0
