# title = Transverse Momentum extra Jet
# xlabel = $p_{\text{T},\text{j}_3}\,$[GeV]
# ylabel = $\frac{\text{d}\sigma}{\text{d}p_{\text{T},\text{j}_3}}\,\left[\frac{\text{fb}}{\text{GeV}}\right]$
# xmin=  0.000E+00
# xmax=  8.000E+02
# ymin=  1.000E-06
# ymax=  2.000E-02
# kmin= -5.000E+01
# kmax=  1.000E+01
# logscale = true
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00      10.00  1.172563938552944E-01  1.794911481185125E-04 9087791007
   2      10.00      20.00  0.000000000000000E+00  0.000000000000000E+00 0
   3      20.00      30.00  0.000000000000000E+00  0.000000000000000E+00 0
   4      30.00      40.00  1.856519280288949E-02  2.087572466982073E-05 190703059
   5      40.00      50.00  1.162980905755935E-02  1.545455727409834E-05 127490061
   6      50.00      60.00  7.567167219569544E-03  1.132848956548162E-05 90960627
   7      60.00      70.00  5.103711650077379E-03  8.844323177669324E-06 68615213
   8      70.00      80.00  3.512714565575280E-03  6.686941802356138E-06 53372536
   9      80.00      90.00  2.473252369143994E-03  5.322539708684419E-06 42453973
  10      90.00     100.00  1.777614368237981E-03  4.316361248019489E-06 34328594
  11     100.00     110.00  1.291691530371894E-03  3.383983490625875E-06 28132131
  12     110.00     120.00  9.493219707559478E-04  2.828183091094845E-06 23307457
  13     120.00     130.00  7.061270008908617E-04  2.185515753326401E-06 19491121
  14     130.00     140.00  5.341196916037206E-04  1.811112942482593E-06 16435055
  15     140.00     150.00  4.059610620636135E-04  1.515326588505686E-06 13951321
  16     150.00     160.00  3.139838578376073E-04  1.317744143727457E-06 11918415
  17     160.00     170.00  2.399418917681626E-04  1.045029467578794E-06 10232697
  18     170.00     180.00  1.902059515719907E-04  9.367727256432386E-07 8835135
  19     180.00     190.00  1.504655470437889E-04  7.916558320499924E-07 7664766
  20     190.00     200.00  1.182407417518609E-04  6.807459729123947E-07 6680412
  21     200.00     210.00  9.449232596433422E-05  5.700623964936737E-07 5887416
  22     210.00     220.00  7.607644025242669E-05  5.129987033208713E-07 5264809
  23     220.00     230.00  6.126971131022167E-05  4.488246437515008E-07 4723121
  24     230.00     240.00  5.024976625783705E-05  4.005243977985971E-07 4249816
  25     240.00     250.00  4.034330063896986E-05  3.101673515677782E-07 3836634
  26     250.00     260.00  3.313117733883087E-05  2.647353020353018E-07 3473740
  27     260.00     270.00  2.757121469207624E-05  2.665843191677606E-07 3151247
  28     270.00     280.00  2.244765884280658E-05  2.042352623793010E-07 2862486
  29     280.00     290.00  1.874862175223882E-05  1.890785540787057E-07 2610223
  30     290.00     300.00  1.559487891225717E-05  1.665610677721779E-07 2380203
  31     300.00     310.00  1.317709193918016E-05  1.476867235817272E-07 2175332
  32     310.00     320.00  1.090410225116157E-05  1.282982678172051E-07 1991621
  33     320.00     330.00  9.362370155783135E-06  1.231346449350698E-07 1827427
  34     330.00     340.00  7.776692333979874E-06  1.096602121152091E-07 1679206
  35     340.00     350.00  6.517303512719086E-06  8.931170523887310E-08 1542701
  36     350.00     360.00  5.519345450047126E-06  8.468233753677278E-08 1421034
  37     360.00     370.00  4.768166675902345E-06  8.302715072477880E-08 1311941
  38     370.00     380.00  3.809513208550203E-06  5.525325259643373E-08 1210029
  39     380.00     390.00  3.349802911753185E-06  5.628498761339404E-08 1119913
  40     390.00     400.00  2.916606208770650E-06  5.481701478759241E-08 1033911
  41     400.00     410.00  2.452401788324397E-06  4.803662476319762E-08 957597
  42     410.00     420.00  2.124674578437445E-06  4.193630488243027E-08 888915
  43     420.00     430.00  1.828403217077648E-06  4.430671870862255E-08 825387
  44     430.00     440.00  1.499395740629266E-06  2.911943342584738E-08 765055
  45     440.00     450.00  1.311643558357724E-06  2.930797802786252E-08 711652
  46     450.00     460.00  1.117001258604236E-06  2.623234149341311E-08 661210
  47     460.00     470.00  9.764442464812539E-07  2.506158871344449E-08 616992
  48     470.00     480.00  8.173004231344979E-07  1.874619525512809E-08 574793
  49     480.00     490.00  7.346730768218344E-07  1.789933104834196E-08 536108
  50     490.00     500.00  6.572847861883150E-07  1.753917228688129E-08 499850
  51     500.00     510.00  5.551616892369770E-07  1.525891263402195E-08 466405
  52     510.00     520.00  4.535981119306341E-07  1.263196897435459E-08 435978
  53     520.00     530.00  4.270223474504306E-07  1.278482948568796E-08 408134
  54     530.00     540.00  3.692207793423735E-07  1.202903265040614E-08 380776
  55     540.00     550.00  3.209935908092994E-07  1.225623674559904E-08 355857
  56     550.00     560.00  2.647586873496353E-07  8.037425186239780E-09 334152
  57     560.00     570.00  2.399723390668205E-07  8.964967096497119E-09 312608
  58     570.00     580.00  2.149969906640777E-07  7.721408043738991E-09 292666
  59     580.00     590.00  1.727425182340761E-07  6.185774795182255E-09 275061
  60     590.00     600.00  1.676537363354040E-07  6.979154994068341E-09 257389
  61     600.00     610.00  1.456319109935754E-07  7.716818473945578E-09 242747
  62     610.00     620.00  1.192140597392994E-07  4.970802907680563E-09 226914
  63     620.00     630.00  1.047684325894428E-07  3.887819636907374E-09 213458
  64     630.00     640.00  8.888673988310685E-08  3.684689435226274E-09 200903
  65     640.00     650.00  9.318434207126387E-08  5.107909369998100E-09 188909
  66     650.00     660.00  6.947235152412188E-08  3.345112686699453E-09 177001
  67     660.00     670.00  5.969465195908802E-08  2.908352177213167E-09 166808
  68     670.00     680.00  5.535535938705533E-08  3.122102727638227E-09 157427
  69     680.00     690.00  4.702777677744103E-08  2.675844967279668E-09 147489
  70     690.00     700.00  3.964556503533207E-08  2.010892929222151E-09 138934
  71     700.00     710.00  3.453491475995698E-08  1.862913321438355E-09 130674
  72     710.00     720.00  3.085296077324320E-08  1.579122064288828E-09 122613
  73     720.00     730.00  2.826249361636295E-08  1.747394820658162E-09 115870
  74     730.00     740.00  2.658032957063675E-08  1.829908382187012E-09 109893
  75     740.00     750.00  2.409217783723167E-08  1.727512828018080E-09 102971
  76     750.00     760.00  1.948907904896128E-08  1.670815117896315E-09 97443
  77     760.00     770.00  1.746036680769475E-08  1.655032482878147E-09 91467
  78     770.00     780.00  1.546872478639411E-08  1.130921737606876E-09 86349
  79     780.00     790.00  1.462869497060847E-08  1.554981041339038E-09 81767
  80     790.00     800.00  1.014158236506887E-08  6.712256240831295E-10 77273
  81     800.00     810.00  8.873357509302398E-09  5.730106333787804E-10 72868
  82     810.00     820.00  8.359893607692635E-09  7.175898165860510E-10 68622
  83     820.00     830.00  7.702208169589094E-09  6.808154753657916E-10 64821
  84     830.00     840.00  6.427335186131952E-09  5.214613659564396E-10 61063
  85     840.00     850.00  6.060216251954842E-09  5.752101457676267E-10 58200
  86     850.00     860.00  5.121853564686996E-09  4.191141568062675E-10 54985
  87     860.00     870.00  4.641861789590792E-09  3.935011117586893E-10 51934
  88     870.00     880.00  4.476800880576279E-09  4.669327780834827E-10 48926
  89     880.00     890.00  2.945328470799547E-09  2.718673134372218E-10 46107
  90     890.00     900.00  3.518844724068130E-09  3.298816390934961E-10 43852
  91     900.00     910.00  2.878844100710407E-09  3.681457634363302E-10 41366
  92     910.00     920.00  2.302105464745769E-09  2.092045755006595E-10 38917
  93     920.00     930.00  2.460773471376799E-09  2.497464141519062E-10 36884
  94     930.00     940.00  1.859970350296912E-09  2.148224537909965E-10 34827
  95     940.00     950.00  1.792804848513426E-09  2.147058888062144E-10 32901
  96     950.00     960.00  1.650336241990555E-09  2.201337453302367E-10 31179
  97     960.00     970.00  1.597074395137380E-09  2.187714988537700E-10 29609
  98     970.00     980.00  1.311647786004209E-09  1.740082673692677E-10 28286
  99     980.00     990.00  1.000944180587539E-09  1.164976360357466E-10 26693
 100     990.00    1000.00  1.011169480981771E-09  1.392651387176969E-10 25101
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  6.8444567008550830E-09  5.4234794944824795E-10 13698
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544030938E+00  1.9769537984988339E-03 76375977
#=====================================================================================
# Number of generated events: 2180686951
