# title = zeppenfled positron
# xlabel = $z^*_{\text{e}^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\text{e}^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  4.461915973140887E+00  6.634190627862052E-04 657695107
   2       0.05       0.10  4.368406756037555E+00  6.726039006190820E-04 636190526
   3       0.10       0.15  4.182599499965193E+00  6.845801569984675E-04 596914938
   4       0.15       0.20  3.904402181917620E+00  6.874815445767443E-04 544566121
   5       0.20       0.25  3.544490230535565E+00  6.788225440617977E-04 484122243
   6       0.25       0.30  3.104232953796203E+00  6.539545032364244E-04 420326740
   7       0.30       0.35  2.615247890542122E+00  5.996038389566606E-04 358091877
   8       0.35       0.40  2.116037719743714E+00  5.291516775487088E-04 300149668
   9       0.40       0.45  1.608619632338639E+00  4.423613804729623E-04 245326889
  10       0.45       0.50  1.159996441597535E+00  3.447759275707651E-04 197579929
  11       0.50       0.55  8.644058166644797E-01  2.747891988182536E-04 161143108
  12       0.55       0.60  6.641733175906301E-01  2.287802576741513E-04 133306078
  13       0.60       0.65  5.053883009926813E-01  1.883662909032188E-04 109461029
  14       0.65       0.70  3.747088725163567E-01  1.487267472105709E-04 88274200
  15       0.70       0.75  2.768759326762783E-01  1.185676736905404E-04 70800727
  16       0.75       0.80  2.055546963863425E-01  9.721269330879868E-05 56783823
  17       0.80       0.85  1.535808499404888E-01  9.339235277430218E-05 45560676
  18       0.85       0.90  1.151657178011675E-01  7.473576336689398E-05 36534861
  19       0.90       0.95  8.659393951816664E-02  5.997761617526596E-05 29310607
  20       0.95       1.00  6.562178139024476E-02  5.608504330486722E-05 23511921
  21       1.00       1.05  4.970685733065175E-02  5.141118794823725E-05 18861753
  22       1.05       1.10  3.774236371962936E-02  5.594633017249574E-05 15121147
  23       1.10       1.15  2.874602413316036E-02  3.266541944164789E-05 12117068
  24       1.15       1.20  2.187223479679649E-02  2.813151916696102E-05 9711388
  25       1.20       1.25  1.665771327305716E-02  2.402919264914761E-05 7774253
  26       1.25       1.30  1.269175468983000E-02  2.115431958385027E-05 6219308
  27       1.30       1.35  9.647197790407127E-03  1.842291352880844E-05 4971133
  28       1.35       1.40  7.358708646860591E-03  2.728140338671361E-05 3964365
  29       1.40       1.45  5.568621303444681E-03  1.438098945778640E-05 3163726
  30       1.45       1.50  4.181021792300869E-03  1.291196122538471E-05 2517549
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  7.3604736015629281E-03  3.3654294275414698E-05 968858
#-------------------------------------------------------------------------------------
# Sum:                       1.0939747683437406E+00  1.6776481002131114E-04 549479000
#=====================================================================================
# Number of generated events: 16751423803
