# title = zeppenfled anti-muon
# xlabel = $z^*_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
#
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  4.463070836515053E+00  6.656702979845969E-04 657686078
   2       0.05       0.10  4.367887537745739E+00  6.746326966127316E-04 636180554
   3       0.10       0.15  4.182484149705441E+00  6.795939152794735E-04 596855669
   4       0.15       0.20  3.905263123853267E+00  6.874029584229978E-04 544503632
   5       0.20       0.25  3.544474659727425E+00  6.809286742257689E-04 484127966
   6       0.25       0.30  3.104103106029237E+00  6.523797384857406E-04 420265421
   7       0.30       0.35  2.614483461876641E+00  6.013404375978719E-04 358057101
   8       0.35       0.40  2.116278358374216E+00  5.310456514530679E-04 300107413
   9       0.40       0.45  1.608396722206084E+00  4.407712010282447E-04 245262336
  10       0.45       0.50  1.159716769760807E+00  3.460924726172710E-04 197518254
  11       0.50       0.55  8.639360433924973E-01  2.764120507706425E-04 161132281
  12       0.55       0.60  6.648779190144258E-01  2.229127400888400E-04 133263320
  13       0.60       0.65  5.057044484045866E-01  1.822209829145073E-04 109456348
  14       0.65       0.70  3.744321174968509E-01  1.558941135574572E-04 88278116
  15       0.70       0.75  2.767614745745765E-01  1.178280852084595E-04 70819729
  16       0.75       0.80  2.055146545997189E-01  1.007463808253679E-04 56823723
  17       0.80       0.85  1.534819350621907E-01  8.621119445491333E-05 45594646
  18       0.85       0.90  1.150409619903899E-01  6.843839323756734E-05 36580424
  19       0.90       0.95  8.664350774343697E-02  6.266600744254658E-05 29356244
  20       0.95       1.00  6.558911969552662E-02  5.554852316554699E-05 23557385
  21       1.00       1.05  4.965211040499352E-02  6.260492713946862E-05 18884979
  22       1.05       1.10  3.772115506494991E-02  4.111279832127539E-05 15149219
  23       1.10       1.15  2.866901883806701E-02  3.367841100068472E-05 12142297
  24       1.15       1.20  2.193630319604453E-02  2.969046114330838E-05 9736834
  25       1.20       1.25  1.666813517462975E-02  3.021132756485409E-05 7795126
  26       1.25       1.30  1.270963877191682E-02  2.236039368671128E-05 6236090
  27       1.30       1.35  9.637171270384328E-03  1.917071441007157E-05 4983238
  28       1.35       1.40  7.336547382674962E-03  1.855311074647271E-05 3979880
  29       1.40       1.45  5.569736966966041E-03  1.820800352871869E-05 3171961
  30       1.45       1.50  4.181710529977915E-03  1.207581748701070E-05 2525570
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  7.4011265228019563E-03  3.4621027204923853E-05 972318
#-------------------------------------------------------------------------------------
# Sum:                       1.0939747683437784E+00  1.6776480565347177E-04 549479000
#=====================================================================================
# Number of generated events: 16751423803
