# title = zeppenfled anti-muon
# xlabel = $z^*_{\mu^+}$
# ylabel = $\frac{\text{d}\sigma}{\text{d}z^*_{\mu^+}}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  1.500E+00
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 650319662
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       0.05  4.593264377335228E+00  2.370771365281195E-02 877398212
   2       0.05       0.10  4.454883597664972E+00  2.437084002330991E-02 875338857
   3       0.10       0.15  4.254394011073634E+00  2.525643643678941E-02 829210059
   4       0.15       0.20  3.976714371568136E+00  2.647685666187090E-02 766266648
   5       0.20       0.25  3.667414660413742E+00  2.511213468533800E-02 693781409
   6       0.25       0.30  3.179805840429056E+00  2.390561461569855E-02 617504149
   7       0.30       0.35  2.694182510861599E+00  2.119559111749185E-02 543212639
   8       0.35       0.40  2.203364486667971E+00  1.910277172556715E-02 471784875
   9       0.40       0.45  1.705259487118850E+00  1.550524420716724E-02 395991499
  10       0.45       0.50  1.242647484172385E+00  1.135842009025523E-02 324247757
  11       0.50       0.55  9.513318984840213E-01  8.718035735797668E-03 271318607
  12       0.55       0.60  7.534093476361882E-01  7.882082989072739E-03 232807838
  13       0.60       0.65  5.826359121445378E-01  6.260082292476404E-03 197216798
  14       0.65       0.70  4.466112550885775E-01  4.891873015358332E-03 161092541
  15       0.70       0.75  3.508418237980064E-01  5.054594530776581E-03 130148630
  16       0.75       0.80  2.535260922434419E-01  4.643287382880884E-03 105084633
  17       0.80       0.85  1.970664162005430E-01  5.063321416030107E-03 84810767
  18       0.85       0.90  1.592869427942451E-01  4.818936169207861E-03 68459280
  19       0.90       0.95  1.220360622332518E-01  2.044838021111435E-03 55287630
  20       0.95       1.00  9.370689246845033E-02  1.638905994772465E-03 44655941
  21       1.00       1.05  7.487507473073146E-02  1.625842885628066E-03 36075071
  22       1.05       1.10  5.788896049659904E-02  1.329002747351957E-03 29142570
  23       1.10       1.15  4.688118354547122E-02  1.081382387812772E-03 23543486
  24       1.15       1.20  3.769831356310450E-02  1.279785574990784E-03 19011903
  25       1.20       1.25  2.895095319155451E-02  1.158254578752896E-03 15352909
  26       1.25       1.30  2.336322197738737E-02  7.799566916695244E-04 12391265
  27       1.30       1.35  1.778419790299084E-02  8.037801273791074E-04 9992278
  28       1.35       1.40  1.637217565348003E-02  8.776192746712891E-04 8051653
  29       1.40       1.45  1.072107360028007E-02  5.669661687858347E-04 6483607
  30       1.45       1.50  8.732042054452513E-03  5.192069001789822E-04 5212404
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  1.7745605653498024E-02  5.2707724732552555E-04 289211
#-------------------------------------------------------------------------------------
# Sum:                       1.5012207544024614E+00  2.2845824309953937E-03 87104173
#=====================================================================================
