# title = cross section scan
# xlabel = $xsec$
# ylabel = $\frac{\text{d}\sigma}{\text{d}xsec}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  2.000E+02
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 595508109
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       1.00       2.00 -3.347724767550283E-04  3.949429421308510E-06 732296
   3       2.00       3.00 -2.985078264005221E-04  1.467153911884148E-05 11656312
   4       3.00       4.00  1.416302804384661E-03  1.261023488605490E-05 3730683
   5       4.00       5.00  3.331654354435355E-03  1.228913883562316E-05 2978934
   6       5.00       6.00  3.811893137989865E-03  1.167124024309210E-05 2389205
   7       6.00       7.00  3.748766621524737E-03  1.077259617417399E-05 1949110
   8       7.00       8.00  3.480784555209845E-03  9.935546863552252E-06 1614929
   9       8.00       9.00  3.159647239929361E-03  9.357487651418585E-06 1362832
  10       9.00      10.00  2.813778485652412E-03  8.671592601693010E-06 1165297
  11      10.00      11.00  2.484215121922950E-03  7.912361737154033E-06 1006772
  12      11.00      12.00  2.202204753889760E-03  7.352157386416410E-06 882725
  13      12.00      13.00  1.945359936193998E-03  6.879457016191910E-06 777829
  14      13.00      14.00  1.718365192767554E-03  6.376127483046468E-06 690853
  15      14.00      15.00  1.505230168932775E-03  5.882953480723287E-06 618569
  16      15.00      16.00  1.326506954277461E-03  5.394762615314595E-06 554583
  17      16.00      17.00  1.185567631421261E-03  5.234036383427473E-06 503735
  18      17.00      18.00  1.018753509741092E-02  1.277378724555722E-05 7759637
  19      18.00      19.00 -1.817414746440429E-04  3.120794439366613E-06 368133
  20      19.00      20.00 -7.470576774330163E-04  1.355174599319881E-05 8305909
  21      20.00      21.00  8.381171224129633E-04  1.183052888649850E-05 3473720
  22      21.00      22.00  2.724599556389906E-03  1.135353062072265E-05 2890632
  23      22.00      23.00  3.398401543134681E-03  1.106925387974345E-05 2361842
  24      23.00      24.00  3.483048058598321E-03  1.053238907118906E-05 1944753
  25      24.00      25.00  3.319180221904959E-03  9.936899074117296E-06 1621323
  26      25.00      26.00  3.029929659319003E-03  9.391971059574360E-06 1372881
  27      26.00      27.00  2.752309046318860E-03  8.726000932104123E-06 1177703
  28      27.00      28.00  2.458924263177829E-03  8.083480340540908E-06 1019644
  29      28.00      29.00  2.188547382499070E-03  7.572709246463071E-06 892481
  30      29.00      30.00  1.924989121642063E-03  6.942685319470901E-06 787885
  31      30.00      31.00  1.701920584044198E-03  6.425229890653131E-06 700229
  32      31.00      32.00  1.520910934852060E-03  6.056638035961103E-06 626679
  33      32.00      33.00  1.339167496795063E-03  5.599897541389893E-06 564142
  34      33.00      34.00  1.184863676678828E-03  5.161328941447780E-06 511045
  35      34.00      35.00  1.044482319198643E-02  1.327412030595271E-05 7788122
  36      35.00      36.00 -8.503877334123830E-06  7.326565824398585E-07 28421
  37      36.00      37.00 -3.629810596404861E-04  9.761852664357637E-06 3117526
  38      37.00      38.00  3.963157173009369E-04  9.994472189605309E-06 2571454
  39      38.00      39.00  1.815488940888710E-03  1.004861698515227E-05 2409988
  40      39.00      40.00  2.591899483741388E-03  1.033028728049679E-05 2078795
  41      40.00      41.00  2.905024582577434E-03  1.041049655977326E-05 1766184
  42      41.00      42.00  2.886398511610222E-03  1.010843253057526E-05 1506926
  43      42.00      43.00  2.730630102286513E-03  9.369465641240592E-06 1292060
  44      43.00      44.00  2.527562183475138E-03  8.731373382790837E-06 1121061
  45      44.00      45.00  2.314462794475864E-03  8.217615485600999E-06 980466
  46      45.00      46.00  2.088768473540610E-03  7.653018035653257E-06 864631
  47      46.00      47.00  1.880089112926080E-03  7.247468716783861E-06 765181
  48      47.00      48.00  1.684176612208330E-03  6.747100948172471E-06 686083
  49      48.00      49.00  1.487053913562269E-03  6.254852101214347E-06 613961
  50      49.00      50.00  1.340132237761864E-03  5.865406762815818E-06 555099
  51      50.00      51.00  1.194147377506400E-03  5.473473108636761E-06 502710
  52      51.00      52.00  1.088108091742919E-02  1.419531581703007E-05 7791398
  53      52.00      53.00  0.000000000000000E+00  0.000000000000000E+00 0
  54      53.00      54.00 -7.541712418739595E-05  5.429700187645269E-06 674031
  55      54.00      55.00  2.023322237852950E-04  7.022544930043835E-06 1525353
  56      55.00      56.00  1.012671541409275E-03  8.361594831069824E-06 1751701
  57      56.00      57.00  1.667628485925616E-03  9.236303043044137E-06 1649233
  58      57.00      58.00  2.062125573376913E-03  9.761063810543501E-06 1480349
  59      58.00      59.00  2.203694061495742E-03  9.437659927432380E-06 1308087
  60      59.00      60.00  2.208893364188571E-03  9.218120162289224E-06 1152263
  61      60.00      61.00  2.124947631866214E-03  8.905316401498514E-06 1015913
  62      61.00      62.00  2.011994889805948E-03  8.324398863321212E-06 902468
  63      62.00      63.00  1.859753939713788E-03  7.935727733934082E-06 802563
  64      63.00      64.00  1.722039950497474E-03  7.545822558148454E-06 718593
  65      64.00      65.00  1.555582039295011E-03  7.028023251847420E-06 646299
  66      65.00      66.00  1.423734743791891E-03  6.638894038656736E-06 583712
  67      66.00      67.00  1.279857255691248E-03  6.194334739733428E-06 529830
  68      67.00      68.00  1.159095260748803E-03  5.806782497181411E-06 484519
  69      68.00      69.00  1.125119922986590E-02  1.546509183552070E-05 7705759
  70      69.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
  71      70.00      71.00 -4.577291336751203E-06  9.870823983679413E-07 37740
  72      71.00      72.00  8.949456978292957E-05  4.484230436713441E-06 624161
  73      72.00      73.00  4.631603447021428E-04  6.162302672991964E-06 1063634
  74      73.00      74.00  9.195327733363415E-04  7.988951668332177E-06 1150835
  75      74.00      75.00  1.281655629665156E-03  8.460864476697609E-06 1118782
  76      75.00      76.00  1.491765966905535E-03  8.910511681560394E-06 1041954
  77      76.00      77.00  1.587400492863131E-03  8.826456655276332E-06 956288
  78      77.00      78.00  1.599716079861723E-03  8.588433515300877E-06 869703
  79      78.00      79.00  1.564041937782490E-03  8.343841433547695E-06 789550
  80      79.00      80.00  1.505217317112324E-03  8.042598934850294E-06 716981
  81      80.00      81.00  1.415206017167099E-03  7.646852969399858E-06 651291
  82      81.00      82.00  1.337343453881340E-03  7.353534920747803E-06 592377
  83      82.00      83.00  1.246130535808097E-03  6.935429221013343E-06 541202
  84      83.00      84.00  1.151046590659949E-03  6.491543579256207E-06 493860
  85      84.00      85.00  1.061647592603732E-03  6.138287042819613E-06 454540
  86      85.00      86.00  1.121118072259965E-02  1.680685557688780E-05 7567215
  87      86.00      87.00  0.000000000000000E+00  0.000000000000000E+00 0
  88      87.00      88.00 -3.006779586697430E-09  6.295129408776066E-09 11
  89      88.00      89.00  1.367833940947295E-05  1.534561159899812E-06 118150
  90      89.00      90.00  1.752468517384632E-04  3.775239962636565E-06 490789
  91      90.00      91.00  4.079331558405021E-04  5.104549272409193E-06 672588
  92      91.00      92.00  6.671162735371887E-04  6.540261454835435E-06 734156
  93      92.00      93.00  8.612000213915638E-04  7.261754406303926E-06 739344
  94      93.00      94.00  9.955935626545925E-04  7.852248015577487E-06 716250
  95      94.00      95.00  1.074837035556866E-03  7.853372340897844E-06 679947
  96      95.00      96.00  1.086121388187712E-03  7.848001590663768E-06 638807
  97      96.00      97.00  1.091868784882813E-03  7.798881058699004E-06 595980
  98      97.00      98.00  1.070110329276650E-03  7.470755759650137E-06 554541
  99      98.00      99.00  1.032911221309850E-03  7.221273551670228E-06 516918
 100      99.00     100.00  9.911491062368554E-04  6.976702174510375E-06 478678
 101     100.00     101.00  9.300360053878570E-04  6.649126200055679E-06 443219
 102     101.00     102.00  8.708134847836774E-04  6.315996412341559E-06 412094
 103     102.00     103.00  1.063074249202000E-02  1.796954206641589E-05 7381420
 104     103.00     104.00  0.000000000000000E+00  0.000000000000000E+00 0
 105     104.00     105.00  0.000000000000000E+00  0.000000000000000E+00 0
 106     105.00     106.00 -1.476485857125728E-07  1.569609076218333E-07 2350
 107     106.00     107.00  3.361225487836260E-05  1.540083721672594E-06 119809
 108     107.00     108.00  1.403844090154998E-04  3.089262929598434E-06 297458
 109     108.00     109.00  2.736679461911793E-04  4.211728965109496E-06 398608
 110     109.00     110.00  4.124012929288274E-04  5.122122570179584E-06 449717
 111     110.00     111.00  5.318102885283505E-04  5.951524071394546E-06 467591
 112     111.00     112.00  6.135118227270791E-04  6.409549132784263E-06 471930
 113     112.00     113.00  6.706928427424924E-04  6.675234160179952E-06 464958
 114     113.00     114.00  7.059720687345862E-04  6.807427881456874E-06 449367
 115     114.00     115.00  7.023966666648187E-04  6.797562699925632E-06 431164
 116     115.00     116.00  7.241404048492018E-04  6.728234477805424E-06 409859
 117     116.00     117.00  7.112781321261760E-04  6.558236303962454E-06 390501
 118     117.00     118.00  6.763240659316802E-04  6.358209900489421E-06 370429
 119     118.00     119.00  6.665799998354590E-04  6.171606577710380E-06 348656
 120     119.00     120.00  9.396041500842677E-03  1.855133046971533E-05 7053622
 121     120.00     121.00  0.000000000000000E+00  0.000000000000000E+00 0
 122     121.00     122.00  0.000000000000000E+00  0.000000000000000E+00 0
 123     122.00     123.00  0.000000000000000E+00  0.000000000000000E+00 0
 124     123.00     124.00  8.781989189015915E-07  2.188360695131326E-07 4400
 125     124.00     125.00  2.716595330967911E-05  1.156040311001221E-06 70686
 126     125.00     126.00  8.292703026147604E-05  2.189876957558871E-06 157628
 127     126.00     127.00  1.525047316054319E-04  3.035190600946214E-06 217418
 128     127.00     128.00  2.373838710871286E-04  3.930229497108030E-06 256677
 129     128.00     129.00  3.043449680904971E-04  4.574939020539862E-06 279066
 130     129.00     130.00  3.475525062839483E-04  4.987748117321152E-06 289933
 131     130.00     131.00  3.935907947031308E-04  5.315505739009126E-06 295221
 132     131.00     132.00  4.140231099640650E-04  5.505239560417811E-06 295714
 133     132.00     133.00  4.423351281236815E-04  5.619788411457812E-06 291995
 134     133.00     134.00  4.528062531919621E-04  5.747001812688792E-06 285746
 135     134.00     135.00  4.458519142492900E-04  5.601273318135346E-06 277137
 136     135.00     136.00  4.358721345172933E-04  5.452210067369531E-06 268139
 137     136.00     137.00  7.658846163635002E-03  1.822703532684584E-05 6496744
 138     137.00     138.00  0.000000000000000E+00  0.000000000000000E+00 0
 139     138.00     139.00  0.000000000000000E+00  0.000000000000000E+00 0
 140     139.00     140.00  0.000000000000000E+00  0.000000000000000E+00 0
 141     140.00     141.00  0.000000000000000E+00  0.000000000000000E+00 0
 142     141.00     142.00  6.035085731462378E-07  1.371677162074260E-07 1748
 143     142.00     143.00  1.294520723921444E-05  7.936675849365845E-07 28506
 144     143.00     144.00  4.294793994803422E-05  1.606985639863658E-06 71568
 145     144.00     145.00  7.314861658206602E-05  2.028339009934220E-06 105563
 146     145.00     146.00  1.129572276771345E-04  2.651170248655402E-06 132276
 147     146.00     147.00  1.487126084426874E-04  3.116518033932815E-06 150001
 148     147.00     148.00  1.799586189615092E-04  3.588754856233683E-06 163998
 149     148.00     149.00  2.030432838063766E-04  3.798516764704415E-06 173064
 150     149.00     150.00  2.314088248638007E-04  4.126003158748417E-06 178796
 151     150.00     151.00  2.518172293882284E-04  4.241763351911808E-06 182151
 152     151.00     152.00  2.605182240510591E-04  4.603480481033655E-06 182680
 153     152.00     153.00  2.630560133131208E-04  4.382285520886969E-06 181832
 154     153.00     154.00  5.773430723389953E-03  1.671450368807187E-05 5659905
 155     154.00     155.00  0.000000000000000E+00  0.000000000000000E+00 0
 156     155.00     156.00  0.000000000000000E+00  0.000000000000000E+00 0
 157     156.00     157.00  0.000000000000000E+00  0.000000000000000E+00 0
 158     157.00     158.00  0.000000000000000E+00  0.000000000000000E+00 0
 159     158.00     159.00  0.000000000000000E+00  0.000000000000000E+00 0
 160     159.00     160.00  3.728165275094783E-08  3.414346960566494E-08 95
 161     160.00     161.00  2.854872309492068E-06  4.079216210303246E-07 6697
 162     161.00     162.00  1.404141629429423E-05  8.350383589025106E-07 24586
 163     162.00     163.00  2.847900984255266E-05  1.219961365111697E-06 43523
 164     163.00     164.00  4.940903382491748E-05  1.733733783888954E-06 59217
 165     164.00     165.00  6.395134766580817E-05  1.912260486929607E-06 72137
 166     165.00     166.00  8.278738332782710E-05  2.291749503726656E-06 82259
 167     166.00     167.00  1.006132847187010E-04  2.671791307581151E-06 90716
 168     167.00     168.00  1.069197043350250E-04  2.729706489802246E-06 97004
 169     168.00     169.00  1.283898520543833E-04  3.018290657499476E-06 102457
 170     169.00     170.00  1.331666095932305E-04  3.198858960356090E-06 105990
 171     170.00     171.00  3.954660327410037E-03  1.419247755968273E-05 4621189
 172     171.00     172.00  0.000000000000000E+00  0.000000000000000E+00 0
 173     172.00     173.00  0.000000000000000E+00  0.000000000000000E+00 0
 174     173.00     174.00  0.000000000000000E+00  0.000000000000000E+00 0
 175     174.00     175.00  0.000000000000000E+00  0.000000000000000E+00 0
 176     175.00     176.00  0.000000000000000E+00  0.000000000000000E+00 0
 177     176.00     177.00  0.000000000000000E+00  0.000000000000000E+00 0
 178     177.00     178.00  0.000000000000000E+00  0.000000000000000E+00 0
 179     178.00     179.00  1.880676432010564E-07  9.295530945853583E-08 338
 180     179.00     180.00  2.870622331120912E-06  3.513880959040839E-07 4494
 181     180.00     181.00  8.241428921811115E-06  6.395022226348208E-07 12305
 182     181.00     182.00  1.563628285762218E-05  9.581729637282498E-07 22184
 183     182.00     183.00  2.644476148070899E-05  1.213674894877414E-06 32446
 184     183.00     184.00  3.601399269866742E-05  1.396373883228130E-06 43108
 185     184.00     185.00  4.940091642018825E-05  1.749346797797884E-06 52927
 186     185.00     186.00  5.997823285074736E-05  1.891209114365298E-06 62128
 187     186.00     187.00  7.324166531648372E-05  2.182004357334477E-06 70850
 188     187.00     188.00  5.137988151068659E-03  1.535426578390289E-05 9319693
 189     188.00     189.00  0.000000000000000E+00  0.000000000000000E+00 0
 190     189.00     190.00  0.000000000000000E+00  0.000000000000000E+00 0
 191     190.00     191.00  0.000000000000000E+00  0.000000000000000E+00 0
 192     191.00     192.00  0.000000000000000E+00  0.000000000000000E+00 0
 193     192.00     193.00  0.000000000000000E+00  0.000000000000000E+00 0
 194     193.00     194.00  0.000000000000000E+00  0.000000000000000E+00 0
 195     194.00     195.00  0.000000000000000E+00  0.000000000000000E+00 0
 196     195.00     196.00  0.000000000000000E+00  0.000000000000000E+00 0
 197     196.00     197.00  0.000000000000000E+00  0.000000000000000E+00 0
 198     197.00     198.00  0.000000000000000E+00  0.000000000000000E+00 0
 199     198.00     199.00  0.000000000000000E+00  0.000000000000000E+00 0
 200     199.00     200.00  0.000000000000000E+00  0.000000000000000E+00 0
# Underflow:                 0.0000000000000000E+00  0.0000000000000000E+00 0
# Overflow:                  0.0000000000000000E+00  0.0000000000000000E+00 0
#-------------------------------------------------------------------------------------
# Sum:                      -4.3943264528658307E-02  3.0017580533017333E-05 101479000
#=====================================================================================
