# title = cross section scan
# xlabel = $xsec$
# ylabel = $\frac{\text{d}\sigma}{\text{d}xsec}\,[\text{fb}]$
# xmin=  0.000E+00
# xmax=  2.000E+02
# ymin=  1.000E-04
# ymax=  4.000E-01
# kmin= -2.000E+01
# kmax=  1.000E+01
# logscale = false
# Renormalization and factorization scale scaled by: 1.0000000000
# Renormalization scaled by: 1.0000000000
# Number of generated events: 606049171
#
#=====================================================================================
# No.       Left      Right                   Value                   Error Hits
#-------------------------------------------------------------------------------------
   1       0.00       1.00  0.000000000000000E+00  0.000000000000000E+00 0
   2       1.00       2.00  8.375682808058945E-03  2.833997970854127E-05 7634270
   3       2.00       3.00  3.068478081849590E-02  5.197289092928648E-05 27982314
   4       3.00       4.00  4.113961469722947E-02  5.252657012808032E-05 32759957
   5       4.00       5.00  3.628690159805262E-02  4.086541609108782E-05 29303448
   6       5.00       6.00  2.902180309072185E-02  3.281040779352917E-05 24886872
   7       6.00       7.00  2.287097249768344E-02  2.736670291680809E-05 20996286
   8       7.00       8.00  1.812388724366354E-02  2.325802201867149E-05 17812495
   9       8.00       9.00  1.439020968762541E-02  1.967265628545620E-05 15248142
  10       9.00      10.00  1.163686861972730E-02  1.759440835328059E-05 13187354
  11      10.00      11.00  9.418020507450808E-03  1.562252360425154E-05 11485508
  12      11.00      12.00  7.751687771608985E-03  1.393416299812137E-05 10099230
  13      12.00      13.00  6.400373774099328E-03  1.256764027561019E-05 8940087
  14      13.00      14.00  5.303266234013927E-03  1.121542381326675E-05 7961980
  15      14.00      15.00  4.459839708339555E-03  1.076515653747805E-05 7128377
  16      15.00      16.00  3.749106059541132E-03  9.236561330780112E-06 6422604
  17      16.00      17.00  3.186551288073085E-03  8.489659441031547E-06 5808832
  18      17.00      18.00  2.151318524035863E-02  2.035148071912108E-05 82485541
  19      18.00      19.00  4.617103960264182E-03  2.457140713517105E-05 3603878
  20      19.00      20.00  2.830711969885139E-02  5.905001162208336E-05 22255870
  21      20.00      21.00  3.999392712596793E-02  6.188800624644009E-05 29304989
  22      21.00      22.00  3.623321904486002E-02  4.884251451858325E-05 27108032
  23      22.00      23.00  2.913940546599084E-02  3.745903538492888E-05 23433877
  24      23.00      24.00  2.308097715360206E-02  3.148837904522667E-05 19972939
  25      24.00      25.00  1.838252424056440E-02  2.757908670783589E-05 17046239
  26      25.00      26.00  1.469278495206147E-02  2.334379123043271E-05 14659269
  27      26.00      27.00  1.188651647650020E-02  2.075180933866043E-05 12714075
  28      27.00      28.00  9.683055843931821E-03  1.834971687671006E-05 11109200
  29      28.00      29.00  7.927222243619123E-03  1.607485557628218E-05 9769766
  30      29.00      30.00  6.558012558384625E-03  1.432586911325970E-05 8664293
  31      30.00      31.00  5.496779119079115E-03  1.311016077013926E-05 7727415
  32      31.00      32.00  4.592224009522832E-03  1.178020520674610E-05 6928988
  33      32.00      33.00  3.895938071349979E-03  1.085392041567717E-05 6246189
  34      33.00      34.00  3.305504296192539E-03  9.970202393554643E-06 5649708
  35      34.00      35.00  2.253030567980909E-02  2.362271081129887E-05 80097090
  36      35.00      36.00  3.929766334680140E-04  1.148544753555202E-05 245426
  37      36.00      37.00  1.561259548130352E-02  5.172035764372389E-05 9315354
  38      37.00      38.00  3.350815058415257E-02  6.827714620770287E-05 18734563
  39      38.00      39.00  3.378430675944957E-02  5.743713039874534E-05 19632262
  40      39.00      40.00  2.840769786107352E-02  4.872367919022116E-05 18058166
  41      40.00      41.00  2.282507480627172E-02  3.842697842177381E-05 15984020
  42      41.00      42.00  1.839358353328008E-02  3.492408003831017E-05 14006207
  43      42.00      43.00  1.484586548487088E-02  2.926519129468229E-05 12275564
  44      43.00      44.00  1.211407579927498E-02  2.598918389726140E-05 10797512
  45      44.00      45.00  9.890737328053881E-03  2.315601647933746E-05 9547546
  46      45.00      46.00  8.177335568201180E-03  2.010297921464039E-05 8485421
  47      46.00      47.00  6.777726100729279E-03  1.799508632698362E-05 7587550
  48      47.00      48.00  5.686034257535568E-03  1.666262644943796E-05 6808703
  49      48.00      49.00  4.787450300154339E-03  1.467094274388567E-05 6149130
  50      49.00      50.00  4.062940065082115E-03  1.379364928024111E-05 5572715
  51      50.00      51.00  3.485727523954469E-03  1.258212347405849E-05 5066199
  52      51.00      52.00  2.400001216179673E-02  2.992240006837846E-05 74435604
  53      52.00      53.00  0.000000000000000E+00  0.000000000000000E+00 0
  54      53.00      54.00  4.535132794409920E-03  2.844659852802403E-05 2208116
  55      54.00      55.00  2.119998409360527E-02  6.845236406920474E-05 9197320
  56      55.00      56.00  2.698678513823130E-02  6.989206162757076E-05 11691846
  57      56.00      57.00  2.506741502465691E-02  6.047595344085035E-05 11819549
  58      57.00      58.00  2.114300042839191E-02  4.729377796766422E-05 11081400
  59      58.00      59.00  1.741543555817208E-02  4.179892528547196E-05 10103436
  60      59.00      60.00  1.429758315222504E-02  3.672620566925469E-05 9105546
  61      60.00      61.00  1.167443768394375E-02  2.987998092582390E-05 8183344
  62      61.00      62.00  9.713781428673469E-03  2.791954938365915E-05 7361726
  63      62.00      63.00  8.062968689579744E-03  2.531357601731843E-05 6640844
  64      63.00      64.00  6.772148196413446E-03  2.274580424596334E-05 6008800
  65      64.00      65.00  5.685807932002952E-03  2.054214592726876E-05 5451866
  66      65.00      66.00  4.842323674649030E-03  1.865561160236867E-05 4968730
  67      66.00      67.00  4.107268406822156E-03  1.718712240856142E-05 4530605
  68      67.00      68.00  3.506750645426088E-03  1.568466322960471E-05 4156347
  69      68.00      69.00  2.495927562432687E-02  3.763467797021557E-05 65332451
  70      69.00      70.00  0.000000000000000E+00  0.000000000000000E+00 0
  71      70.00      71.00  4.148770835080000E-04  1.094083677107146E-05 172854
  72      71.00      72.00  8.812224530200335E-03  5.949126045733113E-05 3153678
  73      72.00      73.00  1.708621368894526E-02  6.779510623635722E-05 5693858
  74      73.00      74.00  1.874861774142381E-02  6.843871911086433E-05 6575755
  75      74.00      75.00  1.736300599660724E-02  5.526766025424617E-05 6688846
  76      75.00      76.00  1.495059268175205E-02  4.811256175695920E-05 6447438
  77      76.00      77.00  1.258512844745421E-02  4.033205954984234E-05 6050350
  78      77.00      78.00  1.058670501946554E-02  3.640220177916981E-05 5606306
  79      78.00      79.00  8.898953809981854E-03  3.173598266384812E-05 5169399
