 #          23 : dS/dm_{jj} (fb/GeV)	 #          23 : dS/dm_{jj} (fb/GeV)
-100.000 0.00000 0.0 0.0	-100.000 0.00000 0.0 0.0
0.00000 100.000 0.0 0.0	0.00000 100.000 0.0 0.0
100.000 200.000 0.0 0.0	100.000 200.000 0.0 0.0
200.000 300.000 0.0004155607952755905 1.0701493758954836e-07	200.000 300.000 2.613184062500001e-06 4.406618078553481e-09
300.000 400.000 0.0007479047086614177 1.4315263741628164e-07	300.000 400.000 1.854116875e-06 1.7796075213443527e-09
400.000 500.000 0.0009617619842519682 1.476145144142585e-07	400.000 500.000 1.26627375e-06 1.4254193244130157e-09
500.000 600.000 0.0010681412598425202 1.4931885824948315e-07	500.000 600.000 8.693405937499999e-07 1.2244733080395698e-09
600.000 700.000 0.0011005401574803147 1.4849724196239588e-07	600.000 700.000 6.039318125000001e-07 1.0233983040457562e-09
700.000 800.000 0.0010862148818897635 1.45915523243455e-07	700.000 800.000 4.253484374999999e-07 9.189469439067347e-10
800.000 900.000 0.0010441760629921258 1.412430419750779e-07	800.000 900.000 3.0253134375e-07 7.790812757890275e-10
900.000 1000.00 0.0009870385275590554 1.3923562523226973e-07	900.000 1000.00 2.1856924999999996e-07 7.290711043035986e-10
1000.00 1100.00 0.0009223337716535432 1.3440068471745338e-07	1000.00 1100.00 1.6151328125e-07 6.677271136522371e-10
1100.00 1200.00 0.0008544027874015746 1.3005583507648506e-07	1100.00 1200.00 1.1736528125000001e-07 5.795379199948127e-10
1200.00 1300.00 0.0007873754724409448 1.224650233518105e-07	1200.00 1300.00 8.808955625e-08 5.450223542362162e-10
1300.00 1400.00 0.0007223213858267711 1.1854896682485631e-07	1300.00 1400.00 6.5289740625e-08 4.666156469293303e-10
1400.00 1500.00 0.0006603547559055118 1.1232608211911269e-07	1400.00 1500.00 4.96876875e-08 4.746617141992416e-10
1500.00 1600.00 0.0006022441023622048 1.0845030384783257e-07	1500.00 1600.00 3.7606521875000007e-08 4.69396078344957e-10
1600.00 1700.00 0.000547901220472441 1.0297725576563987e-07	1600.00 1700.00 2.8208828125e-08 4.532372169217017e-10
1700.00 1800.00 0.0004975575984251971 9.841503176258471e-08	1700.00 1800.00 2.1180096875e-08 3.928575280683328e-10
1800.00 1900.00 0.00045093566141732284 9.408610863040555e-08	1800.00 1900.00 1.6541490624999995e-08 4.0031278497038056e-10
1900.00 2000.00 0.00040818036220472467 8.977710159321193e-08	1900.00 2000.00 1.2804165937499998e-08 4.399663639105337e-10
2000.00 2100.00 0.00036887200787401585 8.55806553952927e-08	2000.00 2100.00 1.045281125e-08 1.6153613070744739e-09
2100.00 2200.00 0.0003330041259842519 8.187673694662967e-08	2100.00 2200.00 7.4194046875e-09 3.6877989340164163e-10
2200.00 2300.00 0.00030006749606299206 7.851208905342827e-08	2200.00 2300.00 5.931854999999998e-09 3.258341789229868e-10
2300.00 2400.00 0.0002703522204724409 7.415633366074904e-08	2300.00 2400.00 4.620365e-09 3.597169865695472e-10
2400.00 2500.00 0.00024299977952755918 7.111727422847167e-08	2400.00 2500.00 2.89982603125e-09 2.78396236331536e-10
2500.00 2600.00 0.00021828731496063 6.734288148974201e-08	2500.00 2600.00 2.7964686874999997e-09 3.072303875001402e-10
2600.00 2700.00 0.0001955801496062992 6.339075595421885e-08	2600.00 2700.00 2.9319219062500007e-09 4.5974270651059115e-10
2700.00 2800.00 0.0001752903543307086 6.100617130161973e-08	2700.00 2800.00 1.3010834698437499e-09 2.837669433221104e-10
2800.00 2900.00 0.0001566985196850393 5.64208731316127e-08	2800.00 2900.00 1.26822025e-09 2.2198433663124405e-10
2900.00 3000.00 0.00014006474803149606 5.370780600865844e-08	2900.00 3000.00 8.054159671874999e-10 1.427948064469857e-10
3000.00 3100.00 0.00012488915748031497 5.021381520256932e-08	3000.00 3100.00 7.2037844921875e-10 2.3330154392402886e-10
3100.00 3200.00 0.00011125557480314955 4.721133200741706e-08	3100.00 3200.00 8.657453679421874e-10 2.847576105448411e-10
3200.00 3300.00 9.905655039370074e-05 4.714165996552613e-08	3200.00 3300.00 4.1325310062500004e-10 1.2680159716456996e-10
3300.00 3400.00 8.803177559055119e-05 4.3215155040691e-08	3300.00 3400.00 2.0838427037499998e-10 6.674825992683565e-11
3400.00 3500.00 7.81220133858268e-05 4.46212765125599e-08	3400.00 3500.00 1.7891704308500001e-10 8.830030653075764e-11
3500.00 3600.00 6.915352677165355e-05 3.764218477376483e-08	3500.00 3600.00 8.68192673400625e-11 4.7569239116842264e-11
3600.00 3700.00 6.117480866141732e-05 3.72030196222233e-08	3600.00 3700.00 6.52549938375e-11 2.770620349181631e-11
3700.00 3800.00 5.404409842519683e-05 4.030813146001227e-08	3700.00 3800.00 1.63495721607125e-11 4.0095761785054704e-12
3800.00 3900.00 4.7667209448818894e-05 3.5515189594794246e-08	3800.00 3900.00 1.290635338540625e-10 7.713721449938813e-11
3900.00 4000.00 4.193578110236221e-05 2.983696141419466e-08	3900.00 4000.00 1.397463067365625e-10 4.291615240762354e-11
4000.00 4100.00 0.00027967551181102353 9.700644911750326e-08	4000.00 4100.00 -4.533015887500001e-11 4.3363798037725214e-11
