 #          28 : dS/dm_{ll} (fb/GeV)	 #          28 : dS/dm_{ll} (fb/GeV)
-100.000 0.00000 0.0 0.0	-100.000 0.00000 0.0 0.0
0.00000 100.000 0.00787088046875 4.424528396546013e-07	0.00000 100.000 0.00130395375 1.0800750044286747e-06
100.000 200.000 0.007299548359375 4.0263606147299613e-07	100.000 200.000 0.0012174140625 9.12515957497082e-07
200.000 300.000 0.0026242685156250005 2.5524982012259997e-07	200.000 300.000 0.0004490079375000001 5.194467234504594e-07
300.000 400.000 0.001022328359375 1.6693684306677724e-07	300.000 400.000 0.00018158537500000002 3.5649300800663284e-07
400.000 500.000 0.00044219514843749997 1.0791999002076278e-07	400.000 500.000 8.166572499999999e-05 2.3836664247627048e-07
500.000 600.000 0.00020762916406250005 7.430569962271946e-08	500.000 600.000 4.0985771874999994e-05 1.9949875799625387e-07
600.000 700.000 0.00010390315625 4.9128721695789546e-08	600.000 700.000 2.1639343750000003e-05 1.283872390730511e-07
700.000 800.000 5.4778606249999986e-05 4.0417458504735986e-08	700.000 800.000 1.2119190625e-05 8.956369272534817e-08
800.000 900.000 3.0032925781249987e-05 2.4707222195446687e-08	800.000 900.000 7.1377403125e-06 1.4141131586648855e-07
900.000 1000.00 1.7031398437499997e-05 1.8110697059642546e-08	900.000 1000.00 4.3443049999999996e-06 5.555836562473378e-08
1000.00 1100.00 9.953054999999995e-06 1.3044474421584173e-08	1000.00 1100.00 2.7923084375e-06 4.204399158881924e-08
1100.00 1200.00 5.943790312500001e-06 9.391558578386186e-09	1100.00 1200.00 1.6961574999999997e-06 3.060207636222569e-08
1200.00 1300.00 3.643244765625001e-06 7.372810328965644e-09	1200.00 1300.00 1.14776209375e-06 2.914108279619777e-08
1300.00 1400.00 2.2559006250000003e-06 6.071401964714767e-09	1300.00 1400.00 7.607612187499997e-07 2.4810671322515763e-08
1400.00 1500.00 1.4238348437500006e-06 4.099042843391222e-09	1400.00 1500.00 4.7029053125e-07 1.2583077903655095e-08
1500.00 1600.00 9.106303359375e-07 3.4036136599734754e-09	1500.00 1600.00 3.4103978125e-07 1.7439500181211296e-08
1600.00 1700.00 5.83078234375e-07 2.1654536707246663e-09	1600.00 1700.00 2.2564971874999997e-07 1.1994186748722991e-08
1700.00 1800.00 3.819257734375e-07 1.751770440805956e-09	1700.00 1800.00 1.6147228124999997e-07 8.953816627019616e-09
1800.00 1900.00 2.5110825781250006e-07 1.211965907212119e-09	1800.00 1900.00 1.17788621875e-07 8.608726309135087e-09
1900.00 2000.00 1.6754178906250003e-07 9.663068282225155e-10	1900.00 2000.00 7.830761562499998e-08 5.5398902036666866e-09
2000.00 2100.00 1.1220254531250003e-07 7.361223385763394e-10	2000.00 2100.00 5.1004765625000016e-08 2.918031642628445e-09
2100.00 2200.00 7.482221484375001e-08 5.176564317183587e-10	2100.00 2200.00 3.581398125e-08 2.2100684149725493e-09
2200.00 2300.00 5.126623515625001e-08 4.897243388832175e-10	2200.00 2300.00 2.3224756250000004e-08 1.3496904291264668e-09
2300.00 2400.00 3.4794102343749985e-08 3.020573877911209e-10	2300.00 2400.00 1.8305909375e-08 1.2403505229288544e-09
2400.00 2500.00 2.3596909374999998e-08 2.2291600519856743e-10	2400.00 2500.00 1.2242034062500001e-08 9.90560595492512e-10
2500.00 2600.00 1.6165462499999996e-08 2.2489594044494994e-10	2500.00 2600.00 1.5397897500000002e-08 4.658260810292947e-09
2600.00 2700.00 1.1162325078124999e-08 1.2838283796743723e-10	2600.00 2700.00 5.424888749999999e-09 5.608156824143082e-10
2700.00 2800.00 7.814655546875004e-09 1.4677677943763044e-10	2700.00 2800.00 4.07360396875e-09 5.080892946078683e-10
2800.00 2900.00 5.357135234375003e-09 8.114006001201176e-11	2800.00 2900.00 2.79767084375e-09 2.4259823087886823e-10
2900.00 3000.00 3.703688046875e-09 5.3521319792344365e-11	2900.00 3000.00 1.91028421875e-09 2.5552641952033996e-10
3000.00 3100.00 2.6224988281250015e-09 4.144835896070139e-11	3000.00 3100.00 1.0656011875000003e-09 1.1085193667990443e-10
3100.00 3200.00 1.82986859375e-09 3.644764971866955e-11	3100.00 3200.00 8.397809062499999e-10 1.0796574212129852e-10
3200.00 3300.00 1.220214101562501e-09 2.0234539147317313e-11	3200.00 3300.00 5.451611625000001e-10 8.211470940186605e-11
3300.00 3400.00 8.727257968750002e-10 1.5873081961619987e-11	3300.00 3400.00 4.024616921875e-10 6.221094948905173e-11
3400.00 3500.00 6.066738515625002e-10 1.244915930750588e-11	3400.00 3500.00 2.9545909999999995e-10 7.124106702485857e-11
3500.00 3600.00 4.40245296875e-10 8.984753088818778e-12	3500.00 3600.00 2.014087734375e-10 4.789837671312038e-11
3600.00 3700.00 3.0377685937500015e-10 6.7118348600717605e-12	3600.00 3700.00 1.2831222499999998e-10 4.119752672910928e-11
3700.00 3800.00 2.2732211171874993e-10 6.789969792651842e-12	3700.00 3800.00 5.28061451875e-11 3.0463006894885185e-11
3800.00 3900.00 1.5712527187499997e-10 4.5690727499744976e-12	3800.00 3900.00 5.358388125e-11 1.4386902742536799e-11
3900.00 4000.00 1.2114367031249996e-10 3.837466578851494e-12	3900.00 4000.00 1.4516575625000002e-11 1.2061880008659529e-11
4000.00 4100.00 2.8974816406250007e-10 4.1322362877627704e-12	4000.00 4100.00 3.65057309375e-11 2.911221737797401e-11
