 #          25 : dS/dp_{T,j2} (fb/GeV)	 #          25 : dS/dp_{T,j2} (fb/GeV)
-25.0000 0.00000 0.0 0.0	-25.0000 0.00000 0.0 0.0
0.00000 25.0000 0.0 0.0	0.00000 25.0000 0.0 0.0
25.0000 50.0000 0.010612279527559053 9.562647133775061e-07	25.0000 50.0000 9.333633125e-06 1.678650787590563e-08
50.0000 75.0000 0.015110938582677159 1.090961871438562e-06	50.0000 75.0000 9.878396874999999e-06 9.685473622844592e-09
75.0000 100.000 0.012633245669291337 9.486551179733158e-07	75.0000 100.000 5.8041175e-06 6.226316263901553e-09
100.000 125.000 0.00920029322834646 7.971871547634121e-07	100.000 125.000 3.4114356249999996e-06 5.008880535223672e-09
125.000 150.000 0.00638495724409449 6.509198260994828e-07	125.000 150.000 2.120935625e-06 4.387292330211474e-09
150.000 175.000 0.004384261102362206 5.494691811331441e-07	150.000 175.000 1.383824375e-06 3.563806824009604e-09
175.000 200.000 0.003023394645669292 4.718014770845353e-07	175.000 200.000 9.2536265625e-07 3.178907258980855e-09
200.000 225.000 0.002110142834645669 4.0994183451475713e-07	200.000 225.000 6.334845312500001e-07 2.9553709767035005e-09
225.000 250.000 0.0014922301574803144 3.638416570110739e-07	225.000 250.000 4.4362462499999994e-07 2.2254335244632852e-09
250.000 275.000 0.0010710658267716537 3.2518122132007997e-07	250.000 275.000 3.1686290625000003e-07 2.3242900657338666e-09
275.000 300.000 0.0007793247244094485 2.933717614357441e-07	275.000 300.000 2.2960768749999998e-07 2.06239958868674e-09
300.000 325.000 0.0005748413937007873 2.67297628939362e-07	300.000 325.000 1.6901743749999998e-07 1.8018735513570529e-09
325.000 350.000 0.0004280172598425196 2.4418421325187747e-07	325.000 350.000 1.2791193750000003e-07 1.6757979835433184e-09
350.000 375.000 0.00032305667716535445 2.279962693952603e-07	350.000 375.000 9.241521874999997e-08 1.4284753999200538e-09
375.000 400.000 0.0002462503385826772 2.1146123027230556e-07	375.000 400.000 6.739172187499998e-08 1.1859376706808177e-09
400.000 425.000 0.00018961745669291336 1.9488027691219978e-07	400.000 425.000 5.395940000000001e-08 1.261841733199588e-09
425.000 450.000 0.00014629574803149605 1.8291852622438948e-07	425.000 450.000 4.046478125000001e-08 1.2400075245621307e-09
450.000 475.000 0.00011451129921259843 1.717438656456159e-07	450.000 475.000 3.2204315624999995e-08 1.092335187436938e-09
475.000 500.000 8.96861e-05 1.6050542709242157e-07	475.000 500.000 2.27438e-08 8.452096848566564e-10
500.000 525.000 7.095407795275588e-05 1.5467496089056842e-07	500.000 525.000 1.7541303125000002e-08 8.795689428576625e-10
525.000 550.000 5.623301102362203e-05 1.478234850487813e-07	525.000 550.000 1.3203890937500003e-08 8.795319891614522e-10
550.000 575.000 4.522300157480316e-05 1.4050488486445282e-07	550.000 575.000 1.7076946249999998e-08 6.312819181933078e-09
575.000 600.000 3.613817637795275e-05 1.2973495220402345e-07	575.000 600.000 1.00111495625e-08 1.138569494213255e-09
600.000 625.000 2.9165185826771657e-05 1.2316312696910345e-07	600.000 625.000 6.8313021874999994e-09 7.377658114773276e-10
625.000 650.000 2.379807874015748e-05 1.3058808521185768e-07	625.000 650.000 6.17019071875e-09 8.522254626352381e-10
650.000 675.000 1.9186764566929132e-05 1.3583876775045727e-07	650.000 675.000 3.80208259375e-09 5.950964020851745e-10
675.000 700.000 1.574547952755905e-05 1.2801633810470945e-07	675.000 700.000 3.1939186968750002e-09 5.277326859739883e-10
700.000 725.000 1.2866104330708655e-05 1.1704135422603515e-07	700.000 725.000 4.2977442968749995e-09 1.045481205405531e-09
725.000 750.000 1.0561976850393702e-05 1.0320806949714515e-07	725.000 750.000 2.6583588562499996e-09 9.238188115158326e-10
750.000 775.000 8.565715826771653e-06 9.190914323461322e-08	750.000 775.000 1.9587922894062494e-09 6.693418013075812e-10
775.000 800.000 7.106985905511811e-06 9.23740928364492e-08	775.000 800.000 1.0108709750312502e-09 3.556386306907477e-10
800.000 825.000 5.864913070866145e-06 8.439750673287703e-08	800.000 825.000 8.7583889485625e-10 2.0974499725757083e-10
825.000 850.000 4.754108976377952e-06 7.40538222242128e-08	825.000 850.000 6.708524726875e-10 2.892967848733127e-10
850.000 875.000 3.944035511811024e-06 6.642940781679042e-08	850.000 875.000 7.822794017187501e-10 3.30363943028422e-10
875.000 900.000 3.370724803149606e-06 7.50560427163844e-08	875.000 900.000 1.6467035046500001e-10 3.30338940456676e-11
900.000 925.000 2.799756456692912e-06 6.414123021450378e-08	900.000 925.000 -8.893006671250002e-11 2.5966166097218623e-11
925.000 950.000 2.345156385826771e-06 6.492606176569383e-08	925.000 950.000 -3.321913337468749e-12 1.110560708520052e-11
950.000 975.000 1.9289329212598428e-06 5.958233768913413e-08	950.000 975.000 2.7320703656250002e-11 1.4269487925254541e-11
975.000 1000.00 1.7372672602047246e-06 9.637310287257185e-08	975.000 1000.00 4.2575928141059387e-10 2.1797840042478757e-11
1000.00 1025.00 7.971720314960626e-06 3.253423241472733e-07	1000.00 1025.00 1.1495613403656249e-09 5.784300092287973e-10
