 #          27 : dS/dy_{j2} (fb/GeV)	 #          27 : dS/dy_{j2} (fb/GeV)
-5.50000 -5.00000 0.0 0.0	-5.50000 -5.00000 0.0 0.0
-5.00000 -4.50000 0.0 0.0	-5.00000 -4.50000 0.0 0.0
-4.50000 -4.00000 0.07630346850393706 1.905958359075033e-05	-4.50000 -4.00000 8.936088750000003e-06 8.863267651147015e-08
-4.00000 -3.50000 0.16198993700787404 2.497647597677887e-05	-4.00000 -3.50000 2.7600262500000008e-05 1.6505535571192604e-07
-3.50000 -3.00000 0.25246407086614164 3.0129252620093466e-05	-3.50000 -3.00000 6.003360000000001e-05 2.45955375924635e-07
-3.00000 -2.50000 0.3071400393700787 3.2119307936490694e-05	-3.00000 -2.50000 9.748e-05 6.854789649595042e-07
-2.50000 -2.00000 0.30236316535433067 3.248413734675261e-05	-2.50000 -2.00000 0.000125687 2.5720153429566273e-07
-2.00000 -1.50000 0.25155983464566917 3.169151663534382e-05	-2.00000 -1.50000 0.00014090034375000002 2.4479797248230085e-07
-1.50000 -1.00000 0.18098740157480325 3.1047237158138535e-05	-1.50000 -1.00000 0.00014336240625 2.4344580048709957e-07
-1.00000 -0.500000 0.1177942992125985 2.6511651159997566e-05	-1.00000 -0.500000 0.00013961999999999997 2.492911137972265e-07
-0.500000 0.00000 0.08146209842519683 2.3084297114640865e-05	-0.500000 0.00000 0.00013682128124999998 2.4339767450028863e-07
0.00000 0.500000 0.08141626614173231 2.3090291513830833e-05	0.00000 0.500000 0.000137483 4.0549771963044166e-07
0.500000 1.00000 0.1178093700787401 2.6492193740651224e-05	0.500000 1.00000 0.000139357625 2.3708931044388698e-07
1.00000 1.50000 0.18098905511811025 3.0786470519858596e-05	1.00000 1.50000 0.0001425705625 2.3439808698437278e-07
1.50000 2.00000 0.2515936299212597 3.2296369119596004e-05	1.50000 2.00000 0.00014050915624999998 2.415527379079366e-07
2.00000 2.50000 0.30242288188976385 3.2503378539709205e-05	2.00000 2.50000 0.00012574637499999998 2.60693275793499e-07
2.50000 3.00000 0.3071422677165355 3.2363760945592075e-05	2.50000 3.00000 9.6654734375e-05 2.4491015952064096e-07
3.00000 3.50000 0.25252020472440945 3.109060421057697e-05	3.00000 3.50000 5.95839125e-05 2.296471786001215e-07
3.50000 4.00000 0.16197614173228345 2.531776140178656e-05	3.50000 4.00000 2.7421978125000002e-05 1.619899955487944e-07
4.00000 4.50000 0.0762995677165354 1.8702420281020013e-05	4.00000 4.50000 9.1895128125e-06 1.235183395473094e-07
4.50000 5.00000 0.0 0.0	4.50000 5.00000 0.0 0.0
5.00000 5.50000 0.0 0.0	5.00000 5.50000 0.0 0.0
