 #          31 : dS/dy_{jj} (fb/GeV)	 #          31 : dS/dy_{jj} (fb/GeV)
-0.500000 0.00000 0.0 0.0	-0.500000 0.00000 0.0 0.0
0.00000 0.500000 0.0 0.0	0.00000 0.500000 0.0 0.0
0.500000 1.00000 0.0 0.0	0.500000 1.00000 0.0 0.0
1.00000 1.50000 0.0 0.0	1.00000 1.50000 0.0 0.0
1.50000 2.00000 0.0 0.0	1.50000 2.00000 0.0 0.0
2.00000 2.50000 0.28745471653543303 4.6818807569061954e-05	2.00000 2.50000 0.000794612125 9.89084856001883e-07
2.50000 3.00000 0.3832919448818897 4.604487894035453e-05	2.50000 3.00000 0.0004929250312499999 4.572380365739918e-07
3.00000 3.50000 0.4538782992125984 4.4547843385405946e-05	3.00000 3.50000 0.0002648189375 3.4135352734669557e-07
3.50000 4.00000 0.4858120078740158 4.319865747664634e-05	3.50000 4.00000 0.00012415640625 2.3894705092019245e-07
4.00000 4.50000 0.4747389685039372 4.0935103456921056e-05	4.00000 4.50000 5.210233437500002e-05 1.718395446323463e-07
4.50000 5.00000 0.42492084251968504 3.778561834239589e-05	4.50000 5.00000 2.022518125e-05 1.469465382346168e-07
5.00000 5.50000 0.34742572440944886 3.377237785125965e-05	5.00000 5.50000 7.159594687499998e-06 1.0535723396151536e-07
5.50000 6.00000 0.2577769606299212 2.9035997354169788e-05	5.50000 6.00000 2.1585871875e-06 5.3849814494397795e-08
6.00000 6.50000 0.17156672440944884 2.3876932003957957e-05	6.00000 6.50000 6.221174062499998e-07 3.635977860632107e-08
6.50000 7.00000 0.10039833937007875 1.884414109963952e-05	6.50000 7.00000 1.50704209375e-07 2.040916941574153e-08
7.00000 7.50000 0.05008364488188978 1.3890956033174712e-05	7.00000 7.50000 2.6115244312500002e-08 6.369283854643241e-09
7.50000 8.00000 0.020139648031496055 9.26197819436638e-06	7.50000 8.00000 5.25306665625e-10 0.0
8.00000 8.50000 0.005885367952755908 5.5181879951651245e-06	8.00000 8.50000 0.0 0.0
8.50000 9.00000 0.0008605553385826772 2.1176389724091438e-06	8.50000 9.00000 0.0 0.0
9.00000 9.50000 0.0 0.0	9.00000 9.50000 0.0 0.0
9.50000 10.0000 0.0 0.0	9.50000 10.0000 0.0 0.0
10.0000 10.5000 0.0 0.0	10.0000 10.5000 0.0 0.0
