 #          29 : dS/dz_{e+} (fb/GeV)	 #          29 : dS/dz_{e+} (fb/GeV)
-0.500000E-01 0.00000 0.0 0.0	-0.500000E-01 0.00000 0.0 0.0
0.00000 0.500000E-01 4.731067343750001 0.00043989798239652613	0.00000 0.500000E-01 0.16291309375000002 0.0005663648768610187
0.500000E-01 0.100000 4.634795546875001 0.00043546750933129685	0.500000E-01 0.100000 0.16076028125000003 0.0005493245109984547
0.100000 0.150000 4.445121171874999 0.00043366894008997327	0.100000 0.150000 0.15902384375000006 0.0005533757911762683
0.150000 0.200000 4.163155390624999 0.0004436311391413213	0.150000 0.200000 0.15567065625 0.0005723964964287655
0.200000 0.250000 3.792554843749999 0.00040937535662778185	0.200000 0.250000 0.15124415624999998 0.0005555167051225506
0.250000 0.300000 3.342460781250001 0.0003879420444799701	0.250000 0.300000 0.1454428125 0.0005297621465408953
0.300000 0.350000 2.840346953125001 0.000361305045595635	0.300000 0.350000 0.14101540625 0.0005453562781654508
0.350000 0.400000 2.3217346093750004 0.0003290015735613264	0.350000 0.400000 0.1351105625 0.0004932152626861644
0.400000 0.450000 1.798961875 0.00029345927561648	0.400000 0.450000 0.13059590625000003 0.0004736221512482575
0.450000 0.500000 1.33791203125 0.0002551585561079311	0.450000 0.500000 0.12710625000000003 0.0005105176511730788
0.500000 0.550000 1.0301123437500002 0.0002274186391271853	0.500000 0.550000 0.12305115625000002 0.00045450575472336997
0.550000 0.600000 0.8200999140625003 0.00020546019853767805	0.550000 0.600000 0.12038087499999998 0.00046405378575572337
0.600000 0.650000 0.6517101249999998 0.00018573409863489076	0.600000 0.650000 0.11772212499999998 0.000425996087208318
0.650000 0.700000 0.5136365546874999 0.000168683896179016	0.650000 0.700000 0.1153278125 0.0004616410616298282
0.700000 0.750000 0.406611921875 0.0001628995914679756	0.700000 0.750000 0.11289065624999998 0.0004948091202768797
0.750000 0.800000 0.3255830234374999 0.00014203513554847416	0.750000 0.800000 0.10909212500000001 0.000425613622398407
0.800000 0.850000 0.2637341484375 0.00012834661166787197	0.800000 0.850000 0.10770796875000001 0.00042680403349890865
0.850000 0.900000 0.21624052343749997 0.00014033555308907088	0.850000 0.900000 0.10486135624999997 0.00041425458838278593
0.900000 0.950000 0.17909747656250014 0.00011189627980949627	0.900000 0.950000 0.10161412187500003 0.00038321054502207184
0.950000 1.00000 0.1499066171875 0.00010309557020406201	0.950000 1.00000 0.09860595312499999 0.0003801977334863328
1.00000 1.05000 0.12668014843749997 9.094469449540032e-05	1.00000 1.05000 0.09591755937500002 0.000373153463685451
1.05000 1.10000 0.10824422656249995 9.373407065934737e-05	1.05000 1.10000 0.09355015625 0.0003626085909597192
1.10000 1.15000 0.09308129062500003 9.204981916053096e-05	1.10000 1.15000 0.08975677187500002 0.00036695013147131637
1.15000 1.20000 0.0805261421875 7.838348712327538e-05	1.15000 1.20000 0.087079328125 0.0003527359513712007
1.20000 1.25000 0.07063215937499999 9.126964541421813e-05	1.20000 1.25000 0.08489933125000003 0.00035613155681376196
1.25000 1.30000 0.06193254843749998 7.317315721477806e-05	1.25000 1.30000 0.08142086249999997 0.0003219498655340344
1.30000 1.35000 0.054737252343749994 7.109575086338142e-05	1.30000 1.35000 0.07867684999999999 0.0003254135803320918
1.35000 1.40000 0.04889202499999999 7.721911520975337e-05	1.35000 1.40000 0.0762702 0.0003084023575088105
1.40000 1.45000 0.043479499218749974 6.862906608688441e-05	1.40000 1.45000 0.07333001562499998 0.00030661692629107017
1.45000 1.50000 0.0391088640625 5.892877170159727e-05	1.45000 1.50000 0.07225804375 0.00030753259710211386
1.50000 1.55000 0.7047631406249998 0.0003361764209948463	1.50000 1.55000 3.242339374999999 0.002084066882183502
