 #          30 : dS/dz_{mu+} (fb/GeV)	 #          30 : dS/dz_{mu+} (fb/GeV)
-0.500000E-01 0.00000 0.0 0.0	-0.500000E-01 0.00000 0.0 0.0
0.00000 0.500000E-01 4.469792362204725 0.00040821390465785323	0.00000 0.500000E-01 0.0016816559374999997 3.0207443492240686e-06
0.500000E-01 0.100000 4.3762555118110225 0.00040197438643132616	0.500000E-01 0.100000 0.0016691078125 6.969113124041221e-06
0.100000 0.150000 4.190339055118112 0.0003989357248796867	0.100000 0.150000 0.0016070703125 2.9210634478118717e-06
0.150000 0.200000 3.9130344881889747 0.0003904818756840889	0.150000 0.200000 0.0015325340625 2.8518125631400115e-06
0.200000 0.250000 3.5484858267716537 0.0003789355858759372	0.200000 0.250000 0.0014321515625000006 2.632614717899372e-06
0.250000 0.300000 3.109192047244094 0.0003563108265193866	0.250000 0.300000 0.0013289103125000003 2.7737179367988957e-06
0.300000 0.350000 2.6210548818897634 0.000329628756358876	0.300000 0.350000 0.0012083871875 2.4951517102900336e-06
0.350000 0.400000 2.1194843307086613 0.0003021094189599362	0.350000 0.400000 0.0010731896874999999 2.269266388783326e-06
0.400000 0.450000 1.6116999999999995 0.0002629273287522361	0.400000 0.450000 0.0009162020625000002 2.081232915586927e-06
0.450000 0.500000 1.161174094488189 0.00022623340915102534	0.450000 0.500000 0.0007823255625 1.9194376010926435e-06
0.500000 0.550000 0.8656944251968504 0.00019867664185279962	0.500000 0.550000 0.0006779865624999999 1.700572077222574e-06
0.550000 0.600000 0.6656603622047245 0.0001927409446051841	0.550000 0.600000 0.0005945666562500001 1.7198940335837646e-06
0.600000 0.650000 0.5059340314960629 0.00015703595630531925	0.600000 0.650000 0.0005238539374999998 1.649362548999518e-06
0.650000 0.700000 0.3749002992125983 0.00014334016263245285	0.650000 0.700000 0.0004480908125 1.4794064675032448e-06
0.700000 0.750000 0.2769787559055118 0.0001244728629743007	0.700000 0.750000 0.0003775994375 1.373825009898551e-06
0.750000 0.800000 0.20588807874015755 0.00011594248719289522	0.750000 0.800000 0.0003163282500000001 1.2643072975845264e-06
0.800000 0.850000 0.15373113385826773 0.00010509168713964354	0.800000 0.850000 0.000263857125 1.2049110212056945e-06
0.850000 0.900000 0.11504398425196856 9.216623765286729e-05	0.850000 0.900000 0.00021862440625 1.0532270824088845e-06
0.900000 0.950000 0.0865992165354331 0.00010270538795683292	0.900000 0.950000 0.00018087843749999997 1.08447982245112e-06
0.950000 1.00000 0.06549133622047246 7.238183704318404e-05	0.950000 1.00000 0.000147565125 1.0263025962151935e-06
1.00000 1.05000 0.04953926141732282 6.645626131921932e-05	1.00000 1.05000 0.00012001518749999996 7.974933911502468e-07
1.05000 1.10000 0.03774468661417323 6.690368241401885e-05	1.05000 1.10000 9.813238749999998e-05 7.890347821419441e-07
1.10000 1.15000 0.028550644094488188 5.85803155863129e-05	1.10000 1.15000 8.00112375e-05 7.274090310522995e-07
1.15000 1.20000 0.021914151181102366 5.452379333886e-05	1.15000 1.20000 6.493998750000001e-05 6.977150134474956e-07
1.20000 1.25000 0.01664873622047244 5.09305165250574e-05	1.20000 1.25000 5.5309062499999996e-05 3.2997938207788813e-06
1.25000 1.30000 0.012620347244094492 4.5612380245783804e-05	1.25000 1.30000 4.07621e-05 5.512085033378505e-07
1.30000 1.35000 0.009627487952755906 5.23195004760485e-05	1.30000 1.35000 3.337356250000001e-05 5.422391667604278e-07
1.35000 1.40000 0.007319581653543305 4.411945252446718e-05	1.35000 1.40000 2.6341662499999996e-05 5.146117746865068e-07
1.40000 1.45000 0.005561636929133859 4.487079318618674e-05	1.40000 1.45000 2.0575246874999998e-05 4.615732219108429e-07
1.45000 1.50000 0.004249317874015748 3.585778832128563e-05	1.45000 1.50000 1.5853534375e-05 4.2368645176553376e-07
1.50000 1.55000 0.012126774015748033 7.992922264615522e-05	1.50000 1.55000 5.3380843750000004e-05 1.0299658149546497e-06
