 #         223 :  dS/dm_{jj} (fb/GeV) (NLO)	 #         223 :  dS/dm_{jj} (fb/GeV) (NLO)
-100.000 0.00000 0.0 0.0	-100.000 0.00000 0.0 0.0
0.00000 100.000 0.0006784995703124996 2.698325618792917e-07	0.00000 100.000 0.0044152446875 4.958588911928472e-06
100.000 200.000 0.0009473029218750001 3.587126362756688e-07	100.000 200.000 0.0022654031250000004 1.2057491640333365e-06
200.000 300.000 0.0011152695312500003 4.899309381881811e-07	200.000 300.000 0.00126618125 7.532454624704514e-07
300.000 400.000 0.0012369545312500003 6.024957909576209e-07	300.000 400.000 0.00070030559375 5.748893127912721e-07
400.000 500.000 0.0012815405468750002 6.573669848158013e-07	400.000 500.000 0.00040237103124999993 4.4458508184774094e-07
500.000 600.000 0.0012703938281250003 6.734023692026362e-07	500.000 600.000 0.00024041690625000003 4.021855774209826e-07
600.000 700.000 0.0012245333593749992 7.363735797038473e-07	600.000 700.000 0.000148268 3.360838093096395e-07
700.000 800.000 0.0011562219531250004 7.326162678754724e-07	700.000 800.000 9.2965775e-05 6.079874246776909e-07
800.000 900.000 0.0010780743750000003 7.572177403754448e-07	800.000 900.000 6.0971056249999995e-05 2.3148163407191614e-07
900.000 1000.00 0.00099789859375 8.525632921236098e-07	900.000 1000.00 4.146255312499999e-05 2.2792417687407926e-07
1000.00 1100.00 0.0009187370859375002 8.230048506547373e-07	1000.00 1100.00 2.9044159375000005e-05 2.028549163382289e-07
1100.00 1200.00 0.0008424496640624999 1.129620060098209e-06	1100.00 1200.00 2.05309625e-05 1.8383384620802486e-07
1200.00 1300.00 0.000768651234375 1.0861725562460326e-06	1200.00 1300.00 1.5622071875e-05 6.156082153283283e-07
1300.00 1400.00 0.0007013463515625002 6.716587562202933e-07	1300.00 1400.00 1.1294947499999999e-05 1.400960448943058e-07
1400.00 1500.00 0.0006363790312500002 6.835971175702188e-07	1400.00 1500.00 8.397915625000002e-06 1.309880520407889e-07
1500.00 1600.00 0.0005778214921875001 6.596491565210912e-07	1500.00 1600.00 6.237128125000001e-06 1.0668210057082267e-07
1600.00 1700.00 0.0005239922031249997 6.555789955242302e-07	1600.00 1700.00 4.817406562500001e-06 1.7182555053990603e-07
1700.00 1800.00 0.00047517872656250014 6.3129371433078e-07	1700.00 1800.00 3.4402706249999995e-06 6.807613457398383e-08
1800.00 1900.00 0.0004290416328125 5.798417541277587e-07	1800.00 1900.00 2.6446815625000003e-06 8.801066086361023e-08
1900.00 2000.00 0.00038794734374999985 5.618119846052265e-07	1900.00 2000.00 1.9774853125e-06 5.0640472288444153e-08
2000.00 2100.00 0.00034983946093749993 5.45425332331633e-07	2000.00 2100.00 1.5770675e-06 5.7064858182614754e-08
2100.00 2200.00 0.0003164798203125 5.276068377015201e-07	2100.00 2200.00 1.2377735312499995e-06 5.6510116183931145e-08
2200.00 2300.00 0.00028350865624999995 5.140673746347764e-07	2200.00 2300.00 8.549476562499999e-07 3.4460108372917134e-08
2300.00 2400.00 0.00025646082031249997 4.865279837165655e-07	2300.00 2400.00 6.567784375e-07 3.235688394146122e-08
2400.00 2500.00 0.000230502984375 4.3622550021252657e-07	2400.00 2500.00 5.399949687499999e-07 2.8108445056023297e-08
2500.00 2600.00 0.00020637411718749994 4.2053397916764143e-07	2500.00 2600.00 4.2042653125e-07 3.000576692177012e-08
2600.00 2700.00 0.00018577588281249997 4.4061595263248635e-07	2600.00 2700.00 4.1558728125000004e-07 8.073970293965413e-08
2700.00 2800.00 0.00016566224218750002 4.1256855780029907e-07	2700.00 2800.00 2.3469493750000004e-07 1.265846625324031e-08
2800.00 2900.00 0.00014906485156249995 3.5812653988314046e-07	2800.00 2900.00 1.9155869375000006e-07 1.7465330662953637e-08
2900.00 3000.00 0.00013345482812499994 3.433274341176067e-07	2900.00 3000.00 1.4575518437500002e-07 1.2507965694506587e-08
3000.00 3100.00 0.00011828682812500001 3.174380317160416e-07	3000.00 3100.00 1.2739825625000002e-07 1.3666694579109542e-08
3100.00 3200.00 0.00010618758593750001 3.661603423991736e-07	3100.00 3200.00 1.0425778125000002e-07 1.3923067098963066e-08
3200.00 3300.00 9.479891171875e-05 3.47832501413925e-07	3200.00 3300.00 6.709684062500001e-08 6.296157750427847e-09
3300.00 3400.00 8.400842578125002e-05 2.671707388104464e-07	3300.00 3400.00 4.3900734375000006e-08 2.9476734071158513e-09
3400.00 3500.00 7.475475625000001e-05 2.6043474653314257e-07	3400.00 3500.00 4.088814375000001e-08 4.86742029683514e-09
3500.00 3600.00 6.648220312499999e-05 2.555714109710578e-07	3500.00 3600.00 3.5170421875e-08 6.817724027592293e-09
3600.00 3700.00 5.914768984375001e-05 2.774951457031166e-07	3600.00 3700.00 2.8911706874999997e-08 6.4909797988285925e-09
3700.00 3800.00 5.180542265625001e-05 2.4913840214310245e-07	3700.00 3800.00 1.9288659375e-08 2.2029611500767685e-09
3800.00 3900.00 4.614641171875002e-05 2.028177396744978e-07	3800.00 3900.00 1.52348625e-08 1.9198990070245688e-09
3900.00 4000.00 4.0828602343749995e-05 2.0246755018468846e-07	3900.00 4000.00 1.0547006875000004e-08 1.2896882680005873e-09
4000.00 4100.00 0.000277889328125 2.2198237562032092e-07	4000.00 4100.00 4.4077928125e-08 7.032792310660624e-09
