 #         228 :  dS/dm_{ll} (fb/GeV) (NLO)	 #         228 :  dS/dm_{ll} (fb/GeV) (NLO)
-100.000 0.00000 0.0 0.0	-100.000 0.00000 0.0 0.0
0.00000 100.000 0.0065900642519685065 7.793508543165075e-07	0.00000 100.000 0.000385052 2.154013366956969e-07
100.000 200.000 0.00620673803149606 6.412253338656219e-07	100.000 200.000 0.0003817784375 1.9058127372372971e-07
200.000 300.000 0.0022633365354330706 4.1581410331765104e-07	200.000 300.000 0.0001515690625 1.1146044314548323e-07
300.000 400.000 0.000890652992125984 3.121936312568535e-07	300.000 400.000 6.569785625e-05 7.069608736584962e-08
400.000 500.000 0.0003882444724409451 2.0734967756534609e-07	400.000 500.000 3.1194275e-05 4.5236850946120074e-08
500.000 600.000 0.00018318572440944878 1.2009713884311012e-07	500.000 600.000 1.5863987500000002e-05 3.420706418312335e-08
600.000 700.000 9.204771574803149e-05 8.440101000835847e-08	600.000 700.000 8.6001115625e-06 2.938787139855302e-08
700.000 800.000 4.8598939370078744e-05 6.60049686187136e-08	700.000 800.000 4.8367206249999995e-06 1.6496936188595322e-08
800.000 900.000 2.671512440944881e-05 4.9806833973259405e-08	800.000 900.000 2.869786875e-06 2.8509523190969125e-08
900.000 1000.00 1.5220677952755904e-05 3.601673039906385e-08	900.000 1000.00 1.7301228125000003e-06 9.088457969982513e-09
1000.00 1100.00 8.913909763779528e-06 2.2801418431454368e-08	1000.00 1100.00 1.05858740625e-06 6.107699720595545e-09
1100.00 1200.00 5.32737748031496e-06 1.8823305043125227e-08	1100.00 1200.00 6.818619999999999e-07 5.5533844222570425e-09
1200.00 1300.00 3.2278235433070873e-06 2.239967100187929e-08	1200.00 1300.00 4.4425878125e-07 5.933447332718685e-09
1300.00 1400.00 2.030968031496063e-06 9.163724609044039e-09	1300.00 1400.00 2.774136875000001e-07 5.199328709235057e-09
1400.00 1500.00 1.2830801574803153e-06 6.977243809075129e-09	1400.00 1500.00 1.9130790625e-07 2.725521625677432e-09
1500.00 1600.00 8.229839763779529e-07 5.3677980192546055e-09	1500.00 1600.00 1.2755818750000003e-07 2.2791216866653526e-09
1600.00 1700.00 5.25516968503937e-07 7.535431445983911e-09	1600.00 1700.00 8.470796875e-08 1.533246084390923e-09
1700.00 1800.00 3.454310787401574e-07 2.985094013213131e-09	1700.00 1800.00 5.659232812500001e-08 1.0523339895600164e-09
1800.00 1900.00 2.3012866377952763e-07 2.665463001651178e-09	1800.00 1900.00 4.1419034375e-08 9.374144223073403e-10
1900.00 2000.00 1.5417740157480309e-07 1.6240024436141493e-09	1900.00 2000.00 2.7729437500000002e-08 9.50542571324553e-10
2000.00 2100.00 9.955895354330704e-08 1.439454896644324e-09	2000.00 2100.00 1.844323125e-08 4.685745980474739e-10
2100.00 2200.00 6.702524417322831e-08 1.4270653113378243e-09	2100.00 2200.00 1.2381539687499999e-08 2.799467054859034e-10
2200.00 2300.00 4.631151921259843e-08 1.5195576932598606e-09	2200.00 2300.00 8.888724687500002e-09 2.5201760703261454e-10
2300.00 2400.00 3.1864616535433075e-08 6.770975628969465e-10	2300.00 2400.00 5.846716875000002e-09 1.7566296222048123e-10
2400.00 2500.00 1.997389622047242e-08 1.09149283740181e-09	2400.00 2500.00 4.2141065625e-09 1.4427699658553062e-10
2500.00 2600.00 1.4929023070866143e-08 3.604285930205339e-10	2500.00 2600.00 2.925362187500001e-09 1.18605736109701e-10
2600.00 2700.00 1.029023157480315e-08 2.4263743864825347e-10	2600.00 2700.00 2.04340375e-09 2.1095274135718024e-10
2700.00 2800.00 7.385499685039371e-09 2.5214968999754784e-10	2700.00 2800.00 1.41120021875e-09 7.237710674029256e-11
2800.00 2900.00 5.190971889763781e-09 2.1734703422032174e-10	2800.00 2900.00 9.8488809375e-10 6.834792992336047e-11
2900.00 3000.00 3.095164464566929e-09 5.340066796155105e-10	2900.00 3000.00 6.136968125e-10 3.0321168886845364e-11
3000.00 3100.00 2.446409897637796e-09 8.066823488088616e-11	3000.00 3100.00 4.41897184375e-10 3.246884835989884e-11
3100.00 3200.00 1.7326542362204725e-09 7.923312619587588e-11	3100.00 3200.00 4.66918596875e-10 1.3002381170898153e-10
3200.00 3300.00 1.114110292125984e-09 5.449737641527737e-11	3200.00 3300.00 1.7003865937500005e-10 1.380242179005857e-11
3300.00 3400.00 8.478220479527552e-10 3.534032019132402e-11	3300.00 3400.00 8.605013124999999e-11 1.2950442130789576e-11
3400.00 3500.00 5.524775708661417e-10 3.129502793263049e-11	3400.00 3500.00 1.45581100625e-10 7.627704022629476e-11
3500.00 3600.00 4.3242639133858267e-10 2.8417912918433062e-11	3500.00 3600.00 3.8705245312500004e-11 9.807026502552027e-12
3600.00 3700.00 2.852383212598426e-10 1.3065385465945973e-11	3600.00 3700.00 4.8585475937499994e-11 9.444007371275163e-12
3700.00 3800.00 2.152539133858267e-10 1.5364285051958165e-11	3700.00 3800.00 2.4526337406249996e-11 6.874205634026867e-12
3800.00 3900.00 1.14238581448819e-10 2.8387731461558423e-11	3800.00 3900.00 2.1651542187500005e-11 8.018292538658583e-12
3900.00 4000.00 1.1684895842519686e-10 1.092579211518399e-11	3900.00 4000.00 3.5459398218749997e-12 6.757825897073448e-12
4000.00 4100.00 2.683039440944882e-10 2.077680646653641e-11	4000.00 4100.00 1.9302069437499997e-11 8.719457385201988e-12
