 #         225 :  dS/dp_{T,j2} (fb/GeV) (NLO)	 #         225 :  dS/dp_{T,j2} (fb/GeV) (NLO)
-25.0000 0.00000 0.0 0.0	-25.0000 0.00000 0.0 0.0
0.00000 25.0000 0.0 0.0	0.00000 25.0000 0.0 0.0
25.0000 50.0000 0.012341207874015745 3.135540764744167e-06	25.0000 50.0000 0.0015271078124999998 8.787758631081893e-07
50.0000 75.0000 0.014704337795275602 3.764088519451766e-06	50.0000 75.0000 0.0013570328125 7.605849111076224e-07
75.0000 100.000 0.011876462204724408 2.783241503152414e-06	75.0000 100.000 0.0006185381250000001 5.082166396350607e-07
100.000 125.000 0.008467426850393698 2.293677439422215e-06	100.000 125.000 0.00029644015625 3.4907363988728825e-07
125.000 150.000 0.0057967676377952745 1.994734053310377e-06	125.000 150.000 0.00015817159375 2.2064464524522373e-07
150.000 175.000 0.003946285433070863 1.7788907201304994e-06	150.000 175.000 9.0346528125e-05 2.477747994004428e-07
175.000 200.000 0.0027073458267716528 1.5182787146459279e-06	175.000 200.000 5.465384999999999e-05 1.685019432122569e-07
200.000 225.000 0.0018823558267716536 1.23384240482773e-06	200.000 225.000 3.3800168750000005e-05 1.3743000335032064e-07
225.000 250.000 0.001332818425196851 1.1293607495543995e-06	225.000 250.000 2.116953125e-05 1.081961017587602e-07
250.000 275.000 0.0009536146850393703 1.0071742614416353e-06	250.000 275.000 1.4026071875e-05 1.0587128184197217e-07
275.000 300.000 0.0006931059291338584 8.534436705621956e-07	275.000 300.000 9.390705937500001e-06 8.748144230479151e-08
300.000 325.000 0.0005112000472440944 7.800310834075193e-07	300.000 325.000 6.493682500000001e-06 6.727511873635182e-08
325.000 350.000 0.000382711496062992 9.279085916811351e-07	325.000 350.000 4.5498465625e-06 5.852021289613684e-08
350.000 375.000 0.00028605062204724416 9.082594287784677e-07	350.000 375.000 3.3426584375000003e-06 5.648641175239522e-08
375.000 400.000 0.00021813017322834646 5.980448218067515e-07	375.000 400.000 2.5111859374999996e-06 4.7831209005203016e-08
400.000 425.000 0.00016886805511811021 6.544189189013523e-07	400.000 425.000 2.282876875e-06 5.8165818880020924e-08
425.000 450.000 0.00012946804015748027 6.536340352210661e-07	425.000 450.000 1.79297875e-06 3.928900198279044e-08
450.000 475.000 0.00010208923464566929 4.895759584741137e-07	450.000 475.000 1.4337090625e-06 3.198937159679221e-08
475.000 500.000 8.0088805511811e-05 5.603295516297186e-07	475.000 500.000 1.2073927500000002e-06 3.8518087442772423e-08
500.000 525.000 6.289148661417324e-05 5.237024874688954e-07	500.000 525.000 9.621896875e-07 3.4181575175317035e-08
525.000 550.000 5.030656692913387e-05 3.7128320423201884e-07	525.000 550.000 7.536528749999999e-07 3.091437354778315e-08
550.000 575.000 4.052875669291341e-05 3.463631799371161e-07	550.000 575.000 6.301338437500002e-07 3.9734144753278904e-08
575.000 600.000 3.2778447244094485e-05 3.3413133535300745e-07	575.000 600.000 4.8180190625e-07 2.5191409042034075e-08
600.000 625.000 2.6148737007874036e-05 3.2497684745361715e-07	600.000 625.000 3.7408678124999993e-07 1.7694004522566658e-08
625.000 650.000 2.0947941889763783e-05 3.234799505874709e-07	625.000 650.000 2.885e-07 1.996801788819123e-08
650.000 675.000 1.686335960629921e-05 2.9111000672632433e-07	650.000 675.000 2.5535603124999995e-07 2.9164249240278785e-08
675.000 700.000 1.397574165354331e-05 2.5777795553247627e-07	675.000 700.000 1.8972885e-07 1.5192472402900737e-08
700.000 725.000 1.1251678267716541e-05 2.1918155107486318e-07	700.000 725.000 1.432540375e-07 1.6113223294503957e-08
725.000 750.000 9.490585984251965e-06 2.1396937474496077e-07	725.000 750.000 9.8474078125e-08 6.975336940704152e-09
750.000 775.000 7.626222236220473e-06 2.0589994747066675e-07	750.000 775.000 8.449611562499999e-08 1.3385753913726658e-08
775.000 800.000 6.7024357480314995e-06 1.969775861173592e-07	775.000 800.000 7.736805312499998e-08 9.992655896029235e-09
800.000 825.000 5.0106179763779545e-06 1.7475795826109255e-07	800.000 825.000 6.2932475e-08 7.2061746406365375e-09
825.000 850.000 4.271229157480316e-06 1.5624275463391103e-07	825.000 850.000 5.2443531249999997e-08 1.281411283535222e-08
850.000 875.000 3.813572740157482e-06 1.342614012473507e-07	850.000 875.000 4.0240506250000005e-08 4.906776083013827e-09
875.000 900.000 3.0489055039370076e-06 1.3231095452588246e-07	875.000 900.000 3.900193843750001e-08 6.950714540110956e-09
900.000 925.000 2.4930871968503936e-06 1.1441426037418494e-07	900.000 925.000 2.93351609375e-08 5.951085696354504e-09
925.000 950.000 2.214155921259842e-06 1.0396564297704187e-07	925.000 950.000 3.5340541875e-08 1.3188301523692716e-08
950.000 975.000 1.7462196543307075e-06 8.115378649928054e-08	950.000 975.000 1.3829574374999998e-08 2.9439202382526378e-09
975.000 1000.00 1.4441191897637795e-06 8.354926874410838e-08	975.000 1000.00 1.505306678125e-08 5.780230031098226e-09
1000.00 1025.00 8.025855196850392e-06 5.585503692279109e-07	1000.00 1025.00 5.265948124999999e-08 5.944506175322502e-09
