 #         233 :  dS/dy_{j3} (fb/GeV) (NLO)	 #         233 :  dS/dy_{j3} (fb/GeV) (NLO)
-5.50000 -5.00000 0.0 0.0	-5.50000 -5.00000 0.0 0.0
-5.00000 -4.50000 0.0 0.0	-5.00000 -4.50000 0.0 0.0
-4.50000 -4.00000 0.019755965624999997 9.323320494417664e-06	-4.50000 -4.00000 0.0008516056249999998 8.600197338625481e-06
-4.00000 -3.50000 0.04560413984375001 1.5914807273435583e-05	-4.00000 -3.50000 0.002347327500000001 1.4193496916355043e-05
-3.50000 -3.00000 0.07815233906249999 2.2493601300805845e-05	-3.50000 -3.00000 0.00572188625 2.3948766569611924e-05
-3.00000 -2.50000 0.10624783593750003 2.790659159186821e-05	-3.00000 -2.50000 0.012635109374999998 3.722509641335262e-05
-2.50000 -2.00000 0.11913249999999999 3.096865484828659e-05	-2.50000 -2.00000 0.0237632375 5.002353248077818e-05
-2.00000 -1.50000 0.11534549218749997 3.211723116028526e-05	-2.00000 -1.50000 0.039237493750000005 6.047597926477257e-05
-1.50000 -1.00000 0.10057806796875003 3.220509949989151e-05	-1.50000 -1.00000 0.05570248124999999 7.247801669515714e-05
-1.00000 -0.500000 0.08398618984375004 3.209579494091717e-05	-1.00000 -0.500000 0.06897373437499998 8.108714915222242e-05
-0.500000 0.00000 0.07352664531250003 3.3302659495956205e-05	-0.500000 0.00000 0.076312559375 8.706980516195283e-05
0.00000 0.500000 0.07353544843750003 3.297007095267078e-05	0.00000 0.500000 0.07621634375 8.37318895186434e-05
0.500000 1.00000 0.08399325234374999 3.358974537612608e-05	0.500000 1.00000 0.06890668437499999 8.023052229958289e-05
1.00000 1.50000 0.10056154296875 3.328797914359134e-05	1.00000 1.50000 0.05567561875 7.094409585955746e-05
1.50000 2.00000 0.11532375000000003 3.2930918552385655e-05	1.50000 2.00000 0.03922185625 6.20523707035175e-05
2.00000 2.50000 0.11909885156250001 3.1911610836240076e-05	2.00000 2.50000 0.023814374999999995 5.098365890960109e-05
2.50000 3.00000 0.10620927343749995 2.900674979739781e-05	2.50000 3.00000 0.01266386875 4.4339545951482106e-05
3.00000 3.50000 0.07818191015625002 2.3881556426610063e-05	3.00000 3.50000 0.005720543125 2.323908223416386e-05
3.50000 4.00000 0.04557300156249999 1.6936790240361245e-05	3.50000 4.00000 0.0023705818749999996 1.4803199550168846e-05
4.00000 4.50000 0.019748724218750003 9.493203399403474e-06	4.00000 4.50000 0.0008446783125000001 7.585485531825578e-06
4.50000 5.00000 0.0 0.0	4.50000 5.00000 0.0 0.0
5.00000 5.50000 0.0 0.0	5.00000 5.50000 0.0 0.0
