 #         231 :  dS/dy_{jj} (fb/GeV) (NLO)	 #         231 :  dS/dy_{jj} (fb/GeV) (NLO)
-0.500000 0.00000 0.0 0.0	-0.500000 0.00000 0.0 0.0
0.00000 0.500000 0.0 0.0	0.00000 0.500000 0.0 0.0
0.500000 1.00000 0.0 0.0	0.500000 1.00000 0.0 0.0
1.00000 1.50000 0.0 0.0	1.00000 1.50000 0.0 0.0
1.50000 2.00000 0.0 0.0	1.50000 2.00000 0.0 0.0
2.00000 2.50000 0.26674788188976384 0.0001116798295716818	2.00000 2.50000 0.075164615625 4.1861633082956404e-05
2.50000 3.00000 0.355216031496063 0.00011837791268637596	2.50000 3.00000 0.05769448749999999 3.232613307793651e-05
3.00000 3.50000 0.4252984330708661 0.0001223925303283855	3.00000 3.50000 0.03853649375 2.8328556158519043e-05
3.50000 4.00000 0.461409905511811 0.00012018650892099034	3.50000 4.00000 0.0215416125 1.9673180832839947e-05
4.00000 4.50000 0.4567334015748031 0.0001099966937505826	4.00000 4.50000 0.010371146874999999 1.3587990519989271e-05
4.50000 5.00000 0.4149075039370081 0.00010758887335351562	4.50000 5.00000 0.004531778437499999 1.4315665785049206e-05
5.00000 5.50000 0.3439796850393702 0.00013915957321448803	5.00000 5.50000 0.0017625253124999999 5.7220444519855e-06
5.50000 6.00000 0.2594461968503937 0.00010280675750955526	5.50000 6.00000 0.0006050291249999999 3.6515699068910225e-06
6.00000 6.50000 0.1752552677165354 6.677186775902767e-05	6.00000 6.50000 0.00018366784374999998 2.061625889992343e-06
6.50000 7.00000 0.1043605433070866 5.212445649126965e-05	6.50000 7.00000 4.585383125000001e-05 9.344807355796232e-07
7.00000 7.50000 0.05300287007874019 3.9339836274534726e-05	7.00000 7.50000 9.148883749999997e-06 3.0910669120477705e-07
7.50000 8.00000 0.02174858740157479 2.8476673755989026e-05	7.50000 8.00000 2.027756375e-06 4.296851198714284e-07
8.00000 8.50000 0.006497387952755902 1.957886894885368e-05	8.00000 8.50000 1.89939615625e-07 2.202871951073212e-08
8.50000 9.00000 0.0009920611968503937 7.116711072986195e-06	8.50000 9.00000 1.2873001249999998e-08 3.544357062289381e-09
9.00000 9.50000 0.0 0.0	9.00000 9.50000 0.0 0.0
9.50000 10.0000 0.0 0.0	9.50000 10.0000 0.0 0.0
10.0000 10.5000 0.0 0.0	10.0000 10.5000 0.0 0.0
